Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
206.44,8.671e-3,6.846e-13,8.671e-3,2.038e-26
206.47,2.302e-3,6.808e-13,2.302e-3,1.901e-26
206.49,8.655e-4,6.783e-13,8.655e-4,1.809e-26
206.52,1.733e-4,6.746e-13,1.733e-4,1.671e-26
206.54,5.398e-5,6.721e-13,5.398e-5,1.579e-26
206.57,8.150e-6,6.684e-13,8.150e-6,1.441e-26
206.59,2.103e-6,6.659e-13,2.103e-6,1.349e-26
206.62,2.395e-7,6.622e-13,2.395e-7,1.211e-26
206.64,5.124e-8,6.597e-13,5.124e-8,1.119e-26
206.67,4.894e-9,6.560e-13,4.894e-9,9.812e-27
206.69,4.224e-9,6.535e-13,4.224e-9,8.892e-27
206.72,5.491e-8,6.497e-13,5.491e-8,7.513e-27
206.74,3.164e-7,6.472e-13,3.164e-7,6.594e-27
206.77,3.811e-6,6.435e-13,3.811e-6,5.215e-27
206.79,1.825e-5,6.410e-13,1.825e-5,4.296e-27
206.81,8.113e-5,6.385e-13,8.113e-5,3.376e-27
206.84,6.619e-4,6.348e-13,6.619e-4,1.997e-27
206.86,2.446e-3,6.323e-13,2.446e-3,1.078e-27
206.89,1.512e-2,6.286e-13,1.512e-2,3.559e-26
206.91,4.648e-2,6.261e-13,4.648e-2,3.339e-25
206.94,2.184e-1,6.224e-13,2.184e-1,8.351e-24
206.96,5.594e-1,6.199e-13,5.594e-1,6.510e-23
206.99,2.005e+0,6.162e-13,2.005e+0,1.233e-21
207.01,4.295e+0,6.137e-13,4.295e+0,7.991e-21
207.04,1.182e+1,6.099e-13,1.182e+1,1.147e-19
207.06,2.130e+1,6.075e-13,2.130e+1,6.175e-19
207.09,4.551e+1,6.037e-13,4.551e+1,6.715e-18
207.11,6.961e+1,6.012e-13,6.961e+1,3.004e-17
207.14,1.171e+2,5.975e-13,1.171e+2,2.475e-16
207.16,1.536e+2,5.950e-13,1.536e+2,9.204e-16
207.19,2.066e+2,5.913e-13,2.066e+2,5.745e-15
207.21,2.342e+2,5.888e-13,2.342e+2,1.775e-14
207.23,2.506e+2,5.863e-13,2.506e+2,5.096e-14
207.26,2.487e+2,5.826e-13,2.487e+2,2.157e-13
207.28,2.298e+2,5.801e-13,2.298e+2,5.145e-13
207.31,1.820e+2,5.764e-13,1.820e+2,1.650e-12
207.33,1.440e+2,5.739e-13,1.440e+2,3.271e-12
207.36,8.962e+1,5.701e-13,8.962e+1,7.949e-12
207.38,6.007e+1,5.677e-13,6.007e+1,1.310e-11
207.41,2.897e+1,5.639e-13,2.897e+1,2.412e-11
207.43,1.632e+1,5.614e-13,1.632e+1,3.303e-11
207.46,6.040e+0,5.577e-13,6.040e+0,4.609e-11
207.48,2.844e+0,5.552e-13,2.844e+0,5.246e-11
207.51,8.022e-1,5.515e-13,8.022e-1,5.547e-11
207.53,3.148e-1,5.490e-13,3.148e-1,5.248e-11
207.56,6.742e-2,5.453e-13,6.742e-2,4.204e-11
207.58,2.201e-2,5.428e-13,2.201e-2,3.306e-11
207.6,6.672e-3,5.403e-13,6.672e-3,2.415e-11
207.63,9.692e-4,5.366e-13,9.692e-4,1.312e-11
207.65,2.441e-4,5.341e-13,2.441e-4,7.964e-12
207.68,2.684e-5,5.303e-13,2.684e-5,3.278e-12
207.7,5.614e-6,5.279e-13,5.614e-6,1.654e-12
207.73,4.671e-7,5.241e-13,4.671e-7,5.160e-13
207.75,8.111e-8,5.216e-13,8.111e-8,2.164e-13
207.78,5.105e-9,5.179e-13,5.105e-9,5.114e-14
207.8,7.360e-10,5.154e-13,7.360e-10,1.782e-14
207.83,3.504e-11,5.117e-13,3.504e-11,3.192e-15
207.85,4.194e-12,5.092e-13,4.194e-12,9.245e-16
207.88,1.511e-13,5.055e-13,1.510e-13,1.254e-16
207.9,1.503e-14,5.030e-13,1.500e-14,3.020e-17
207.93,3.105e-18,4.993e-13,1.497e-14,3.105e-18
207.95,6.211e-19,4.968e-13,1.495e-14,6.211e-19
207.97,1.154e-19,4.943e-13,1.493e-14,1.154e-19
208,8.042e-21,4.906e-13,1.489e-14,8.042e-21
208.02,1.242e-21,4.881e-13,1.487e-14,1.242e-21
208.05,6.556e-23,4.843e-13,1.484e-14,6.556e-23
208.07,8.412e-24,4.818e-13,1.482e-14,8.412e-24
208.1,3.365e-25,4.781e-13,1.479e-14,3.365e-25
208.12,3.587e-26,4.756e-13,1.476e-14,3.587e-26
208.15,1.087e-27,4.719e-13,1.473e-14,1.087e-27
211.63,3.913e-14,3.913e-14,1.101e-14,6.553e-28
211.65,4.075e-13,4.075e-13,1.099e-14,6.528e-28
211.68,1.198e-11,1.198e-11,1.095e-14,6.491e-28
211.7,1.045e-10,1.045e-10,1.093e-14,6.466e-28
211.73,2.355e-9,2.355e-9,1.090e-14,6.429e-28
211.75,1.719e-8,1.719e-8,1.088e-14,6.404e-28
211.77,1.169e-7,1.169e-7,1.086e-14,6.380e-28
211.8,1.815e-6,1.815e-6,1.083e-14,6.342e-28
211.82,1.034e-5,1.034e-5,1.080e-14,6.317e-28
211.85,1.230e-4,1.230e-4,1.077e-14,6.280e-28
211.87,5.870e-4,5.870e-4,1.075e-14,6.255e-28
211.9,5.357e-3,5.357e-3,1.072e-14,6.218e-28
211.92,2.142e-2,2.142e-2,1.070e-14,6.193e-28
211.95,1.500e-1,1.500e-1,1.067e-14,6.156e-28
211.97,5.034e-1,5.034e-1,1.064e-14,6.131e-28
212,2.717e+0,2.717e+0,1.061e-14,6.094e-28
212.02,7.674e+0,7.674e+0,1.059e-14,6.069e-28
212.05,3.216e+1,3.216e+1,1.056e-14,6.032e-28
212.07,7.714e+1,7.714e+1,1.054e-14,6.007e-28
212.1,2.558e+2,2.558e+2,1.050e-14,5.970e-28
212.12,5.307e+2,5.307e+2,1.048e-14,5.945e-28
212.15,1.446e+3,1.446e+3,1.045e-14,5.908e-28
212.17,2.676e+3,2.676e+3,1.043e-14,5.883e-28
212.19,4.772e+3,4.772e+3,1.041e-14,5.859e-28
212.22,1.067e+4,1.067e+4,1.038e-14,5.821e-28
212.24,1.748e+4,1.748e+4,1.036e-14,5.797e-28
212.27,3.412e+4,3.412e+4,1.032e-14,5.759e-28
212.29,5.039e+4,5.039e+4,1.030e-14,5.734e-28
212.32,8.207e+4,8.207e+4,1.027e-14,5.697e-28
212.34,1.057e+5,1.057e+5,1.025e-14,5.672e-28
212.37,1.376e+5,1.376e+5,1.022e-14,5.635e-28
212.39,1.513e+5,1.513e+5,1.019e-14,5.610e-28
212.42,1.536e+5,1.536e+5,1.016e-14,5.573e-28
212.44,1.424e+5,1.424e+5,1.014e-14,5.548e-28
212.47,1.116e+5,1.116e+5,1.011e-14,5.511e-28
212.49,8.694e+4,8.694e+4,1.009e-14,5.486e-28
212.52,5.236e+4,5.236e+4,1.006e-14,5.449e-28
212.54,3.419e+4,3.419e+4,1.003e-14,5.424e-28
