Wavelength (nm),Sum(calc),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
309.87,1.209e-11,,1.209e-11,1.621e-34
309.9,5.587e-11,,5.587e-11,1.618e-34
309.92,1.487e-10,,1.487e-10,1.615e-34
309.95,6.071e-10,,6.071e-10,1.612e-34
309.97,1.488e-9,,1.488e-9,1.610e-34
310,5.361e-9,,5.361e-9,1.606e-34
310.02,1.209e-8,,1.209e-8,1.604e-34
310.05,3.847e-8,,3.847e-8,1.601e-34
310.07,7.985e-8,,7.985e-8,1.598e-34
310.1,2.243e-7,,2.243e-7,1.595e-34
310.12,4.286e-7,,4.286e-7,1.593e-34
310.15,1.063e-6,,1.063e-6,1.589e-34
310.17,1.869e-6,,1.869e-6,1.587e-34
310.2,4.095e-6,,4.095e-6,1.584e-34
310.22,6.626e-6,,6.626e-6,1.581e-34
310.25,1.282e-5,,1.282e-5,1.578e-34
310.27,1.909e-5,,1.909e-5,1.576e-34
310.3,3.260e-5,,3.260e-5,1.572e-34
310.32,4.468e-5,,4.468e-5,1.570e-34
310.35,6.737e-5,,6.737e-5,1.567e-34
310.37,8.499e-5,,8.499e-5,1.564e-34
310.4,1.132e-4,,1.132e-4,1.561e-34
310.42,1.314e-4,,1.314e-4,1.559e-34
310.45,1.545e-4,,1.545e-4,1.555e-34
310.47,1.651e-4,,1.651e-4,1.553e-34
310.5,1.714e-4,,1.714e-4,1.550e-34
310.52,1.685e-4,,1.685e-4,1.548e-34
310.55,1.545e-4,,1.545e-4,1.544e-34
310.57,1.398e-4,,1.398e-4,1.542e-34
310.6,1.132e-4,,1.132e-4,1.539e-34
310.62,9.428e-5,,9.428e-5,1.536e-34
310.65,6.737e-5,,6.737e-5,1.533e-34
310.67,5.166e-5,,5.166e-5,1.531e-34
310.7,3.260e-5,,3.260e-5,1.527e-34
310.72,2.300e-5,,2.300e-5,1.525e-34
310.75,1.282e-5,,1.282e-5,1.522e-34
310.77,8.324e-6,,8.324e-6,1.519e-34
310.8,4.095e-6,,4.095e-6,1.516e-34
310.82,2.448e-6,,2.448e-6,1.514e-34
310.85,1.063e-6,,1.063e-6,1.510e-34
310.87,5.850e-7,,5.850e-7,1.508e-34
310.9,2.243e-7,,2.243e-7,1.505e-34
310.92,1.136e-7,,1.136e-7,1.502e-34
310.95,3.847e-8,,3.847e-8,1.499e-34
310.97,1.793e-8,,1.793e-8,1.497e-34
311,5.361e-9,,5.361e-9,1.493e-34
311.02,2.300e-9,,2.300e-9,1.491e-34
311.05,6.071e-10,,6.071e-10,1.488e-34
311.07,2.397e-10,,2.397e-10,1.485e-34
311.1,5.587e-11,,5.587e-11,1.482e-34
311.12,2.030e-11,,2.030e-11,1.480e-34
311.15,4.179e-12,,4.179e-12,1.476e-34
311.17,1.397e-12,,1.397e-12,1.474e-34
311.2,2.540e-13,,2.540e-13,1.471e-34
311.22,7.817e-14,,7.817e-14,1.469e-34
311.25,1.254e-14,,1.254e-14,1.465e-34
311.27,3.553e-15,,3.553e-15,1.463e-34
311.3,5.035e-16,,5.035e-16,1.460e-34
311.32,1.313e-16,,1.313e-16,1.457e-34
311.35,1.642e-17,,1.642e-17,1.454e-34
311.37,3.941e-18,,3.941e-18,1.452e-34
311.4,4.353e-19,,4.353e-19,1.448e-34
311.42,9.615e-20,,9.615e-20,1.446e-34
311.45,9.378e-21,,9.378e-21,1.443e-34
313.29,9.138e-22,,9.138e-22,1.235e-34
313.32,9.533e-21,,9.533e-21,1.232e-34
313.34,4.371e-20,,4.371e-20,1.229e-34
313.37,4.038e-19,,4.038e-19,1.226e-34
313.39,1.708e-18,,1.708e-18,1.224e-34
313.42,1.397e-17,,1.397e-17,1.220e-34
313.44,5.448e-17,,5.448e-17,1.218e-34
313.47,3.947e-16,,3.947e-16,1.215e-34
313.49,1.419e-15,,1.419e-15,1.212e-34
313.52,9.108e-15,,9.108e-15,1.209e-34
313.54,3.020e-14,,3.020e-14,1.207e-34
313.57,1.716e-13,,1.716e-13,1.203e-34
313.59,5.249e-13,,5.249e-13,1.201e-34
313.62,2.642e-12,,2.642e-12,1.198e-34
313.64,7.450e-12,,7.450e-12,1.195e-34
313.67,3.320e-11,,3.320e-11,1.192e-34
313.69,8.635e-11,,8.635e-11,1.190e-34
313.72,3.408e-10,,3.408e-10,1.186e-34
313.74,8.174e-10,,8.174e-10,1.184e-34
313.77,2.857e-9,,2.857e-9,1.181e-34
313.79,6.320e-9,,6.320e-9,1.178e-34
313.82,1.956e-8,,1.956e-8,1.175e-34
313.84,3.990e-8,,3.990e-8,1.173e-34
313.87,1.094e-7,,1.094e-7,1.169e-34
313.89,2.057e-7,,2.057e-7,1.167e-34
313.91,3.747e-7,,3.747e-7,1.165e-34
313.94,8.664e-7,,8.664e-7,1.162e-34
313.96,1.455e-6,,1.455e-6,1.159e-34
313.99,2.980e-6,,2.980e-6,1.156e-34
314.01,4.615e-6,,4.615e-6,1.154e-34
314.04,8.370e-6,,8.370e-6,1.150e-34
314.06,1.195e-5,,1.195e-5,1.148e-34
314.09,1.920e-5,,1.920e-5,1.145e-34
314.11,2.529e-5,,2.529e-5,1.142e-34
314.14,3.597e-5,,3.597e-5,1.139e-34
314.16,4.368e-5,,4.368e-5,1.137e-34
314.19,5.503e-5,,5.503e-5,1.133e-34
314.21,6.164e-5,,6.164e-5,1.131e-34
314.24,6.876e-5,,6.876e-5,1.128e-34
314.26,7.102e-5,,7.102e-5,1.125e-34
314.29,7.016e-5,,7.016e-5,1.122e-34
314.31,6.684e-5,,6.684e-5,1.120e-34
314.34,5.847e-5,,5.847e-5,1.116e-34
314.36,5.137e-5,,5.137e-5,1.114e-34
314.39,3.980e-5,,3.980e-5,1.111e-34
314.41,3.224e-5,,3.224e-5,1.108e-34
314.44,2.212e-5,,2.212e-5,1.105e-34
314.46,1.653e-5,,1.653e-5,1.103e-34
314.49,1.004e-5,,1.004e-5,1.099e-34
314.51,6.919e-6,,6.919e-6,1.097e-34
314.54,3.723e-6,,3.723e-6,1.094e-34
314.56,2.366e-6,,2.366e-6,1.092e-34
314.59,1.127e-6,,1.127e-6,1.088e-34
314.61,6.605e-7,,6.605e-7,1.086e-34
314.64,2.788e-7,,2.788e-7,1.083e-34
314.66,1.506e-7,,1.506e-7,1.080e-34
314.69,5.630e-8,,5.630e-8,1.077e-34
314.71,2.805e-8,,2.805e-8,1.075e-34
314.74,9.285e-9,,9.285e-9,1.071e-34
314.76,4.267e-9,,4.267e-9,1.069e-34
314.79,1.251e-9,,1.251e-9,1.066e-34
314.81,5.300e-10,,5.300e-10,1.063e-34
314.84,1.376e-10,,1.376e-10,1.060e-34
314.86,5.376e-11,,5.376e-11,1.058e-34
314.89,1.236e-11,,1.236e-11,1.054e-34
314.91,4.454e-12,,4.454e-12,1.052e-34
314.94,9.068e-13,,9.068e-13,1.049e-34
314.96,3.014e-13,,3.014e-13,1.046e-34
314.99,5.434e-14,,5.434e-14,1.043e-34
315.01,1.665e-14,,1.665e-14,1.041e-34
315.04,2.659e-15,,2.659e-15,1.037e-34
315.06,7.516e-16,,7.516e-16,1.035e-34
315.09,1.063e-16,,1.063e-16,1.032e-34
315.11,2.770e-17,,2.770e-17,1.029e-34
315.14,3.469e-18,,3.469e-18,1.026e-34
315.16,8.338e-19,,8.338e-19,1.024e-34
315.19,9.246e-20,,9.246e-20,1.020e-34
315.21,2.050e-20,,2.050e-20,1.018e-34
315.24,2.013e-21,,2.013e-21,1.015e-34
318.01,3.321e-21,,3.321e-21,7.022e-35
318.03,1.550e-20,,1.550e-20,6.999e-35
318.06,1.474e-19,,1.474e-19,6.965e-35
318.08,6.362e-19,,6.362e-19,6.943e-35
