Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
302.06,3.579e-18,,3.579e-18,
302.09,8.719e-19,,8.719e-19,
302.11,3.255e-19,,3.255e-19,
302.14,6.950e-20,,6.950e-20,
302.16,2.379e-20,,2.379e-20,
302.19,4.670e-21,,4.670e-21,
302.21,2.168e-21,,2.168e-21,
302.24,4.888e-21,,4.888e-21,
302.26,1.479e-20,,1.479e-20,
302.29,7.755e-20,,7.755e-20,
302.31,2.247e-19,,2.247e-19,
302.33,6.286e-19,,6.286e-19,
302.36,2.755e-18,,2.755e-18,
302.38,7.065e-18,,7.065e-18,
302.41,2.718e-17,,2.718e-17,
302.43,6.387e-17,,6.387e-17,
302.46,2.155e-16,,2.155e-16,
302.48,4.642e-16,,4.642e-16,
302.51,1.375e-15,,1.375e-15,
302.53,2.713e-15,,2.713e-15,
302.56,7.050e-15,,7.050e-15,
302.58,1.275e-14,,1.275e-14,
302.61,2.907e-14,,2.907e-14,
302.63,4.821e-14,,4.821e-14,
302.66,9.642e-14,,9.642e-14,
302.68,1.465e-13,,1.465e-13,
302.71,2.571e-13,,2.571e-13,
302.73,3.581e-13,,3.581e-13,
302.75,4.817e-13,,4.817e-13,
302.78,7.039e-13,,7.039e-13,
302.8,8.678e-13,,8.678e-13,
302.83,1.113e-12,,1.113e-12,
302.85,1.257e-12,,1.257e-12,
302.88,1.414e-12,,1.414e-12,
302.9,1.464e-12,,1.464e-12,
302.93,1.445e-12,,1.445e-12,
302.95,1.372e-12,,1.372e-12,
302.98,1.188e-12,,1.188e-12,
303,1.033e-12,,1.033e-12,
303.03,7.850e-13,,7.850e-13,
303.05,6.257e-13,,6.257e-13,
303.08,4.172e-13,,4.172e-13,
303.1,3.048e-13,,3.048e-13,
303.13,1.783e-13,,1.783e-13,
303.15,1.194e-13,,1.194e-13,
303.17,7.722e-14,,7.722e-14,
303.2,3.768e-14,,3.768e-14,
303.22,2.248e-14,,2.248e-14,
303.25,1.020e-14,,1.020e-14,
303.27,6.659e-15,,6.659e-15,
303.3,6.430e-15,,6.430e-15,
303.32,9.953e-15,,9.953e-15,
303.35,2.416e-14,,2.416e-14,
303.37,4.390e-14,,4.390e-14,
303.4,1.020e-13,,1.020e-13,
303.42,1.715e-13,,1.715e-13,
303.45,3.508e-13,,3.508e-13,
303.47,5.413e-13,,5.413e-13,
303.5,9.720e-13,,9.720e-13,
303.52,1.375e-12,,1.375e-12,
303.55,2.168e-12,,2.168e-12,
303.57,2.812e-12,,2.812e-12,
303.59,3.524e-12,,3.524e-12,
303.62,4.631e-12,,4.631e-12,
303.64,5.320e-12,,5.320e-12,
303.67,6.139e-12,,6.139e-12,
303.69,6.467e-12,,6.467e-12,
303.72,6.552e-12,,6.552e-12,
303.74,6.328e-12,,6.328e-12,
303.77,5.629e-12,,5.629e-12,
303.79,4.985e-12,,4.985e-12,
303.82,3.894e-12,,3.894e-12,
