Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
203.6,6.757e+2,,6.757e+2,4.451e-4
203.63,7.809e+2,,7.809e+2,4.637e-4
203.65,7.809e+2,,7.809e+2,4.822e-4
203.68,6.757e+2,,6.757e+2,5.131e-4
203.7,5.572e+2,,5.572e+2,5.291e-4
203.73,3.610e+2,,3.610e+2,5.355e-4
203.75,2.456e+2,,2.456e+2,5.257e-4
203.78,1.199e+2,,1.199e+2,4.954e-4
203.8,6.931e+1,,6.931e+1,4.713e-4
203.83,3.538e+1,,3.538e+1,4.406e-4
203.85,3.814e+1,,3.814e+1,4.276e-4
203.88,9.084e+1,,9.084e+1,4.204e-4
203.9,1.765e+2,,1.765e+2,4.225e-4
203.92,3.246e+2,,3.246e+2,4.285e-4
203.95,7.058e+2,,7.058e+2,4.431e-4
203.97,1.077e+3,,1.077e+3,4.551e-4
204,1.758e+3,,1.758e+3,4.712e-4
204.02,2.213e+3,,2.213e+3,4.746e-4
204.05,2.708e+3,,2.708e+3,4.557e-4
204.07,2.814e+3,,2.814e+3,4.220e-4
204.1,2.581e+3,,2.581e+3,3.415e-4
204.12,2.213e+3,,2.213e+3,2.757e-4
204.15,1.522e+3,,1.522e+3,1.779e-4
204.17,1.077e+3,,1.077e+3,1.232e-4
204.2,5.551e+2,,5.551e+2,6.626e-5
204.22,3.242e+2,,3.242e+2,4.665e-5
204.25,1.253e+2,,1.253e+2,4.442e-5
204.27,6.036e+1,,6.036e+1,6.150e-5
204.29,2.694e+1,,2.694e+1,9.489e-5
204.32,6.953e+0,,6.953e+0,1.790e-4
204.34,2.561e+0,,2.561e+0,2.581e-4
204.37,4.959e-1,,4.955e-1,4.043e-4
204.39,1.511e-1,,1.506e-1,5.101e-4
204.42,2.250e-2,,2.184e-2,6.559e-4
204.44,6.206e-3,,5.478e-3,7.288e-4
204.47,1.375e-3,,5.956e-4,7.797e-4
204.49,8.921e-4,,1.233e-4,7.688e-4
204.52,7.003e-4,,1.005e-5,6.902e-4
204.54,6.084e-4,,1.716e-6,6.067e-4
204.57,4.600e-4,,1.092e-7,4.599e-4
204.59,3.622e-4,,4.622e-8,3.621e-4
204.62,2.346e-4,,5.302e-7,2.341e-4
204.64,1.697e-4,,3.164e-6,1.666e-4
204.66,1.320e-4,,1.752e-5,1.145e-4
204.69,2.601e-4,,1.980e-4,6.216e-5
204.71,9.477e-4,,9.064e-4,4.137e-5
204.74,7.726e-3,,7.699e-3,2.633e-5
204.76,2.917e-2,,2.915e-2,2.560e-5
204.79,1.862e-1,,1.861e-1,3.930e-5
204.81,5.827e-1,,5.826e-1,5.997e-5
204.84,2.797e+0,,2.797e+0,1.098e-4
204.86,7.239e+0,,7.239e+0,1.531e-4
204.89,2.613e+1,,2.613e+1,2.208e-4
204.91,5.592e+1,,5.592e+1,2.569e-4
204.94,1.518e+2,,1.518e+2,2.797e-4
204.96,2.685e+2,,2.685e+2,2.693e-4
204.99,5.478e+2,,5.478e+2,2.204e-4
205.01,8.013e+2,,8.013e+2,1.754e-4
205.04,1.229e+3,,1.229e+3,1.079e-4
205.06,1.487e+3,,1.487e+3,7.097e-5
205.08,1.666e+3,,1.666e+3,4.325e-5
205.11,1.715e+3,,1.715e+3,1.784e-5
205.13,1.589e+3,,1.589e+3,8.987e-6
205.16,1.229e+3,,1.229e+3,2.791e-6
205.18,9.419e+2,,9.419e+2,1.176e-6
205.21,5.479e+2,,5.479e+2,3.420e-7
205.23,3.472e+2,,3.472e+2,2.654e-7
205.26,1.526e+2,,1.526e+2,5.752e-7
205.28,8.172e+1,,8.172e+1,1.126e-6
205.31,3.458e+1,,3.458e+1,2.823e-6
205.33,3.003e+1,,3.003e+1,4.880e-6
205.36,5.634e+1,,5.634e+1,1.038e-5
205.38,9.916e+1,,9.916e+1,1.690e-5
205.41,2.115e+2,,2.115e+2,3.571e-5
205.43,3.207e+2,,3.207e+2,5.976e-5
205.45,4.509e+2,,4.509e+2,9.991e-5
205.48,6.523e+2,,6.523e+2,2.069e-4
205.5,7.590e+2,,7.590e+2,3.191e-4
205.53,8.265e+2,,8.265e+2,5.511e-4
205.55,7.958e+2,,7.958e+2,7.356e-4
205.58,6.523e+2,,6.523e+2,1.011e-3
205.6,5.197e+2,,5.197e+2,1.159e-3
205.63,3.206e+2,,3.206e+2,1.285e-3
205.65,2.114e+2,,2.114e+2,1.295e-3
205.68,9.816e+1,,9.816e+1,1.219e-3
205.7,5.355e+1,,5.354e+1,1.135e-3
205.73,1.872e+1,,1.872e+1,1.015e-3
205.75,8.449e+0,,8.448e+0,9.660e-4
205.78,2.224e+0,,2.223e+0,9.694e-4
205.8,8.313e-1,,8.302e-1,1.022e-3
205.82,2.886e-1,,2.875e-1,1.102e-3
205.85,5.206e-2,,5.082e-2,1.240e-3
205.87,1.589e-2,,1.456e-2,1.330e-3
205.9,3.433e-3,,1.938e-3,1.495e-3
205.92,2.179e-3,,4.648e-4,1.714e-3
205.95,2.702e-3,,1.094e-4,2.592e-3
205.97,4.296e-3,,3.050e-4,3.991e-3
206,1.116e-2,,2.592e-3,8.565e-3
206.02,2.421e-2,,1.002e-2,1.419e-2
206.05,9.392e-2,,6.619e-2,2.773e-2
206.07,2.522e-1,,2.121e-1,4.006e-2
206.1,1.118e+0,,1.057e+0,6.090e-2
206.12,2.881e+0,,2.807e+0,7.347e-2
206.15,1.064e+1,,1.056e+1,8.466e-2
206.17,2.332e+1,,2.323e+1,8.474e-2
206.2,6.597e+1,,6.590e+1,7.371e-2
206.22,1.203e+2,,1.202e+2,6.114e-2
206.24,2.035e+2,,2.034e+2,4.705e-2
206.27,3.889e+2,,3.889e+2,2.758e-2
206.29,5.454e+2,,5.454e+2,1.759e-2
206.32,7.869e+2,,7.868e+2,7.778e-3
206.34,9.148e+2,,9.148e+2,4.111e-3
206.37,9.975e+2,,9.975e+2,1.373e-3
206.39,9.644e+2,,9.644e+2,6.026e-4
206.42,8.054e+2,,8.054e+2,1.549e-4
206.44,6.634e+2,,6.634e+2,6.021e-5
206.47,4.692e+2,,4.692e+2,1.911e-5
206.49,3.832e+2,,3.832e+2,1.562e-5
206.52,3.356e+2,,3.356e+2,2.954e-5
206.54,3.471e+2,,3.471e+2,6.587e-5
206.57,3.906e+2,,3.906e+2,2.605e-4
206.59,4.155e+2,,4.155e+2,6.405e-4
206.61,4.276e+2,,4.276e+2,1.490e-3
206.64,4.282e+2,,4.282e+2,4.656e-3
206.66,4.324e+2,,4.323e+2,9.096e-3
206.69,4.748e+2,,4.748e+2,2.163e-2
