Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
520.41,2.299e+0,1.110e-6,2.299e+0,1.886e-13
520.44,2.053e+0,3.821e-7,2.053e+0,3.248e-13
520.46,1.888e+0,1.849e-7,1.888e+0,4.598e-13
520.49,1.642e+0,6.091e-8,1.642e+0,7.578e-13
520.51,1.481e+0,2.863e-8,1.481e+0,1.042e-12
520.53,1.324e+0,1.329e-8,1.324e+0,1.415e-12
520.56,1.100e+0,4.116e-9,1.100e+0,2.192e-12
520.58,9.603e-1,1.856e-9,9.603e-1,2.892e-12
520.61,7.688e-1,5.496e-10,7.688e-1,4.286e-12
520.63,6.543e-1,2.406e-10,6.543e-1,5.489e-12
520.66,5.035e-1,6.817e-11,5.035e-1,7.783e-12
520.68,4.172e-1,2.898e-11,4.172e-1,9.680e-12
520.71,3.082e-1,7.853e-12,3.082e-1,1.313e-11
520.73,2.485e-1,3.241e-12,2.485e-1,1.586e-11
520.76,1.763e-1,8.403e-13,1.763e-1,2.058e-11
520.78,1.385e-1,3.313e-13,1.385e-1,2.413e-11
520.81,9.501e-2,8.227e-14,9.501e-2,2.997e-11
520.83,7.358e-2,3.202e-14,7.358e-2,3.412e-11
520.86,5.093e-2,7.604e-15,5.093e-2,4.053e-11
520.88,4.130e-2,6.957e-15,4.130e-2,4.481e-11
520.9,3.561e-2,6.311e-15,3.561e-2,4.895e-11
520.93,3.421e-2,5.341e-15,3.421e-2,5.467e-11
520.95,3.829e-2,4.694e-15,3.829e-2,5.799e-11
520.98,5.326e-2,3.724e-15,5.326e-2,6.197e-11
521,7.056e-2,3.078e-15,7.056e-2,6.382e-11
521.03,1.112e-1,2.108e-15,1.112e-1,6.526e-11
521.05,1.511e-1,5.539e-15,1.511e-1,6.527e-11
521.08,2.372e-1,2.971e-14,2.372e-1,6.388e-11
521.1,3.173e-1,7.613e-14,3.173e-1,6.207e-11
521.13,4.826e-1,3.055e-13,4.826e-1,5.820e-11
521.15,6.306e-1,7.604e-13,6.306e-1,5.499e-11
521.18,9.248e-1,2.921e-12,9.248e-1,4.954e-11
521.2,1.179e+0,7.061e-12,1.179e+0,4.567e-11
521.23,1.667e+0,2.597e-11,1.667e+0,3.991e-11
521.25,2.074e+0,6.097e-11,2.074e+0,3.630e-11
521.27,2.555e+0,1.415e-10,2.555e+0,3.306e-11
521.3,3.430e+0,4.894e-10,3.430e+0,2.926e-11
521.32,4.124e+0,1.103e-9,4.124e+0,2.766e-11
521.35,5.336e+0,3.652e-9,5.336e+0,2.710e-11
521.37,6.259e+0,7.996e-9,6.259e+0,2.824e-11
521.4,7.805e+0,2.534e-8,7.805e+0,3.273e-11
521.42,8.931e+0,5.389e-8,8.931e+0,3.792e-11
521.45,1.073e+1,1.635e-7,1.073e+1,4.963e-11
521.47,1.198e+1,3.377e-7,1.198e+1,6.044e-11
521.5,1.386e+1,9.807e-7,1.386e+1,8.183e-11
521.52,1.509e+1,1.967e-6,1.509e+1,9.990e-11
521.55,1.681e+1,5.470e-6,1.681e+1,1.333e-10
521.57,1.785e+1,1.066e-5,1.785e+1,1.598e-10
521.6,1.914e+1,2.836e-5,1.914e+1,2.062e-10
521.62,1.981e+1,5.368e-5,1.981e+1,2.414e-10
521.65,2.045e+1,1.368e-4,2.045e+1,2.995e-10
521.67,2.063e+1,2.514e-4,2.063e+1,3.413e-10
521.69,2.060e+1,4.568e-4,2.060e+1,3.847e-10
521.72,2.016e+1,1.095e-3,2.016e+1,4.508e-10
521.74,1.962e+1,1.932e-3,1.962e+1,4.943e-10
521.77,1.849e+1,4.433e-3,1.849e+1,5.557e-10
521.79,1.756e+1,7.599e-3,1.755e+1,5.925e-10
521.82,1.595e+1,1.669e-2,1.594e+1,6.389e-10
521.84,1.479e+1,2.779e-2,1.476e+1,6.625e-10
521.87,1.299e+1,5.841e-2,1.293e+1,6.851e-10
521.89,1.180e+1,9.447e-2,1.171e+1,6.909e-10
521.92,1.011e+1,1.901e-1,9.924e+0,6.853e-10
521.94,9.101e+0,2.987e-1,8.802e+0,6.725e-10
521.97,7.837e+0,5.754e-1,7.261e+0,6.406e-10
521.99,7.223e+0,8.780e-1,6.345e+0,6.123e-10
522.02,6.772e+0,1.619e+0,5.153e+0,5.620e-10
522.04,6.883e+0,2.400e+0,4.484e+0,5.251e-10
522.06,7.429e+0,3.516e+0,3.913e+0,4.871e-10
522.09,9.334e+0,6.099e+0,3.235e+0,4.315e-10
522.11,1.157e+1,8.679e+0,2.893e+0,3.974e-10
522.14,1.694e+1,1.441e+1,2.528e+0,3.541e-10
522.16,2.230e+1,1.992e+1,2.373e+0,3.323e-10
522.19,3.393e+1,3.167e+1,2.257e+0,3.131e-10
522.21,4.477e+1,4.252e+1,2.248e+0,3.106e-10
522.24,6.705e+1,6.472e+1,2.330e+0,3.240e-10
522.26,8.684e+1,8.440e+1,2.444e+0,3.452e-10
522.29,1.257e+2,1.230e+2,2.706e+0,3.961e-10
522.31,1.587e+2,1.558e+2,2.944e+0,4.429e-10
522.34,2.207e+2,2.173e+2,3.409e+0,5.316e-10
522.36,2.711e+2,2.673e+2,3.800e+0,6.025e-10
522.39,3.614e+2,3.569e+2,4.523e+0,7.247e-10
522.41,4.317e+2,4.266e+2,5.106e+0,8.154e-10
522.43,5.097e+2,5.039e+2,5.775e+0,9.122e-10
522.46,6.399e+2,6.330e+2,6.946e+0,1.066e-9
522.48,7.341e+2,7.263e+2,7.836e+0,1.172e-9
522.51,8.828e+2,8.735e+2,9.317e+0,1.333e-9
522.53,9.840e+2,9.737e+2,1.038e+1,1.439e-9
522.56,1.133e+3,1.121e+3,1.206e+1,1.594e-9
522.58,1.227e+3,1.214e+3,1.319e+1,1.692e-9
522.61,1.354e+3,1.339e+3,1.484e+1,1.830e-9
522.63,1.425e+3,1.409e+3,1.586e+1,1.914e-9
522.66,1.507e+3,1.490e+3,1.720e+1,2.027e-9
522.68,1.543e+3,1.525e+3,1.791e+1,2.092e-9
522.71,1.566e+3,1.547e+3,1.866e+1,2.176e-9
522.73,1.561e+3,1.542e+3,1.892e+1,2.222e-9
522.76,1.526e+3,1.507e+3,1.891e+1,2.277e-9
522.78,1.487e+3,1.469e+3,1.865e+1,2.305e-9
522.8,1.438e+3,1.420e+3,1.818e+1,2.326e-9
522.83,1.354e+3,1.337e+3,1.714e+1,2.346e-9
522.85,1.295e+3,1.279e+3,1.626e+1,2.354e-9
522.88,1.213e+3,1.198e+3,1.472e+1,2.360e-9
522.9,1.168e+3,1.154e+3,1.360e+1,2.365e-9
522.93,1.123e+3,1.111e+3,1.185e+1,2.379e-9
522.95,1.112e+3,1.101e+3,1.070e+1,2.400e-9
522.98,1.131e+3,1.122e+3,9.031e+0,2.463e-9
523,1.168e+3,1.160e+3,8.004e+0,2.538e-9
523.03,1.260e+3,1.254e+3,6.627e+0,2.728e-9
523.05,1.346e+3,1.340e+3,5.831e+0,2.926e-9
523.08,1.503e+3,1.498e+3,4.830e+0,3.372e-9
523.1,1.623e+3,1.619e+3,4.288e+0,3.799e-9
523.13,1.816e+3,1.813e+3,3.647e+0,4.691e-9
523.15,1.947e+3,1.943e+3,3.322e+0,5.491e-9
523.18,2.133e+3,2.130e+3,2.957e+0,7.065e-9
523.2,2.243e+3,2.240e+3,2.780e+0,8.401e-9
523.22,2.336e+3,2.334e+3,2.642e+0,9.991e-9
523.25,2.438e+3,2.435e+3,2.487e+0,1.289e-8
523.27,2.475e+3,2.472e+3,2.405e+0,1.517e-8
523.3,2.479e+3,2.477e+3,2.297e+0,1.911e-8
523.32,2.448e+3,2.446e+3,2.230e+0,2.205e-8
523.35,2.351e+3,2.349e+3,2.132e+0,2.685e-8
523.37,2.256e+3,2.253e+3,2.067e+0,3.023e-8
523.4,2.074e+3,2.073e+3,1.975e+0,3.540e-8
523.42,1.934e+3,1.932e+3,1.921e+0,3.879e-8
523.45,1.703e+3,1.701e+3,1.860e+0,4.356e-8
523.47,1.542e+3,1.540e+3,1.836e+0,4.641e-8
523.5,1.300e+3,1.298e+3,1.832e+0,4.995e-8
523.52,1.143e+3,1.141e+3,1.855e+0,5.171e-8
523.55,9.227e+2,9.208e+2,1.926e+0,5.331e-8
523.57,7.884e+2,7.864e+2,1.998e+0,5.363e-8
523.59,6.659e+2,6.638e+2,2.086e+0,5.333e-8
523.62,5.059e+2,5.036e+2,2.244e+0,5.176e-8
523.64,4.153e+2,4.129e+2,2.358e+0,5.004e-8
523.67,3.024e+2,2.999e+2,2.531e+0,4.660e-8
523.69,2.414e+2,2.388e+2,2.639e+0,4.386e-8
523.72,1.687e+2,1.660e+2,2.775e+0,3.935e-8
523.74,1.312e+2,1.283e+2,2.842e+0,3.624e-8
523.77,8.827e+1,8.538e+1,2.897e+0,3.172e-8
523.79,6.702e+1,6.412e+1,2.898e+0,2.897e-8
523.82,4.367e+1,4.083e+1,2.844e+0,2.553e-8
523.84,3.255e+1,2.978e+1,2.772e+0,2.386e-8
523.87,2.076e+1,1.815e+1,2.611e+0,2.254e-8
523.89,1.533e+1,1.286e+1,2.475e+0,2.259e-8
523.92,9.736e+0,7.500e+0,2.235e+0,2.428e-8
523.94,7.219e+0,5.160e+0,2.059e+0,2.660e-8
523.96,5.384e+0,3.509e+0,1.875e+0,2.994e-8
523.99,3.519e+0,1.925e+0,1.594e+0,3.696e-8
524.01,2.682e+0,1.271e+0,1.411e+0,4.302e-8
524.04,1.817e+0,6.676e-1,1.149e+0,5.413e-8
524.06,1.417e+0,4.282e-1,9.885e-1,6.281e-8
524.09,9.883e-1,2.152e-1,7.731e-1,7.749e-8
524.11,7.825e-1,1.341e-1,6.484e-1,8.817e-8
524.14,5.557e-1,6.450e-2,4.912e-1,1.050e-7
524.16,4.456e-1,3.902e-2,4.066e-1,1.164e-7
524.19,3.273e-1,1.797e-2,3.093e-1,1.331e-7
524.21,2.746e-1,1.056e-2,2.640e-1,1.435e-7
524.24,2.296e-1,4.652e-3,2.250e-1,1.572e-7
524.26,2.212e-1,2.655e-3,2.185e-1,1.646e-7
524.29,2.410e-1,1.120e-3,2.399e-1,1.727e-7
524.31,2.771e-1,6.206e-4,2.765e-1,1.757e-7
524.34,3.696e-1,2.505e-4,3.693e-1,1.765e-7
524.36,4.600e-1,1.349e-4,4.599e-1,1.745e-7
524.38,5.765e-1,7.175e-5,5.764e-1,1.704e-7
524.41,8.064e-1,2.724e-5,8.064e-1,1.610e-7
524.43,1.001e+0,1.408e-5,1.001e+0,1.528e-7
524.46,1.360e+0,5.115e-6,1.360e+0,1.382e-7
524.48,1.648e+0,2.567e-6,1.648e+0,1.274e-7
524.51,2.153e+0,8.929e-7,2.153e+0,1.103e-7
524.53,2.539e+0,4.352e-7,2.539e+0,9.877e-8
524.56,3.184e+0,1.449e-7,3.184e+0,8.187e-8
524.58,3.652e+0,6.857e-8,3.652e+0,7.120e-8
524.61,4.397e+0,2.185e-8,4.397e+0,5.649e-8
524.63,4.911e+0,1.004e-8,4.911e+0,4.772e-8
524.66,5.683e+0,3.063e-9,5.683e+0,3.625e-8
524.68,6.185e+0,1.368e-9,6.185e+0,2.974e-8
524.71,6.895e+0,3.992e-10,6.895e+0,2.162e-8
524.73,7.326e+0,1.731e-10,7.326e+0,1.723e-8
524.75,7.715e+0,7.420e-11,7.715e+0,1.358e-8
524.78,8.207e+0,2.037e-11,8.207e+0,9.286e-9
524.8,8.469e+0,8.479e-12,8.469e+0,7.105e-9
524.83,8.762e+0,2.228e-12,8.762e+0,4.652e-9
524.85,8.893e+0,9.007e-13,8.893e+0,3.458e-9
524.88,9.001e+0,2.265e-13,9.001e+0,2.167e-9
524.9,9.023e+0,8.894e-14,9.023e+0,1.565e-9
524.93,8.993e+0,2.141e-14,8.993e+0,9.389e-10
524.95,8.939e+0,1.700e-14,8.939e+0,6.583e-10
524.98,8.820e+0,1.038e-14,8.820e+0,3.782e-10
525,8.720e+0,5.973e-15,8.720e+0,2.576e-10
525.03,8.544e+0,2.480e-14,8.544e+0,1.416e-10
525.05,8.410e+0,6.313e-14,8.410e+0,9.370e-11
525.08,8.183e+0,2.510e-13,8.183e+0,4.932e-11
525.1,8.012e+0,6.208e-13,8.012e+0,3.169e-11
525.12,7.824e+0,1.518e-12,7.824e+0,2.013e-11
525.15,7.507e+0,5.680e-12,7.507e+0,9.968e-12
525.17,7.272e+0,1.349e-11,7.272e+0,6.150e-12
525.2,6.887e+0,4.835e-11,6.887e+0,2.915e-12
525.22,6.611e+0,1.116e-10,6.611e+0,1.747e-12
525.25,6.177e+0,3.830e-10,6.177e+0,7.928e-13
525.27,5.881e+0,8.588e-10,5.881e+0,4.614e-13
525.3,5.440e+0,2.822e-9,5.440e+0,2.005e-13
525.32,5.156e+0,6.149e-9,5.156e+0,1.133e-13
525.35,4.761e+0,1.935e-8,4.761e+0,4.713e-14
525.37,4.528e+0,4.096e-8,4.528e+0,2.588e-14
525.4,4.237e+0,1.235e-7,4.237e+0,1.030e-14
525.42,4.090e+0,2.539e-7,4.090e+0,5.496e-15
525.45,3.955e+0,7.329e-7,3.955e+0,2.095e-15
525.47,3.929e+0,1.464e-6,3.929e+0,1.085e-15
525.5,3.999e+0,4.048e-6,3.999e+0,3.959e-16
525.52,4.125e+0,7.858e-6,4.125e+0,1.992e-16
525.54,4.323e+0,1.508e-5,4.323e+0,9.909e-17
525.57,4.766e+0,3.923e-5,4.766e+0,3.401e-17
525.59,5.169e+0,7.315e-5,5.169e+0,1.643e-17
525.62,5.953e+0,1.823e-4,5.953e+0,5.399e-18
525.64,6.606e+0,3.302e-4,6.606e+0,2.533e-18
525.67,7.799e+0,7.878e-4,7.799e+0,7.968e-19
525.69,8.745e+0,1.387e-3,8.744e+0,3.632e-19
525.72,1.040e+1,3.168e-3,1.039e+1,1.094e-19
525.74,1.165e+1,5.418e-3,1.165e+1,4.842e-20
525.77,1.376e+1,1.186e-2,1.374e+1,1.396e-20
525.79,1.529e+1,1.970e-2,1.527e+1,6.016e-21
525.82,1.773e+1,4.128e-2,1.769e+1,1.708e-21
525.84,1.942e+1,6.664e-2,1.935e+1,8.136e-22
525.87,2.197e+1,1.338e-1,2.184e+1,6.070e-22
525.89,2.364e+1,2.098e-1,2.343e+1,1.035e-21
525.91,2.526e+1,3.252e-1,2.493e+1,2.179e-21
525.94,2.751e+1,6.145e-1,2.689e+1,7.052e-21
525.96,2.888e+1,9.257e-1,2.795e+1,1.532e-20
525.99,3.076e+1,1.675e+0,2.908e+1,4.808e-20
526.01,3.195e+1,2.452e+0,2.950e+1,1.016e-19
526.04,3.383e+1,4.250e+0,2.958e+1,3.053e-19
526.06,3.531e+1,6.045e+0,2.926e+1,6.269e-19
526.09,3.831e+1,1.004e+1,2.827e+1,1.805e-18
526.11,4.117e+1,1.387e+1,2.730e+1,3.600e-18
526.14,4.753e+1,2.207e+1,2.546e+1,9.926e-18
526.16,5.369e+1,2.965e+1,2.404e+1,1.924e-17
526.19,6.692e+1,4.519e+1,2.173e+1,5.081e-17
526.21,7.914e+1,5.902e+1,2.012e+1,9.568e-17
526.24,1.040e+2,8.624e+1,1.773e+1,2.420e-16
526.26,1.257e+2,1.095e+2,1.619e+1,4.429e-16
526.28,1.523e+2,1.375e+2,1.472e+1,8.011e-16
526.31,2.023e+2,1.896e+2,1.271e+1,1.907e-15
526.33,2.432e+2,2.317e+2,1.150e+1,3.353e-15
526.36,3.166e+2,3.067e+2,9.889e+0,7.646e-15
526.38,3.739e+2,3.649e+2,8.953e+0,1.306e-14
526.41,4.723e+2,4.645e+2,7.729e+0,2.853e-14
526.43,5.458e+2,5.388e+2,7.019e+0,4.734e-14
526.46,6.669e+2,6.608e+2,6.085e+0,9.905e-14
526.48,7.538e+2,7.483e+2,5.533e+0,1.597e-13
526.51,8.914e+2,8.866e+2,4.791e+0,3.201e-13
526.53,9.866e+2,9.822e+2,4.344e+0,5.017e-13
526.56,1.132e+3,1.128e+3,3.733e+0,9.634e-13
526.58,1.230e+3,1.227e+3,3.362e+0,1.467e-12
526.61,1.375e+3,1.373e+3,2.859e+0,2.700e-12
526.63,1.471e+3,1.468e+3,2.561e+0,3.997e-12
526.65,1.564e+3,1.562e+3,2.292e+0,5.851e-12
526.68,1.700e+3,1.698e+3,1.948e+0,1.015e-11
526.7,1.788e+3,1.786e+3,1.760e+0,1.444e-11
526.73,1.914e+3,1.912e+3,1.537e+0,2.403e-11
526.75,1.993e+3,1.992e+3,1.428e+0,3.328e-11
526.78,2.105e+3,2.103e+3,1.317e+0,5.315e-11
526.8,2.172e+3,2.171e+3,1.275e+0,7.168e-11
526.83,2.262e+3,2.260e+3,1.251e+0,1.101e-10
526.85,2.311e+3,2.309e+3,1.255e+0,1.448e-10
526.88,2.364e+3,2.363e+3,1.280e+0,2.144e-10
526.9,2.385e+3,2.383e+3,1.303e+0,2.755e-10
526.93,2.388e+3,2.387e+3,1.338e+0,3.948e-10
526.95,2.371e+3,2.369e+3,1.356e+0,4.969e-10
526.98,2.313e+3,2.311e+3,1.368e+0,6.925e-10
527,2.253e+3,2.251e+3,1.363e+0,8.575e-10
527.03,2.132e+3,2.131e+3,1.333e+0,1.170e-9
527.05,2.033e+3,2.032e+3,1.297e+0,1.432e-9
527.07,1.921e+3,1.920e+3,1.249e+0,1.746e-9
527.1,1.734e+3,1.733e+3,1.157e+0,2.340e-9
527.12,1.600e+3,1.599e+3,1.085e+0,2.838e-9
527.15,1.392e+3,1.391e+3,9.642e-1,3.778e-9
527.17,1.253e+3,1.252e+3,8.788e-1,4.564e-9
527.2,1.049e+3,1.049e+3,7.485e-1,6.042e-9
527.22,9.205e+2,9.198e+2,6.631e-1,7.266e-9
527.25,7.416e+2,7.411e+2,5.411e-1,9.530e-9
527.27,6.337e+2,6.333e+2,4.658e-1,1.137e-8
527.3,4.908e+2,4.904e+2,3.640e-1,1.468e-8
527.32,4.084e+2,4.081e+2,3.045e-1,1.728e-8
527.35,3.039e+2,3.037e+2,2.279e-1,2.181e-8
527.37,2.462e+2,2.460e+2,1.853e-1,2.524e-8
527.4,1.760e+2,1.759e+2,1.328e-1,3.095e-8
527.42,1.388e+2,1.387e+2,1.049e-1,3.507e-8
527.44,1.083e+2,1.082e+2,8.186e-2,3.938e-8
527.47,7.317e+1,7.311e+1,5.525e-2,4.600e-8
527.49,5.558e+1,5.553e+1,4.190e-2,5.040e-8
527.52,3.606e+1,3.603e+1,2.708e-2,5.669e-8
527.54,2.668e+1,2.666e+1,1.996e-2,6.052e-8
527.57,1.666e+1,1.665e+1,1.235e-2,6.544e-8
527.59,1.205e+1,1.204e+1,8.845e-3,6.803e-8
527.62,7.364e+0,7.359e+0,5.244e-3,7.068e-8
527.64,5.345e+0,5.341e+0,3.648e-3,7.156e-8
527.67,3.510e+0,3.508e+0,2.071e-3,7.152e-8
527.69,2.904e+0,2.903e+0,1.400e-3,7.063e-8
527.72,2.749e+0,2.748e+0,7.612e-4,6.813e-8
527.74,3.115e+0,3.114e+0,4.999e-4,6.584e-8
527.77,4.418e+0,4.418e+0,2.603e-4,6.180e-8
527.79,5.878e+0,5.878e+0,1.661e-4,5.892e-8
527.81,7.923e+0,7.923e+0,1.048e-4,5.606e-8
527.84,1.238e+1,1.238e+1,5.136e-5,5.218e-8
527.86,1.653e+1,1.653e+1,3.147e-5,5.007e-8
527.89,2.503e+1,2.503e+1,1.478e-5,4.795e-8
527.91,3.257e+1,3.257e+1,8.799e-6,4.738e-8
527.94,4.732e+1,4.732e+1,3.959e-6,4.793e-8
527.96,5.985e+1,5.985e+1,2.295e-6,4.927e-8
527.99,8.333e+1,8.333e+1,1.003e-6,5.268e-8
528.01,1.024e+2,1.024e+2,5.876e-7,5.578e-8
528.04,1.366e+2,1.366e+2,3.182e-7,6.142e-8
528.06,1.632e+2,1.632e+2,2.950e-7,6.562e-8
528.09,2.085e+2,2.085e+2,4.844e-7,7.219e-8
528.11,2.420e+2,2.420e+2,8.280e-7,7.648e-8
528.14,2.961e+2,2.961e+2,1.974e-6,8.232e-8
528.16,3.340e+2,3.340e+2,3.522e-6,8.558e-8
528.19,3.916e+2,3.916e+2,8.254e-6,8.915e-8
528.21,4.292e+2,4.292e+2,1.437e-5,9.047e-8
528.23,4.651e+2,4.651e+2,2.472e-5,9.088e-8
528.26,5.134e+2,5.134e+2,5.462e-5,8.968e-8
528.28,5.406e+2,5.406e+2,9.135e-5,8.769e-8
528.31,5.717e+2,5.717e+2,1.934e-4,8.308e-8
528.33,5.849e+2,5.849e+2,3.143e-4,7.905e-8
528.36,5.925e+2,5.925e+2,6.374e-4,7.188e-8
528.38,5.891e+2,5.891e+2,1.007e-3,6.654e-8
528.41,5.717e+2,5.717e+2,1.956e-3,5.807e-8
528.43,5.523e+2,5.523e+2,3.003e-3,5.232e-8
528.46,5.134e+2,5.134e+2,5.590e-3,4.385e-8
528.48,4.820e+2,4.820e+2,8.339e-3,3.846e-8
528.51,4.292e+2,4.292e+2,1.487e-2,3.099e-8
528.53,3.916e+2,3.916e+2,2.156e-2,2.649e-8
528.56,3.341e+2,3.340e+2,3.684e-2,2.054e-8
528.58,2.962e+2,2.961e+2,5.190e-2,1.712e-8
528.6,2.596e+2,2.596e+2,7.230e-2,1.414e-8
528.63,2.086e+2,2.085e+2,1.163e-1,1.042e-8
528.65,1.777e+2,1.776e+2,1.575e-1,8.406e-9
528.68,1.369e+2,1.366e+2,2.428e-1,5.991e-9
528.7,1.134e+2,1.131e+2,3.194e-1,4.730e-9
528.73,8.380e+1,8.333e+1,4.717e-1,3.268e-9
528.75,6.762e+1,6.702e+1,6.031e-1,2.529e-9
528.78,4.817e+1,4.732e+1,8.534e-1,1.698e-9
528.8,3.804e+1,3.698e+1,1.060e+0,1.291e-9
528.83,2.645e+1,2.501e+1,1.437e+0,8.447e-10
528.85,2.073e+1,1.899e+1,1.736e+0,6.314e-10
528.88,1.456e+1,1.230e+1,2.254e+0,4.031e-10
528.9,1.173e+1,9.081e+0,2.645e+0,2.966e-10
528.93,8.927e+0,5.635e+0,3.292e+0,1.850e-10
528.95,7.796e+0,4.042e+0,3.754e+0,1.339e-10
528.97,7.098e+0,2.866e+0,4.232e+0,9.640e-11
529,6.634e+0,1.674e+0,4.960e+0,5.820e-11
529.02,6.588e+0,1.154e+0,5.434e+0,4.131e-11
529.05,6.747e+0,6.457e-1,6.101e+0,2.462e-11
529.07,6.929e+0,4.323e-1,6.497e+0,1.758e-11
529.1,7.220e+0,2.318e-1,6.988e+0,1.123e-11
529.12,7.382e+0,1.508e-1,7.232e+0,9.129e-12
529.15,7.529e+0,7.746e-2,7.452e+0,8.598e-12
529.17,7.544e+0,4.897e-2,7.495e+0,9.979e-12
529.2,7.423e+0,2.410e-2,7.399e+0,1.518e-11
529.22,7.246e+0,1.480e-2,7.232e+0,2.141e-11
529.25,6.847e+0,6.977e-3,6.840e+0,3.687e-11
529.27,6.501e+0,4.165e-3,6.497e+0,5.302e-11
529.3,5.889e+0,1.881e-3,5.887e+0,9.051e-11
529.32,5.436e+0,1.091e-3,5.434e+0,1.280e-10
529.34,4.960e+0,6.257e-4,4.960e+0,1.796e-10
529.37,4.233e+0,2.660e-4,4.232e+0,2.936e-10
529.39,3.754e+0,1.482e-4,3.754e+0,4.029e-10
529.42,3.069e+0,6.037e-5,3.069e+0,6.366e-10
529.44,2.645e+0,3.270e-5,2.645e+0,8.538e-10
529.47,2.072e+0,1.275e-5,2.072e+0,1.303e-9
529.49,1.736e+0,6.712e-6,1.736e+0,1.707e-9
529.52,1.302e+0,2.508e-6,1.302e+0,2.514e-9
529.54,1.060e+0,1.283e-6,1.060e+0,3.215e-9
529.57,7.623e-1,4.592e-7,7.623e-1,4.568e-9
529.59,6.031e-1,2.282e-7,6.031e-1,5.702e-9
529.62,4.154e-1,7.825e-8,4.154e-1,7.809e-9
529.64,3.194e-1,3.779e-8,3.194e-1,9.512e-9
529.67,2.108e-1,1.241e-8,2.108e-1,1.256e-8
529.69,1.575e-1,5.825e-9,1.575e-1,1.492e-8
529.72,9.958e-2,1.833e-9,9.958e-2,1.899e-8
529.74,7.233e-2,8.358e-10,7.233e-2,2.204e-8
529.76,5.196e-2,3.768e-10,5.196e-2,2.532e-8
529.79,3.103e-2,1.116e-10,3.103e-2,3.066e-8
529.81,2.176e-2,4.891e-11,2.176e-2,3.442e-8
529.84,1.270e-2,1.388e-11,1.270e-2,4.027e-8
529.86,8.959e-3,5.909e-12,8.959e-3,4.423e-8
529.89,5.727e-3,1.607e-12,5.727e-3,5.012e-8
529.91,4.765e-3,6.646e-13,4.765e-3,5.393e-8
529.94,4.758e-3,1.731e-13,4.758e-3,5.934e-8
529.96,5.669e-3,6.958e-14,5.669e-3,6.267e-8
529.99,8.585e-3,1.736e-14,8.585e-3,6.717e-8
530.01,1.181e-2,6.781e-15,1.181e-2,6.978e-8
530.04,1.924e-2,6.710e-15,1.924e-2,7.305e-8
530.06,2.648e-2,6.662e-15,2.648e-2,7.478e-8
530.09,4.203e-2,6.591e-15,4.203e-2,7.665e-8
530.11,5.645e-2,6.543e-15,5.645e-2,7.739e-8
530.13,7.498e-2,6.496e-15,7.498e-2,7.773e-8
530.16,1.124e-1,6.424e-15,1.124e-1,7.745e-8
530.18,1.451e-1,6.377e-15,1.451e-1,7.673e-8
530.21,2.085e-1,6.305e-15,2.085e-1,7.484e-8
530.23,2.617e-1,6.258e-15,2.617e-1,7.305e-8
530.26,3.603e-1,6.186e-15,3.603e-1,6.958e-8
530.28,4.395e-1,6.139e-15,4.395e-1,6.678e-8
530.31,5.798e-1,6.067e-15,5.798e-1,6.192e-8
530.33,6.876e-1,6.020e-15,6.876e-1,5.831e-8
530.36,8.693e-1,5.948e-15,8.693e-1,5.246e-8
530.38,1.002e+0,5.901e-15,1.002e+0,4.837e-8
530.41,1.214e+0,5.829e-15,1.214e+0,4.211e-8
530.43,1.360e+0,5.782e-15,1.360e+0,3.794e-8
530.46,1.579e+0,5.710e-15,1.579e+0,3.188e-8
530.48,1.719e+0,5.663e-15,1.719e+0,2.804e-8
530.5,1.851e+0,5.615e-15,1.851e+0,2.442e-8
530.53,2.024e+0,5.544e-15,2.024e+0,1.948e-8
530.55,2.118e+0,5.496e-15,2.118e+0,1.655e-8
530.58,2.220e+0,5.425e-15,2.220e+0,1.273e-8
530.6,2.258e+0,5.377e-15,2.258e+0,1.056e-8
530.63,2.268e+0,5.306e-15,2.268e+0,7.868e-9
530.65,2.242e+0,5.258e-15,2.242e+0,6.417e-9
530.68,2.158e+0,5.187e-15,2.158e+0,4.701e-9
530.7,2.074e+0,5.139e-15,2.074e+0,3.828e-9
530.73,1.913e+0,5.068e-15,1.913e+0,2.861e-9
530.75,1.786e+0,1.308e-14,1.786e+0,2.409e-9
530.78,1.579e+0,5.311e-14,1.579e+0,1.958e-9
530.8,1.434e+0,1.333e-13,1.434e+0,1.779e-9
530.83,1.215e+0,5.187e-13,1.215e+0,1.647e-9
530.85,1.072e+0,1.265e-12,1.072e+0,1.625e-9
530.88,8.715e-1,4.721e-12,8.715e-1,1.658e-9
530.9,7.489e-1,1.120e-11,7.489e-1,1.708e-9
530.92,6.373e-1,2.625e-11,6.373e-1,1.769e-9
530.95,4.923e-1,9.231e-11,4.923e-1,1.863e-9
530.97,4.114e-1,2.104e-10,4.114e-1,1.920e-9
531,3.140e-1,7.092e-10,3.140e-1,1.982e-9
531.02,2.651e-1,1.572e-9,2.651e-1,2.004e-9
531.05,2.155e-1,5.078e-9,2.155e-1,2.002e-9
531.07,1.984e-1,1.094e-8,1.984e-1,1.977e-9
531.1,1.972e-1,3.388e-8,1.972e-1,1.903e-9
531.12,2.137e-1,7.096e-8,2.137e-1,1.832e-9
531.15,2.667e-1,2.106e-7,2.667e-1,1.696e-9
