Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
211.62,8.058e-29,6.307e-14,,8.058e-29
211.64,2.298e-29,6.305e-14,,2.298e-29
211.67,3.060e-30,6.302e-14,,3.060e-30
211.69,7.296e-31,6.300e-14,,7.296e-31
211.72,7.426e-32,6.297e-14,,7.426e-32
211.74,1.480e-32,6.295e-14,,1.480e-32
211.77,1.151e-33,6.291e-14,,1.151e-33
211.79,1.918e-34,6.289e-14,,1.918e-34
211.82,1.140e-35,6.286e-14,,1.140e-35
211.84,1.587e-36,6.284e-14,,1.587e-36
211.87,7.212e-38,6.281e-14,,7.212e-38
211.89,8.396e-39,6.279e-14,,8.396e-39
211.92,2.915e-40,6.276e-14,,2.915e-40
211.94,2.837e-41,6.274e-14,,2.837e-41
211.96,2.570e-42,6.272e-14,,2.570e-42
211.99,6.124e-44,6.269e-14,,6.124e-44
212.71,1.558e-42,6.195e-14,,1.558e-42
212.73,1.699e-41,6.192e-14,,1.699e-41
212.75,1.727e-40,6.190e-14,,1.727e-40
212.78,4.904e-39,6.187e-14,,4.904e-39
212.8,4.181e-38,6.185e-14,,4.181e-38
212.83,9.123e-37,6.182e-14,,9.123e-37
212.85,6.525e-36,6.180e-14,,6.525e-36
212.88,1.094e-34,6.177e-14,,1.094e-34
212.9,6.564e-34,6.175e-14,,6.564e-34
212.93,8.456e-33,6.172e-14,,8.456e-33
212.95,4.257e-32,6.170e-14,,4.257e-32
212.98,4.213e-31,6.167e-14,,4.213e-31
213,1.779e-30,6.165e-14,,1.779e-30
213.03,1.353e-29,6.161e-14,,1.353e-29
213.05,4.793e-29,6.159e-14,,4.793e-29
213.08,2.801e-28,6.156e-14,,2.801e-28
213.1,8.324e-28,6.154e-14,,8.324e-28
213.12,2.306e-27,6.152e-14,,2.306e-27
213.15,9.318e-27,6.149e-14,,9.318e-27
213.17,2.165e-26,6.147e-14,,2.165e-26
213.2,6.723e-26,6.144e-14,,6.723e-26
213.22,1.311e-25,6.142e-14,,1.311e-25
213.25,3.127e-25,6.139e-14,,3.127e-25
213.27,5.114e-25,6.137e-14,,5.114e-25
213.3,9.374e-25,6.134e-14,,9.374e-25
213.32,1.286e-24,6.132e-14,,1.286e-24
213.35,1.811e-24,6.128e-14,,1.811e-24
213.37,2.085e-24,6.126e-14,,2.085e-24
213.4,2.256e-24,6.123e-14,,2.256e-24
213.42,2.178e-24,6.121e-14,,2.178e-24
213.45,1.811e-24,6.118e-14,,1.811e-24
213.47,1.467e-24,6.116e-14,,1.467e-24
213.5,9.374e-25,6.113e-14,,9.374e-25
213.52,6.369e-25,6.111e-14,,6.369e-25
213.54,4.034e-25,6.109e-14,,4.034e-25
213.57,1.782e-25,6.106e-14,,1.782e-25
213.59,9.470e-26,6.104e-14,,9.470e-26
213.62,3.215e-26,6.101e-14,,3.215e-26
213.64,1.433e-26,6.099e-14,,1.433e-26
213.67,3.738e-27,6.095e-14,,3.738e-27
213.69,1.398e-27,6.093e-14,,1.398e-27
213.72,2.801e-28,6.090e-14,,2.801e-28
213.74,8.787e-29,6.088e-14,,8.787e-29
213.77,1.353e-29,6.085e-14,,1.353e-29
213.79,3.561e-30,6.083e-14,,3.561e-30
213.82,4.213e-31,6.080e-14,,4.213e-31
213.84,9.301e-32,6.078e-14,,9.301e-32
213.87,8.456e-33,6.075e-14,,8.456e-33
213.89,1.566e-33,6.073e-14,,1.566e-33
213.91,2.703e-34,6.071e-14,,2.703e-34
213.94,1.700e-35,6.068e-14,,1.700e-35
213.96,2.461e-36,6.066e-14,,2.461e-36
213.99,1.189e-37,6.062e-14,,1.189e-37
214.01,1.444e-38,6.060e-14,,1.444e-38
214.04,5.361e-40,6.057e-14,,5.361e-40
214.06,5.464e-41,6.055e-14,,5.464e-41
214.09,1.558e-42,6.052e-14,,1.558e-42
214.11,1.332e-43,6.050e-14,,1.332e-43
217.05,3.882e-43,5.747e-14,,3.882e-43
217.07,4.260e-42,5.745e-14,,4.260e-42
217.1,1.364e-40,5.742e-14,,1.364e-40
217.12,1.265e-39,5.740e-14,,1.265e-39
217.15,3.145e-38,5.736e-14,,3.145e-38
217.17,2.463e-37,5.734e-14,,2.463e-37
217.2,4.756e-36,5.731e-14,,4.756e-36
