Wavelength (nm),Sum(calc),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
208.51,1.519e-28,,,1.519e-28
208.53,1.474e-29,,,1.474e-29
209.2,7.147e-30,,,7.147e-30
209.22,7.311e-29,,,7.311e-29
209.25,2.088e-27,,,2.088e-27
209.27,1.781e-26,,,1.781e-26
209.3,3.872e-25,,,3.872e-25
209.32,2.754e-24,,,2.754e-24
209.35,4.560e-23,,,4.560e-23
209.37,2.705e-22,,,2.705e-22
209.39,1.492e-21,,,1.492e-21
209.42,1.687e-20,,,1.687e-20
209.44,7.758e-20,,,7.758e-20
209.47,6.679e-19,,,6.679e-19
209.49,2.562e-18,,,2.562e-18
209.52,1.679e-17,,,1.679e-17
209.54,5.371e-17,,,5.371e-17
209.57,2.681e-16,,,2.681e-16
209.59,7.150e-16,,,7.150e-16
209.62,2.718e-15,,,2.718e-15
209.64,6.044e-15,,,6.044e-15
209.67,3.539e-13,,3.364e-13,1.749e-14
209.69,3.438e-12,,3.406e-12,3.245e-14
209.72,9.586e-11,,9.579e-11,7.151e-14
209.74,8.094e-10,,8.093e-10,1.106e-13
209.77,1.735e-8,,1.735e-8,1.856e-13
209.79,1.224e-7,,1.224e-7,2.393e-13
209.81,8.025e-7,,8.025e-7,2.870e-13
209.84,1.177e-5,,1.177e-5,3.289e-13
209.86,6.443e-5,,6.443e-5,3.289e-13
209.89,7.205e-4,,7.205e-4,2.870e-13
209.91,3.291e-3,,3.291e-3,2.393e-13
209.94,2.806e-2,,2.806e-2,1.590e-13
209.96,1.070e-1,,1.070e-1,1.106e-13
209.99,6.953e-1,,6.953e-1,5.595e-14
210.01,2.212e+0,,2.212e+0,3.245e-14
210.04,1.096e+1,,1.096e+1,1.250e-14
210.06,2.911e+1,,2.911e+1,6.044e-15
210.09,1.100e+2,,1.100e+2,1.773e-15
210.11,2.437e+2,,2.437e+2,7.150e-16
210.14,7.021e+2,,7.021e+2,1.597e-16
210.16,1.298e+3,,1.298e+3,5.371e-17
210.18,2.234e+3,,2.234e+3,1.679e-17
210.21,4.401e+3,,4.401e+3,2.562e-18
210.23,6.319e+3,,6.319e+3,6.679e-19
210.26,9.493e+3,,9.493e+3,7.788e-20
210.28,1.137e+4,,1.137e+4,1.833e-20
210.31,1.303e+4,,1.303e+4,1.531e-20
210.33,1.303e+4,,1.303e+4,5.661e-20
210.36,1.137e+4,,1.137e+4,4.052e-19
210.38,9.493e+3,,9.493e+3,1.380e-18
210.41,6.319e+3,,6.319e+3,7.573e-18
210.43,4.401e+3,,4.401e+3,2.153e-17
210.46,2.234e+3,,2.234e+3,9.020e-17
210.48,1.298e+3,,1.298e+3,2.142e-16
210.51,5.024e+2,,5.024e+2,6.847e-16
210.53,2.437e+2,,2.437e+2,1.358e-15
210.56,7.191e+1,,7.191e+1,3.313e-15
210.58,2.911e+1,,2.911e+1,5.487e-15
210.6,1.096e+1,,1.096e+1,8.455e-15
210.63,2.212e+0,,2.212e+0,1.413e-14
210.65,6.953e-1,,6.953e-1,1.818e-14
210.68,1.070e-1,,1.070e-1,2.319e-14
210.7,2.806e-2,,2.806e-2,2.493e-14
210.73,3.291e-3,,3.291e-3,2.426e-14
210.75,7.207e-4,,7.207e-4,2.177e-14
210.78,6.878e-5,,6.878e-5,1.617e-14
210.8,3.701e-5,,3.701e-5,1.212e-14
210.83,3.087e-4,,3.087e-4,6.873e-15
210.85,1.492e-3,,1.492e-3,4.302e-15
