Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
216.5,6.811e-2,6.811e-2,2.114e-16,1.257e-25
216.52,2.398e-1,2.398e-1,2.120e-16,1.254e-25
216.55,1.394e+0,1.394e+0,2.129e-16,1.249e-25
216.57,4.140e+0,4.140e+0,2.135e-16,1.245e-25
216.6,1.865e+1,1.865e+1,2.144e-16,1.241e-25
216.62,4.672e+1,4.672e+1,2.149e-16,1.237e-25
216.65,1.631e+2,1.631e+2,2.158e-16,1.232e-25
216.67,3.447e+2,3.447e+2,2.164e-16,1.229e-25
216.7,9.322e+2,9.322e+2,2.173e-16,1.224e-25
216.72,1.662e+3,1.662e+3,2.179e-16,1.221e-25
216.75,3.483e+3,3.483e+3,2.188e-16,1.216e-25
216.77,5.239e+3,5.239e+3,2.193e-16,1.213e-25
216.8,8.506e+3,8.506e+3,2.202e-16,1.208e-25
216.82,1.079e+4,1.079e+4,2.208e-16,1.204e-25
216.85,1.358e+4,1.358e+4,2.217e-16,1.199e-25
216.87,1.453e+4,1.453e+4,2.223e-16,1.196e-25
216.9,1.417e+4,1.417e+4,2.232e-16,1.191e-25
216.92,1.279e+4,1.279e+4,2.238e-16,1.188e-25
216.95,9.664e+3,9.664e+3,2.246e-16,1.183e-25
216.97,7.361e+3,7.361e+3,2.252e-16,1.180e-25
216.99,5.239e+3,5.239e+3,2.258e-16,1.176e-25
217.02,2.769e+3,2.769e+3,2.267e-16,1.171e-25
217.04,1.662e+3,1.662e+3,2.273e-16,1.168e-25
217.07,6.822e+2,6.822e+2,2.282e-16,1.163e-25
217.09,3.497e+2,3.497e+2,2.287e-16,1.160e-25
217.12,1.329e+2,1.329e+2,2.296e-16,1.155e-25
217.14,1.075e+2,1.075e+2,2.302e-16,1.152e-25
217.17,2.335e+2,2.335e+2,2.311e-16,1.147e-25
217.19,4.877e+2,4.877e+2,2.317e-16,1.143e-25
217.22,1.370e+3,1.370e+3,2.326e-16,1.138e-25
217.24,2.519e+3,2.519e+3,2.331e-16,1.135e-25
217.27,5.533e+3,5.533e+3,2.340e-16,1.130e-25
217.29,8.591e+3,8.591e+3,2.346e-16,1.127e-25
217.32,1.464e+4,1.464e+4,2.355e-16,1.122e-25
217.34,1.920e+4,1.920e+4,2.361e-16,1.119e-25
217.37,2.538e+4,2.538e+4,2.370e-16,1.114e-25
217.39,2.809e+4,2.809e+4,2.375e-16,1.110e-25
217.41,2.906e+4,2.906e+4,2.381e-16,1.107e-25
217.44,2.693e+4,2.693e+4,2.390e-16,1.102e-25
217.46,2.352e+4,2.352e+4,2.396e-16,1.099e-25
217.49,1.691e+4,1.691e+4,2.405e-16,1.094e-25
217.51,1.247e+4,1.247e+4,2.411e-16,1.091e-25
217.54,6.953e+3,6.953e+3,2.420e-16,1.086e-25
217.56,4.329e+3,4.329e+3,2.425e-16,1.082e-25
217.59,1.873e+3,1.873e+3,2.434e-16,1.077e-25
217.61,9.844e+2,9.844e+2,2.440e-16,1.074e-25
217.64,3.304e+2,3.304e+2,2.449e-16,1.069e-25
217.66,1.466e+2,1.466e+2,2.455e-16,1.066e-25
