Wavelength (nm),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
446.608,,,1.416e-7
446.84926,,9.638e+3,
448.12592,1.376e+3,,
448.83239,,1.233e+3,
449.61448,7.671e+2,,
449.652,,,7.656e-8
450.126972,,7.056e+3,
451.27339,1.106e+3,,
451.8022,1.603e+3,,
451.8689,1.669e+2,,
452.038,,,1.859e-7
452.2797,1.395e+3,,
452.73041,1.164e+3,,
453.32394,9.906e+3,,
453.3263,,,1.365e-6
453.396001,,6.157e+3,
453.47761,6.404e+3,,
454.46871,1.054e+3,,
454.81101,1.148e+2,,
454.87635,1.508e+3,,
454.96217,,1.906e+4,
455.24533,1.542e+3,,
455.54829,1.081e+3,,
456.34234,3.141e+2,,
456.37581,,4.081e+3,
457.19713,,1.192e+4,
457.653,,,1.511e-6
457.852,,,1.321e-6
461.72689,2.905e+3,,
462.30972,1.547e+3,,
463.99388,7.809e+2,,
464.0418,9.753e+1,,
464.5188,3.371e+2,,
464.946,,,1.350e-6
465.00097,3.058e+2,,
465.286,,,3.419e-6
465.60433,1.810e+2,,
465.64693,4.769e+2,,
466.75845,6.607e+2,,
467.34,,,4.275e-7
467.51167,1.129e+2,,
468.19089,8.530e+2,,
472.26059,1.288e+2,,
474.23016,1.290e+2,,
474.27892,1.115e+3,,
475.81178,1.823e+3,,
475.92697,2.222e+3,,
476.358,,,5.811e-7
477.82547,4.302e+2,,
480.028,,,1.163e-7
480.54144,8.702e+2,,
482.04094,6.008e+2,,
482.179,,,6.873e-8
484.08737,1.035e+3,,
485.60103,1.913e+3,,
486.8144,1.426e+2,,
487.4,,,2.511e-6
487.40094,,7.062e+2,
487.48747,8.160e+1,,
488.50794,2.441e+3,,
488.87105,5.065e+1,,
491.11944,,1.079e+3,
491.36134,1.583e+3,,
491.431,,,7.688e-7
491.52287,1.030e+2,,
492.83362,8.943e+2,,
494.15707,7.645e+1,,
496.4717,1.493e+2,,
496.85675,2.255e+2,,
497.119,,,4.925e-6
497.30307,2.341e+2,,
497.77275,1.689e+2,,
498.17305,1.165e+4,,
498.91346,6.762e+2,,
499.1066,8.897e+3,,
499.70967,8.616e+1,,
499.9503,6.679e+3,,
500.09896,9.228e+2,,
500.72093,4.916e+3,,
500.96447,6.092e+1,,
501.32824,1.234e+3,,
501.41861,5.655e+2,,
501.42762,4.902e+3,,
501.61609,9.796e+2,,
502.00263,1.432e+3,,
502.28679,1.389e+3,,
502.48444,9.516e+2,,
502.55696,1.631e+3,,
503.64639,2.488e+3,,
503.83979,1.933e+3,,
503.99574,8.248e+2,,
506.21021,2.765e+2,,
506.40594,1.944e+2,,
506.46526,1.105e+3,,
507.14673,1.573e+2,,
508.38,,,5.846e-7
508.70582,3.080e+2,,
511.34401,3.081e+2,,
514.54602,4.912e+2,,
514.731,,,1.288e-5
514.74777,1.281e+2,,
515.21835,1.235e+2,,
517.37431,8.575e+2,,
518.63252,1.451e+2,,
519.29686,1.080e+3,,
519.4037,1.976e+2,,
