Wavelength (nm),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
826.257,,,9.116e-11
826.565,,,1.633e-11
826.933,,,4.864e-11
827.139,,,1.623e-11
827.195,,,2.157e-11
834.196,,,4.580e-13
843.649,,,3.816e-12
864.847,4.223e+2,,
889.923,1.036e+2,,
893.55,,1.003e-1,
893.563,,7.015e-2,
