Wavelength (nm),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
237.174182,,4.878e+0,
237.263287,,1.761e+2,
237.28071,,3.557e+0,
237.30523,,6.836e-1,
237.33787,,4.089e-1,
237.343652,,8.637e-1,
237.360959,,9.198e+0,
237.373534,,1.243e+4,
237.407078,,6.941e-1,
237.420859,,1.882e+0,
237.439114,,8.811e+0,
237.465314,,8.107e+0,
237.487396,,8.965e+0,
237.499572,,1.895e+0,
237.507038,,1.462e+0,
237.51381,,6.989e+0,
237.519365,,3.672e+3,
237.54741,,1.500e+0,
237.610629,,3.573e+0,
237.642916,,6.221e+2,
237.6715,,,2.728e-6
237.675775,,3.430e+0,
237.727104,,3.159e-1,
237.746169,,2.382e+0,
237.812606,,3.469e+0,
237.852274,,7.954e+1,
237.853897,,5.158e-1,
237.855337,,9.133e+0,
237.86969,,7.536e+0,
237.882028,,3.752e+0,
237.896889,,3.917e+0,
237.900235,,1.217e+2,
237.914193,,5.045e+1,
237.916973,,2.991e+1,
237.920461,,8.038e-1,
237.927624,,4.566e+3,
237.930926,,4.433e+1,
237.935865,,1.802e+0,
237.942084,,7.949e+0,
237.942214,,2.425e+0,
237.950591,,3.240e+0,
237.969114,,1.209e+0,
237.979981,,1.199e+0,
238.015152,,7.107e-1,
238.020491,,1.321e+1,
238.050403,,1.835e+0,
238.067277,,1.198e+1,
238.076128,,6.709e+3,
238.087506,,3.814e+0,
238.090489,,9.322e-1,
238.19581,,2.798e+1,
238.203729,,1.122e+5,
238.216421,,2.939e+0,
238.242361,,6.667e-1,
238.249227,,6.446e+0,
238.257245,,1.004e+0,
238.264821,,4.970e-1,
238.289693,,3.574e+2,
238.306018,,1.599e+3,
238.311729,,1.777e+0,
238.314405,,6.982e-1,
238.319814,,4.034e+0,
238.324494,,4.289e+3,
238.353841,,3.252e-1,
238.431593,,8.499e-1,
238.438765,,2.455e+3,
238.44228,,2.006e+1,
238.451915,,4.505e+0,
238.46427,,6.474e-1,
238.485855,,1.325e+0,
238.509385,,1.901e+0,
238.560784,,5.045e-1,
238.586538,,6.003e-1,
238.600325,,1.167e+0,
238.6374,,6.936e+1,
238.646357,,1.055e+0,
238.708383,,1.295e+0,
238.736719,,8.100e+1,
238.743475,,8.188e+1,
238.764205,,7.114e+0,
238.822624,,1.898e+2,
238.824699,,1.403e+0,
238.834205,,8.640e-1,
238.838783,,3.667e+2,
238.862859,,2.415e+4,
238.862883,,6.587e-1,
238.898807,,4.893e+0,
238.943869,,6.181e+0,
238.953,,,6.740e-6
239.009679,,3.377e+1,
239.075748,,3.368e+1,
239.077207,,1.076e+0,
239.167917,,6.969e-1,
239.172008,,6.053e-1,
239.195845,,1.116e+0,
239.208896,,6.469e+0,
239.212267,,9.542e-1,
239.214906,,1.357e+0,
239.257923,,4.089e+0,
239.334209,,1.282e+0,
239.402705,,7.620e-1,
239.483283,,3.451e+0,
239.488912,,1.480e+2,
239.541911,,2.998e+3,
239.549425,,2.743e+0,
239.554557,,2.246e+0,
239.562498,,7.578e+4,
239.610101,,6.988e+0,
239.671917,,1.893e+2,
239.701728,,1.211e+0,
239.726665,,2.685e+0,
239.864913,,9.967e+1,
239.908157,,8.133e-1,
239.915115,,4.234e+1,
239.924104,,2.364e+4,
239.92665,,2.852e+1,
239.942927,,5.946e-1,
239.95065,,2.325e+1,
239.979552,,2.033e+0,
240.004984,,2.403e+1,
240.027817,,1.341e+2,
240.034394,,5.675e+2,
240.129154,,7.448e+1,
240.170423,,3.991e-1,
240.189466,,5.341e-1,
240.208144,,7.251e+1,
240.22719,,3.230e+1,
240.239312,,6.593e-1,
240.244612,,4.210e+1,
240.263254,,4.400e+1,
240.270985,,2.935e+0,
240.3557,,,3.101e-6
240.376283,,6.989e+0,
240.39439,,5.038e-1,
240.397055,,2.988e+0,
240.406103,,1.382e+0,
240.443046,,3.596e+3,
240.48854,,4.508e+4,
240.499369,,9.602e+1,
240.502227,,8.578e-1,
240.568265,,6.073e+1,
240.583154,,6.245e+0,
240.6421,,,8.163e-8
240.666098,,1.808e+4,
240.675456,,5.359e-1,
240.697536,,1.161e+1,
240.699257,,2.067e+2,
240.740896,,6.609e-1,
240.775189,,1.410e+1,
240.864815,,5.476e+1,
240.877437,,7.849e+0,
240.929612,,4.666e-1,
240.953516,,5.779e+0,
240.985883,,1.172e+1,
241.02123,,1.506e+1,
241.026938,,4.451e+1,
241.051889,,2.636e+4,
241.054375,,1.763e+0,
241.098328,,1.917e+0,
241.106724,,1.323e+4,
241.16775,,5.359e+0,
241.180768,,1.647e+1,
241.200755,,8.396e+0,
241.225996,,1.638e+0,
241.243758,,1.982e+1,
241.331009,,1.145e+4,
241.349561,,1.700e+1,
241.367167,,2.983e+0,
241.399319,,2.133e+1,
241.4218,,3.922e+0,
241.506788,,1.478e+2,
241.536129,,9.693e+0,
241.608017,,5.652e+0,
241.64452,,1.223e+2,
241.671562,,3.477e+1,
241.782031,,1.053e+2,
241.787036,,8.565e+2,
241.810057,,4.667e-1,
241.822149,,3.011e-1,
241.843655,,8.985e+1,
241.866488,,7.290e+0,
241.900365,,2.140e+0,
241.993137,,6.246e-1,
241.998818,,4.663e+1,
242.10402,,6.913e-1,
242.181733,,4.958e-1,
242.194507,,1.271e+0,
242.268795,,4.185e+2,
242.278537,,1.016e+0,
242.321014,,3.024e+2,
242.349922,,3.915e+0,
242.414529,,3.368e+3,
242.42042,,9.402e-1,
242.43896,,2.123e+2,
242.459274,,2.679e+2,
242.477695,,5.635e-1,
242.536333,,8.092e+1,
242.563758,,8.093e+0,
242.568541,,1.554e+2,
