Wavelength (nm),Mn I (1.1e-1),Mn II (8.9e-1)
378.5434,1.067e+2,
379.0207,7.778e+2,
380.0556,4.022e+2,
380.1898,3.273e+2,
380.6711,9.909e+3,
380.9592,1.553e+3,
382.3507,7.172e+3,
382.3887,1.863e+3,
383.3861,1.676e+3,
383.4362,4.660e+3,
383.9819,1.233e+3,
384.1071,2.661e+3,
384.3984,1.126e+3,
387.2093,7.096e+1,
387.3179,8.327e+1,
388.883,3.227e+1,
388.9456,1.532e+2,
389.8344,1.853e+2,
389.9313,1.792e+2,
391.1133,1.617e+2,
391.9303,3.365e+1,
392.3317,1.706e+2,
392.4047,7.749e+2,
392.6475,9.084e+2,
392.8292,3.589e+1,
392.9642,9.586e+1,
393.1512,6.207e+1,
393.6757,9.333e+1,
395.1963,7.670e+1,
395.2834,3.528e+2,
395.4565,4.338e+1,
397.5887,9.104e+1,
397.7078,1.284e+2,
398.0143,5.411e+1,
398.2157,9.406e+1,
398.2583,4.647e+2,
398.2791,1.087e+2,
398.5241,2.944e+2,
398.6819,5.590e+2,
398.7091,4.055e+2,
399.1611,1.021e+2,
400.326,9.837e+1,
401.19,9.574e+1,
401.81,3.471e+3,
402.6433,6.561e+2,
403.0753,2.745e+4,
403.1789,4.622e+2,
403.3062,2.002e+4,
403.4483,1.280e+4,
403.8723,9.611e+1,
404.1355,1.372e+4,
404.8743,4.971e+3,
405.2472,3.960e+2,
405.5544,5.889e+3,
405.893,2.383e+3,
405.9388,4.878e+2,
406.173,6.621e+2,
406.3528,1.702e+3,
406.5071,5.221e+2,
406.635,9.888e+1,
407.0278,7.561e+2,
407.5251,7.523e+1,
407.9412,2.518e+3,
408.2939,2.971e+3,
408.3628,3.826e+3,
408.8558,2.362e+1,
408.9931,2.527e+2,
409.2379,1.526e+2,
409.4045,2.550e+1,
409.951,4.944e+1,
410.538,1.902e+2,
410.7865,9.886e+1,
411.3867,8.241e+1,
411.4384,1.667e+2,
411.6502,6.740e+1,
412.2361,7.142e+1,
412.2763,6.490e+1,
412.3281,7.476e+1,
412.5815,4.139e+1,
413.2301,5.390e+1,
413.5034,5.702e+2,
414.1056,4.084e+2,
414.7559,1.751e+2,
414.8788,2.876e+2,
416.4975,3.956e+1,
417.6599,4.799e+2,
418.2244,1.234e+2,
418.9983,3.316e+2,
420.177,3.039e+2,
422.0609,1.157e+2,
423.5295,4.591e+3,
423.973,6.146e+2,
425.7669,5.831e+2,
426.1282,9.930e+1,
426.5923,1.583e+3,
427.8673,6.931e+1,
428.1097,1.152e+3,
428.4085,2.871e+2,
429.0066,4.503e+1,
429.3255,,1.194e+0
429.3676,,9.291e-1
430.0189,9.975e+1,
431.0709,,2.237e+0
438.1708,1.427e+2,
440.8085,5.281e+1,
441.1864,2.981e+2,
441.489,1.685e+3,
441.9774,1.907e+2,
443.6357,1.641e+3,
445.1586,6.285e+3,
445.2524,1.102e+2,
445.3012,1.009e+3,
445.5814,8.134e+2,
445.7044,7.462e+2,
445.7549,2.043e+3,
445.8254,2.949e+3,
446.1079,1.085e+3,
446.2031,5.589e+3,
446.4682,2.524e+3,
447.0144,1.127e+3,
447.2806,8.067e+2,
447.9393,2.574e+2,
449.009,9.350e+2,
449.6626,5.734e+1,
449.8902,1.432e+3,
450.2213,1.465e+3,
450.3874,1.550e+2,
460.537,5.592e+2,
462.653,6.725e+2,
470.9712,1.618e+3,
472.7461,1.170e+3,
473.9087,1.082e+3,
475.4042,5.938e+3,
476.1512,2.412e+3,
476.2367,9.522e+3,
476.5846,2.821e+3,
476.6418,4.326e+3,
478.3427,7.858e+3,
482.3524,9.779e+3,
525.5326,5.071e+2,
529.438,,9.264e+0
529.544,,2.299e+1
529.707,,4.207e+1
529.934,,6.485e+1
530.234,,9.854e+1
601.351,1.902e+3,
602.182,3.672e+3,
612.2431,,6.446e+1
612.2814,,9.042e+0
612.5861,,4.521e+1
612.622,,1.260e+1
612.8732,,2.872e+1
612.9034,,1.193e+1
613.0796,,1.675e+1
613.1016,,8.417e+0
613.1923,,8.417e+0
646.2465,,5.042e-1
646.28,,6.887e-1
646.32,,9.408e-1
646.3627,,1.229e+0
714.0984,,5.245e+0
714.2415,,8.518e+0
714.3331,,7.668e+0
717.2379,,1.409e+1
717.4368,,1.097e+1
717.5813,,4.259e+0
721.9967,,2.544e+1
722.2644,,7.659e+0
724.9122,,4.678e+0
725.2395,,1.833e+1
726.7379,,5.920e+0
726.976,,9.356e+0
727.8586,,4.552e+0
728.0155,,3.491e+0
820.072,,1.442e+0
822.2648,,6.754e-1
823.0914,,5.066e-1
823.2171,,6.099e-1
823.292,,7.885e-1
844.8442,,4.887e+0
849.5211,,6.842e+0
856.5818,,8.146e+0
868.3689,,6.539e+0
869.5197,,8.338e+1
871.332,,4.641e+0
876.9182,,6.754e+1
881.958,,4.870e+1
