wavelength,intensity
321.79,1401.0
321.82,1073.0
321.84,902.7
321.87,721.1
321.89,639.5
321.92,553.4
321.94,507.8
321.97,443.2
321.99,401.4
322.02,350.5
322.04,335.2
322.06,344.3
322.09,417.7
322.11,511.5
322.14,719.1
322.16,895.2
322.19,1191.0
322.21,1385.0
322.24,1621.0
322.26,1713.0
322.29,1724.0
322.31,1649.0
322.34,1445.0
322.36,1280.0
322.39,1037.0
322.41,901.0
322.44,761.8
322.46,720.8
322.49,741.3
322.51,801.6
322.54,925.3
322.56,998.9
322.59,1045.0
322.61,1017.0
322.64,896.4
322.66,788.3
322.69,640.4
322.71,580.6
322.74,580.4
322.76,646.3
322.79,838.0
322.81,1015.0
322.84,1313.0
322.86,1502.0
322.89,1704.0
322.91,1750.0
322.94,1661.0
322.96,1506.0
322.98,1301.0
323.01,964.1
323.03,761.8
323.06,536.4
323.08,446.2
323.11,391.5
323.13,396.0
323.16,441.3
323.18,486.7
323.21,573.3
323.23,656.7
323.26,885.7
323.28,1174.0
323.31,1947.0
323.33,2750.0
323.36,4367.0
323.38,5599.0
323.41,7295.0
323.43,8065.0
323.46,8383.0
323.48,8037.0
323.51,7003.0
323.53,6264.0
323.56,5528.0
323.58,5396.0
323.61,5605.0
323.63,5811.0
323.66,5843.0
323.68,5558.0
323.71,4713.0
323.73,4028.0
323.76,3158.0
323.78,2845.0
323.81,2877.0
323.83,3173.0
323.85,3575.0
323.88,4107.0
323.9,4259.0
323.93,4054.0
323.95,3651.0
323.98,2827.0
324.0,2272.0
324.03,1654.0
324.05,1478.0
324.08,1647.0
324.1,2037.0
324.13,2921.0
324.15,3582.0
324.18,4406.0
324.2,4693.0
324.23,4590.0
324.25,4182.0
324.28,3242.0
324.3,2540.0
324.33,1595.0
324.35,1109.0
324.38,619.4
324.4,424.1
324.43,257.8
324.45,195.6
324.48,137.1
324.5,111.0
324.53,85.48
324.55,76.5
324.58,73.69
324.6,78.26
324.63,96.18
324.65,119.2
324.68,182.3
324.7,253.3
324.72,355.0
324.75,570.7
324.77,749.4
324.8,1030.0
324.82,1188.0
324.85,1317.0
324.87,1307.0
324.9,1149.0
324.92,976.8
324.95,686.1
324.97,510.6
325.0,321.8
325.02,258.9
325.05,265.2
325.07,334.6
325.1,528.4
325.12,708.3
325.15,1029.0
325.17,1256.0
325.2,1581.0
325.22,1764.0
325.25,1956.0
325.27,2016.0
325.3,2001.0
325.32,1932.0
325.35,1772.0
325.37,1645.0
325.4,1438.0
325.42,1287.0
325.45,1037.0
325.47,858.3
325.5,592.8
325.52,434.4
325.55,246.6
325.57,159.0
325.59,99.29
325.62,50.21
325.64,35.94
325.67,29.87
325.69,30.94
325.72,34.52
325.74,36.16
325.77,35.77
325.79,33.53
325.82,28.38
325.84,24.95
325.87,22.26
325.89,23.73
325.92,34.68
325.94,51.56
325.97,102.3
325.99,162.6
326.02,311.5
326.04,457.2
326.07,739.1
326.09,948.1
326.12,1229.0
326.14,1350.0
326.17,1380.0
326.19,1291.0
326.22,1037.0
326.24,828.2
326.27,530.9
326.29,371.9
326.32,209.0
326.34,145.3
326.37,96.59
326.39,83.17
326.42,77.53
326.44,79.17
326.46,83.47
326.49,92.77
326.51,98.96
326.54,104.0
326.56,102.4
326.59,91.09
326.61,78.66
326.64,56.75
326.66,42.73
326.69,26.09
326.71,18.77
326.74,12.97
326.76,11.62
326.79,11.4
326.81,11.54
326.84,11.37
326.86,11.07
326.89,11.56
326.91,13.91
326.94,24.18
326.96,38.51
326.99,77.43
327.01,118.6
327.04,207.2
327.06,283.5
327.09,415.3
327.11,504.6
327.14,616.7
327.16,662.6
327.19,670.3
327.21,632.6
327.24,524.0
327.26,431.4
327.29,290.2
327.31,208.0
327.33,141.9
327.36,74.8
327.38,48.93
327.41,30.26
327.43,26.48
327.46,27.57
327.48,30.59
327.51,36.92
327.53,42.32
327.56,53.05
327.58,62.54
327.61,80.69
327.63,95.41
327.66,122.2
327.68,145.1
327.71,193.1
327.73,238.2
327.76,328.9
327.78,401.7
327.81,513.4
327.83,576.0
327.86,628.7
327.88,628.1
327.91,574.5
327.93,512.5
327.96,402.6
327.98,330.7
328.01,239.4
328.03,193.4
328.06,148.8
328.08,135.6
328.11,140.6
328.13,159.5
328.16,203.8
328.18,236.6
328.21,274.2
328.23,283.3
328.25,276.3
328.28,238.2
328.3,200.5
328.33,139.9
328.35,103.9
328.38,63.51
328.4,46.2
328.43,32.13
328.45,28.69
328.48,30.83
328.5,37.95
328.53,61.79
328.55,90.31
328.58,158.4
328.6,222.7
328.63,345.9
328.65,441.0
328.68,588.0
328.7,676.6
328.73,772.0
328.75,798.5
328.78,771.8
328.8,711.9
328.83,577.1
328.85,472.9
328.88,321.9
328.9,235.9
328.93,137.8
328.95,93.11
328.98,52.3
329.0,38.79
329.03,33.11
329.05,36.33
329.08,48.36
329.1,59.77
329.12,72.81
329.15,93.04
329.17,104.9
329.2,116.6
329.22,118.5
329.25,110.9
329.27,99.79
329.3,77.22
329.32,60.89
329.35,38.47
329.37,26.42
329.4,13.54
329.42,8.12
329.45,3.512
329.47,2.02
329.5,1.09
329.52,0.9329
329.55,1.0
329.57,1.165
329.6,1.657
329.62,2.294
329.65,4.098
329.67,6.109
329.7,10.55
329.72,14.31
329.75,20.33
329.77,23.8
329.8,26.79
329.82,26.76
329.85,23.7
329.87,20.17
329.9,14.05
329.92,10.21
329.95,5.689
329.97,3.697
329.99,2.491
330.02,1.946
330.04,2.277
330.07,3.619
330.09,4.968
330.12,7.432
330.14,9.17
330.17,11.52
330.19,12.7
330.22,13.63
330.24,13.63
330.27,12.78
330.29,11.79
330.32,10.1
330.34,9.209
330.37,9.416
330.39,11.79
330.42,22.21
330.44,36.73
330.47,76.08
330.49,117.3
330.52,203.5
330.54,274.3
330.57,387.6
330.59,456.4
330.62,528.6
330.64,547.3
330.67,527.0
330.69,486.5
330.72,403.8
330.74,347.8
330.77,282.6
330.79,258.6
330.82,252.6
330.84,263.1
330.86,278.5
330.89,297.5
330.91,300.8
330.94,286.4
330.96,264.6
330.99,218.6
331.01,183.4
331.04,131.4
331.06,101.0
331.09,66.64
331.11,52.61
331.14,45.38
331.16,48.88
331.19,63.06
331.21,75.38
331.24,92.09
331.26,99.07
331.29,101.3
331.31,98.64
331.34,94.59
331.36,96.45
331.39,112.3
331.41,132.7
331.44,173.8
331.46,202.6
331.49,235.6
331.51,244.6
331.54,234.0
331.56,212.7
331.59,169.7
331.61,142.0
331.64,115.6
331.66,113.9
331.69,138.6
331.71,170.8
331.73,210.6
331.76,269.9
331.78,298.9
331.81,312.9
331.83,299.7
331.86,251.6
331.88,208.4
331.91,142.0
331.93,104.3
331.96,65.13
331.98,53.09
332.01,59.07
332.03,81.68
332.06,151.2
332.08,228.1
332.11,404.2
332.13,572.1
332.16,911.4
332.18,1193.0
332.21,1664.0
332.23,1966.0
332.26,2304.0
332.28,2397.0
332.31,2290.0
332.33,2067.0
332.36,1589.0
332.38,1242.0
332.41,775.5
332.43,535.4
332.46,293.6
332.48,200.4
332.51,132.8
332.53,119.9
332.56,130.4
332.58,150.2
332.6,175.7
332.63,215.4
332.65,236.0
332.68,249.3
332.7,245.8
332.73,233.0
332.75,233.1
332.78,277.7
332.8,355.7
332.83,564.4
332.85,761.7
332.88,1105.0
332.9,1322.0
332.93,1549.0
332.95,1594.0
332.98,1485.0
333.0,1314.0
333.03,988.9
333.05,777.7
333.08,536.4
333.1,443.5
333.13,398.6
333.15,412.0
333.18,453.6
333.2,474.5
333.23,478.8
333.25,468.5
333.28,462.2
333.3,486.3
333.33,595.7
333.35,723.6
333.38,982.7
333.4,1177.0
333.43,1451.0
333.45,1589.0
333.47,1670.0
333.5,1665.0
333.52,1573.0
333.55,1327.0
333.57,1117.0
333.6,789.3
333.62,591.2
333.65,356.7
333.67,247.6
333.7,146.0
333.72,109.1
333.75,81.3
333.77,73.13
333.8,70.45
333.82,76.24
333.85,105.5
333.87,146.8
333.9,255.9
333.92,366.0
333.95,589.8
333.97,777.4
334.0,1123.0
334.02,1412.0
334.05,1983.0
334.07,2486.0
334.1,3418.0
334.12,4102.0
334.15,5018.0
334.17,5409.0
334.2,5471.0
334.22,5134.0
334.25,4187.0
334.27,3404.0
334.3,2261.0
334.32,1628.0
334.35,941.9
334.37,647.6
334.39,451.7
334.42,276.9
334.44,206.3
334.47,137.7
334.49,110.0
334.52,93.74
334.54,100.0
334.57,133.2
334.59,167.6
334.62,229.7
334.64,276.7
334.67,371.4
334.69,481.1
334.72,821.1
334.74,1261.0
334.77,2440.0
334.79,3675.0
334.82,6248.0
334.84,8334.0
334.87,11550.0
334.89,13370.0
334.92,14900.0
334.94,14890.0
334.97,13310.0
334.99,11470.0
335.02,8210.0
335.04,6104.0
335.07,3510.0
335.09,2261.0
335.12,1062.0
335.14,609.7
335.17,261.9
335.19,161.6
335.22,114.1
335.24,125.9
335.26,169.0
335.29,308.2
335.31,467.5
335.34,827.4
335.36,1144.0
335.39,1677.0
335.41,2013.0
335.44,2363.0
335.46,2437.0
335.49,2275.0
335.51,2012.0
335.54,1492.0
