wl,A,E,g,,,,,,,,,,,
380.811,2.77E+07,28 634.516 ,5.5,,,,,,,,,,, 
380.921,2.03E+07,31 155.623 ,6.5,,,,,,,,,,,
381.22, ,30 961.518 ,1.5,,,,,,,,,,,
381.585,1.51E+07,27 187.047 ,3.5,,,,,,,,,,,
381.585, ,32 716.647 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
381.746, ,31 032.611 ,0.5,,,,,,,,,,, 
381.902,2.72E+07,30 637.157 ,2.5,,,,,,,,,,,
382.39,1.51E+07,28 725.148 ,4.5,,,,,,,,,,,
383.055, ,33 811.567 ,4.5,,,,,,,,,,,
383.108, ,29 948.914 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
383.455,1.24E+07,28 634.516 ,5.5,,,,,,,,,,, 
383.61,8.50E+06,27 934.638 ,4.5,,,,,,,,,,,
383.854,5.50E+07,28 685.758 ,2.5,,,,,,,,,,,
384.376,1.40E+07,33 531.388 ,6.5,,,,,,,,,,,
384.652, ,34 166.039 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
384.81,1.31E+07,30 245.878 ,4.5,,,,,,,,,,, 
384.859,2.74E+07,30 180.096 ,6.5,,,,,,,,,,,
385.315,1.75E+07,25 945.396 ,3.5,,,,,,,,,,,
385.418,4.31E+07,27 812.398 ,2.5,,,,,,,,,,,
385.431,3.97E+07,27 811.496 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
385.529,1.95E+07,30 134.910 ,5.5,,,,,,,,,,, 
385.702,2.10E+07,31 738.484 ,5.5,,,,,,,,,,,
385.764,1.30E+07,28 297.473 ,3.5,,,,,,,,,,,
386.246, ,31 558.626 ,3.5,,,,,,,,,,,
386.813,5.70E+06,29 438.817 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
387.468, ,33 977.140 ,3.5,,,,,,,,,,, 
387.697, ,30 245.878 ,4.5,,,,,,,,,,,
387.836,2.49E+07,27 187.047 ,3.5,,,,,,,,,,,
388.245,1.44E+08,28 345.313 ,0.5,,,,,,,,,,,
388.998,4.19E+07,31 155.623 ,6.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
389.075,1.84E+07,27 835.233 ,1.5,,,,,,,,,,, 
389.098,7.30E+06,28 334.756 ,4.5,,,,,,,,,,,
389.511, ,29 029.353 ,1.5,,,,,,,,,,,
389.68,2.95E+07,30 166.057 ,3.5,,,,,,,,,,,
389.827,1.67E+07,29 438.817 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
389.894, ,27 514.660 ,3.5,,,,,,,,,,, 
390.334,6.70E+06,30 134.910 ,5.5,,,,,,,,,,,
390.434,1.47E+07,30 065.164 ,3.5,,,,,,,,,,,
390.692, ,29 790.270 ,0.5,,,,,,,,,,,
390.729, ,34 513.468 ,6.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
390.841,4.24E+07,32 492.038 ,5.5,,,,,,,,,,, 
390.854,2.39E+07,29 281.374 ,2.5,,,,,,,,,,,
390.931,1.00E+07,29 166.597 ,4.5,,,,,,,,,,,
391.219,1.51E+07,30 065.164 ,3.5,,,,,,,,,,,
391.244,2.47E+07,27 934.638 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
391.552, ,31 207.927 ,3.5,,,,,,,,,,, 
391.614,1.19E+07,29 794.517 ,3.5,,,,,,,,,,,
