397.6836,2.10E+07,25 138.550  ,3.5
 , , ,#VALUE!
397.9479,1.65E+07,26 772.080  ,5.5
398.2355,9.40E+06,28 170.445  ,4.5
398.625, ,35 133.500  ,5.5
399.0103,3.57E+07,28 856.895  ,7.5
399.1743,2.89E+07,25 044.645  ,3.5
 , , ,#VALUE!
399.468,2.86E+07,27 611.725  ,7.5
400.0493,7.50E+06,26 640.080  ,3.5
400.402,9.30E+06,25 481.265  ,5.5
400.743,9.10E+06,28 748.525  ,8.5
401.225,1.34E+08,30 002.310  ,9.5
 , , ,#VALUE!
401.27,1.31E+07,24 913.850  ,3.5
401.8826,5.90E+06,25 389.205  ,4.5
402.0872,1.89E+07,27 448.710  ,6.5
402.133,2.07E+07,27 445.845  ,7.5
402.178,1.44E+07,26 328.015  ,6.5
 , , ,#VALUE!
402.3,2.82E+07,29 362.520  ,7.5
402.4785,4.80E+06,25 352.365  ,5.5
403.047,6.90E+06,26 274.090  ,5.5
403.182,4.20E+07,30 781.490  ,8.5
403.8124,3.65E+06,26 227.090  ,4.5
 , , ,#VALUE!
404.0796,3.82E+07,26 210.740  ,6.5
404.106,7.60E+06,28 540.945  ,7.5
404.3596,5.70E+06,27 308.945  ,6.5
404.881, ,35 485.930  ,7.5
405.1145,1.45E+07,27 744.190  ,6.5
 , , ,#VALUE!
405.9961,1.03E+07,26 274.090  ,5.5
406.1085,8.00E+07,28 418.970  ,8.5
406.9267,8.90E+06,25 080.855  ,5.5
407.5116,1.10E+07,26 182.480  ,5.5
407.5272,8.80E+06,25 044.645  ,3.5
 , , ,#VALUE!
407.762, ,34 608.595  ,4.5
408.0227,3.60E+06,25 014.910  ,5.5
408.5815,3.42E+06,24 468.025  ,3.5
409.613,6.00E+06,26 991.895  ,5.5
409.818,6.60E+06,28 196.155  ,6.5
 , , ,#VALUE!
410.6582,2.20E+06,28 856.895  ,7.5
410.9073,2.26E+07,24 842.865  ,5.5
410.9455,5.50E+07,26 912.765  ,7.5
411.0472,7.70E+06,24 321.245  ,4.5
411.3826,6.00E+06,25 771.515  ,4.5
 , , ,#VALUE!
412.3881,8.60E+06,27 308.945  ,6.5
413.3361,1.04E+07,26 772.080  ,5.5
413.533,2.08E+07,29 260.740  ,7.5
415.6083,4.02E+07,25 524.470  ,6.5
415.6265,3.35E+06,24 053.340  ,4.5
 , , ,#VALUE!
416.057,7.60E+06,28 540.945  ,7.5
416.8, ,35 734.450  ,1.5
416.8, ,36 312.595  ,6.5
417.5606,1.22E+07,29 027.535  ,8.5
417.7321,2.52E+07,24 445.380  ,5.5
 , , ,#VALUE!
417.864,2.54E+06,25 394.620  ,6.5
417.9585,8.70E+06,25 389.205  ,4.5
418.498, ,34 608.595  ,4.5
420.5595,6.60E+06,28 856.895  ,7.5
421.1286,5.20E+06,25 389.205  ,4.5
 , , ,#VALUE!
422.0258,5.00E+06,26 274.090  ,5.5
422.7719,8.40E+06,27 448.710  ,6.5
423.2378,1.05E+07,24 134.080  ,5.5
423.4196, ,37 522.245  ,8.5
423.4196, ,25 080.855  ,5.5
 , , ,#VALUE!
423.524, ,33 696.210  ,5.5
423.984, ,33 670.620  ,5.5
424.7367,2.27E+07,23 537.380  ,4.5
425.244, ,33 563.525  ,6.5
426.184, ,35 485.930  ,7.5
 , , ,#VALUE!
426.184, ,30 094.850  ,7.5
426.6716,3.30E+06,25 080.855  ,5.5
427.0565,1.98E+06,23 409.515  ,4.5
427.2789,3.31E+06,23 397.365  ,3.5
427.509, ,35 503.215  ,6.5
 , , ,#VALUE!
428.244,9.00E+06,27 146.560  ,6.5
428.257,1.86E+06,23 857.255  ,5.5
428.4518,1.37E+07,28 418.970  ,8.5
429.78,3.86E+06,26 328.015  ,6.5
430.3573,4.37E+07,23 229.980  ,4.5
 , , ,#VALUE!
430.445, ,35 485.930  ,7.5
430.7778,3.60E+06,26 274.090  ,5.5
431.4511, ,23 171.110  ,4.5
432.5766,2.12E+07,26 912.765  ,7.5
432.793,8.90E+06,27 611.725  ,7.5
 , , ,#VALUE!
433.8697,1.60E+07,29 027.535  ,8.5
435.1295,7.20E+06,24 445.380  ,5.5
435.8169,1.72E+07,25 524.470  ,6.5
436.6315,1.57E+06,23 409.515  ,4.5
436.638, ,34 982.943  ,3.5
 , , ,#VALUE!
436.638, ,25 481.265  ,5.5
436.638, ,32 253.730  ,4.5
436.8632,6.80E+06,23 397.365  ,3.5
437.4923,2.93E+06,24 321.245  ,4.5
437.5039,3.84E+06,22 850.545  ,3.5
 , , ,#VALUE!
438.2737,3.20E+06,25 877.160  ,4.5
438.5663,1.46E+07,24 445.380  ,5.5
439.066, ,39 442.815  ,3.5
439.066, ,33 563.525  ,6.5
440.0828,8.60E+06,23 229.980  ,4.5
 , , ,#VALUE!
441.1052,7.20E+06,24 134.080  ,5.5
444.6387,1.25E+07,24 134.080  ,5.5
445.1566,2.80E+07,25 524.470  ,6.5
445.1978,2.70E+06,22 455.615  ,4.5
445.6394,1.04E+07,28 418.970  ,8.5
 , , ,#VALUE!
446.2985,2.29E+07,26 912.765  ,7.5
450.1808,5.70E+06,23 857.255  ,5.5
450.6582,2.48E+06,22 696.870  ,5.5
451.334,1.53E+06,22 663.710  ,4.5
451.636,3.92E+06,24 721.045  ,6.5
 , , ,#VALUE!
454.1269,4.90E+06,25 080.855  ,5.5
454.261,9.50E+06,27 993.235  ,8.5
455.6136,1.17E+06,22 455.615  ,4.5
456.322,3.53E+06,23 378.315  ,5.5
457.889, ,24 418.715  ,6.5
 , , ,#VALUE!
457.932,6.50E+06,27 816.795  ,7.5
459.7013,2.82E+06,23 397.365  ,3.5
464.577,3.35E+06,26 031.475  ,7.5
467.056,1.59E+06,21 918.050  ,4.5
468.0734, ,21 871.510  ,3.5
 , , ,#VALUE!
470.3576,3.05E+06,24 321.245  ,4.5
470.6542,9.80E+06,21 241.075  ,2.5
470.9714,2.70E+06,22 696.870  ,5.5
471.5589,4.74E+06,22 850.545  ,3.5
472.435,7.90E+06,27 146.560  ,6.5
 , , ,#VALUE!
478.941, ,23 458.945  ,5.5
479.7157,4.90E+06,25 352.365  ,5.5
481.1343, ,21 291.745  ,3.5
482.034,4.36E+06,22 389.840  ,3.5
482.5482,1.08E+07,22 187.650  ,4.5
 , , ,#VALUE!
483.228, ,25 200.905  ,5.5
484.906, ,24 418.715  ,6.5
485.903,8.60E+06,23 159.970  ,5.5
488.91,3.60E+06,21 918.050  ,4.5
489.07,7.10E+06,24 243.215  ,6.5
 , , ,#VALUE!
490.2041,1.06E+06,20 907.320  ,5.5
491.4385,5.50E+06,23 409.515  ,4.5
492.0692,8.90E+06,20 830.030  ,3.5
495.8139,1.55E+06,23 229.980  ,4.5
495.913,4.31E+06,20 672.575  ,4.5
 , , ,#VALUE!
496.1396, ,25 235.670  ,7.5
498.994, ,25 120.330  ,7.5
503.3517,4.90E+06,29 027.535  ,8.5
506.373,3.90E+06,27 611.725  ,7.5
507.659, ,25 678.390  ,8.5
 , , ,#VALUE!
508.9837, ,21 291.745  ,3.5
509.2797,5.30E+06,22 696.870  ,5.5
510.2393, ,25 080.855  ,5.5
510.521,3.50E+06,28 748.525  ,8.5
510.7585,7.80E+06,26 210.740  ,6.5
 , , ,#VALUE!
512.379,4.42E+06,22 578.165  ,6.5
513.0596,3.50E+07,30 002.310  ,9.5
513.233,3.49E+06,23 991.405  ,6.5
516.514, ,24 842.865  ,5.5
518.1165, ,26 227.090  ,4.5
 , , ,#VALUE!
518.2603,3.80E+06,25 295.280  ,3.5
519.1448,4.90E+06,20 907.320  ,5.5
519.2621,2.54E+07,28 418.970  ,8.5
520.012, ,23 737.465  ,7.5
521.2365,3.40E+06,20 830.030  ,3.5
 , , ,#VALUE!
522.5045, ,25 138.550  ,3.5
522.8427,1.28E+06,22 187.650  ,4.5
523.4195,7.40E+06,23 537.380  ,4.5
523.979, ,23 591.900  ,7.5
524.9585,2.42E+07,26 912.765  ,7.5
 , , ,#VALUE!
525.0816,5.70E+06,25 044.645  ,3.5
525.551,5.20E+06,20 672.575  ,4.5
526.948, ,23 409.515  ,4.5
527.3431, ,24 445.380  ,5.5
527.6879,1.20E+07,25 877.160  ,4.5
 , , ,#VALUE!
529.3168,2.12E+07,25 524.470  ,6.5
530.2279,9.60E+06,30 246.770  ,8.5
530.6472, ,25 771.515  ,4.5
531.1461,7.50E+06,26 772.080  ,5.5
531.9818,1.72E+07,23 229.980  ,4.5
 , , ,#VALUE!
535.6976,7.50E+06,28 856.895  ,7.5
536.1474, ,24 134.080  ,5.5
537.1935,1.15E+07,30 002.310  ,9.5
538.59, ,24 547.460  ,7.5
543.1526,5.40E+06,27 448.710  ,6.5
 , , ,#VALUE!
545.112, ,21 406.550  ,6.5
548.5699,9.40E+06,28 418.970  ,8.5
553.527, ,34 671.738  ,7.5
553.527, ,36 892.120  ,4.5
553.527,2.30E+06,29 434.255  ,6.5
