Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
205.584,2.522e+3,2.522e+3,,
205.594,1.571e+3,1.571e+3,,
205.604,8.693e+2,8.693e+2,,
205.614,4.274e+2,4.274e+2,,
205.624,1.866e+2,1.866e+2,,
205.634,7.242e+1,7.242e+1,,
205.644,2.496e+1,2.496e+1,,
205.654,7.644e+0,7.644e+0,,
205.664,2.080e+0,2.080e+0,,
205.674,5.026e-1,5.026e-1,,
205.684,1.079e-1,1.079e-1,,
205.693,2.443e-2,2.443e-2,,
205.703,4.188e-3,4.188e-3,,
205.713,6.381e-4,6.381e-4,,
205.723,8.635e-5,8.635e-5,,
205.733,1.038e-5,1.038e-5,,
205.743,1.109e-6,1.109e-6,,
205.753,1.053e-7,1.053e-7,,
205.763,9.360e-9,9.360e-9,,
205.773,7.342e-9,7.342e-9,,
205.783,8.124e-8,8.124e-8,,
205.793,8.776e-7,8.776e-7,,
205.803,8.430e-6,8.430e-6,,
205.813,7.198e-5,7.198e-5,,
205.823,5.463e-4,5.463e-4,,
205.833,3.685e-3,3.685e-3,,
205.843,2.210e-2,2.210e-2,,
205.853,1.178e-1,1.178e-1,,
205.863,5.579e-1,5.579e-1,,
205.873,2.349e+0,2.349e+0,,
205.883,8.792e+0,8.792e+0,,
205.893,2.925e+1,2.925e+1,,
205.903,8.647e+1,8.647e+1,,
205.912,2.074e+2,2.074e+2,,
205.922,4.903e+2,4.903e+2,,
205.932,1.030e+3,1.030e+3,,
205.942,1.923e+3,1.923e+3,,
205.952,3.192e+3,3.192e+3,,
205.962,4.710e+3,4.710e+3,,
205.972,6.176e+3,6.176e+3,,
205.982,7.198e+3,7.198e+3,,
205.992,7.457e+3,7.457e+3,,
206.002,6.867e+3,6.867e+3,,
206.012,5.620e+3,5.620e+3,,
206.022,4.089e+3,4.089e+3,,
206.032,2.644e+3,2.644e+3,,
206.042,1.520e+3,1.520e+3,,
206.052,7.763e+2,7.763e+2,,
206.062,3.525e+2,3.525e+2,,
206.072,1.423e+2,1.423e+2,,
206.082,5.104e+1,5.104e+1,,
206.092,1.627e+1,1.627e+1,,
206.102,4.612e+0,4.612e+0,,
206.112,1.162e+0,1.162e+0,,
206.122,2.601e-1,2.601e-1,,
206.131,6.117e-2,6.117e-2,,
206.141,1.095e-2,1.095e-2,,
206.151,1.742e-3,1.742e-3,,
206.161,2.463e-4,2.463e-4,,
206.171,3.096e-5,3.096e-5,,
206.181,3.459e-6,3.459e-6,,
206.191,3.435e-7,3.435e-7,,
206.201,3.032e-8,3.032e-8,,
206.211,2.379e-9,2.379e-9,,
206.221,1.659e-10,1.659e-10,,
206.231,1.028e-11,1.028e-11,,
206.241,5.664e-13,5.664e-13,,
206.251,2.773e-14,2.773e-14,,
206.261,1.207e-15,1.207e-15,,
206.271,4.670e-17,4.670e-17,,
206.281,1.606e-18,1.606e-18,,
208.262,1.665e-17,1.665e-17,,
208.272,4.616e-16,4.616e-16,,
208.282,1.141e-14,1.141e-14,,
208.292,2.513e-13,2.513e-13,,
208.301,3.682e-12,3.682e-12,,
208.311,6.519e-11,6.519e-11,,
208.321,1.029e-9,1.029e-9,,
208.331,1.448e-8,1.448e-8,,
208.341,1.815e-7,1.815e-7,,
208.351,2.029e-6,2.029e-6,,
208.361,2.022e-5,2.022e-5,,
208.371,1.796e-4,1.796e-4,,
208.381,1.422e-3,1.422e-3,,
208.391,1.004e-2,1.004e-2,,
208.401,6.317e-2,6.317e-2,,
208.411,3.543e-1,3.543e-1,,
208.421,1.772e+0,1.772e+0,,
208.431,7.895e+0,7.895e+0,,
208.441,3.137e+1,3.137e+1,,
208.451,1.111e+2,1.111e+2,,
208.461,3.506e+2,3.506e+2,,
208.471,9.867e+2,9.867e+2,,
208.481,2.475e+3,2.475e+3,,
208.491,5.534e+3,5.534e+3,,
208.501,1.103e+4,1.103e+4,,
208.511,1.960e+4,1.960e+4,,
208.52,2.980e+4,2.980e+4,,
208.53,4.255e+4,4.255e+4,,
208.54,5.417e+4,5.417e+4,,
208.55,6.148e+4,6.148e+4,,
208.56,6.219e+4,6.219e+4,,
208.57,5.607e+4,5.607e+4,,
208.58,4.507e+4,4.507e+4,,
208.59,3.229e+4,3.229e+4,,
208.6,2.063e+4,2.063e+4,,
208.61,1.174e+4,1.174e+4,,
208.62,5.960e+3,5.960e+3,,
208.63,2.696e+3,2.696e+3,,
208.64,1.087e+3,1.087e+3,,
208.65,3.909e+2,3.909e+2,,
208.66,1.253e+2,1.253e+2,,
208.67,3.578e+1,3.578e+1,,
208.68,9.110e+0,9.110e+0,,
208.69,2.068e+0,2.068e+0,,
208.7,4.184e-1,4.184e-1,,
208.71,7.545e-2,7.545e-2,,
208.72,1.213e-2,1.213e-2,6.046e-18,
208.73,1.738e-3,1.738e-3,1.578e-16,
208.739,2.742e-4,2.742e-4,2.695e-15,
208.749,3.159e-5,3.159e-5,5.660e-14,
208.759,3.244e-6,3.244e-6,1.060e-12,
208.769,2.969e-7,2.969e-7,1.771e-11,
208.779,2.449e-8,2.423e-8,2.637e-10,
208.789,5.266e-9,1.762e-9,3.504e-9,
208.799,4.163e-8,1.142e-10,4.152e-8,
208.809,4.388e-7,6.602e-12,4.387e-7,
208.819,4.135e-6,3.401e-13,4.135e-6,
208.829,3.476e-5,1.562e-14,3.476e-5,
208.839,2.605e-4,6.394e-16,2.605e-4,
208.849,1.742e-3,6.374e-16,1.742e-3,
