Wavelength (nm),Sum(calc),Al I (2.4e-2),Al II (4.8e-1),Al III (3.5e-4),Cr I (1.4e-2),Cr II (4.8e-1)
202.271,1.160e-31,,1.160e-31,,,
202.273,8.268e-34,,8.268e-34,,,
202.274,6.586e-35,,6.586e-35,,,
202.276,3.722e-37,,3.722e-37,,,
202.278,1.802e-39,,1.802e-39,,,
202.279,1.184e-40,,1.184e-40,,,
202.281,4.546e-43,,4.546e-43,,,
205.485,7.687e-40,,2.927e-41,,,7.687e-40
205.486,1.245e-38,,2.927e-41,,,1.245e-38
205.488,2.917e-36,,2.929e-41,,,2.917e-36
205.49,5.888e-34,,2.931e-41,,,5.888e-34
205.491,7.909e-33,,2.932e-41,,,7.909e-33
205.493,1.276e-30,,2.934e-41,,,1.276e-30
205.495,1.772e-28,,2.936e-41,,,1.772e-28
205.496,1.974e-27,,2.936e-41,,,1.974e-27
205.498,2.191e-25,,2.938e-41,,,2.191e-25
205.5,2.094e-23,,2.940e-41,,,2.094e-23
205.501,1.936e-22,,2.941e-41,,,1.936e-22
205.503,1.478e-20,,2.943e-41,,,1.478e-20
205.505,9.723e-19,,2.945e-41,,,9.723e-19
205.506,7.455e-18,,2.945e-41,,,7.455e-18
205.508,3.918e-16,,2.947e-41,,,3.918e-16
205.51,1.773e-14,,2.949e-41,,,1.773e-14
205.511,1.128e-13,,2.950e-41,,,1.128e-13
205.513,4.079e-12,,2.952e-41,,,4.079e-12
205.515,1.270e-10,,2.954e-41,,,1.270e-10
205.516,6.703e-10,,2.954e-41,,,6.703e-10
205.518,1.668e-8,,2.956e-41,,,1.668e-8
205.52,3.575e-7,,2.958e-41,,,3.575e-7
205.521,1.565e-6,,2.959e-41,,,1.565e-6
205.523,2.680e-5,,2.961e-41,,,2.680e-5
205.525,3.953e-4,,2.963e-41,,,3.953e-4
205.526,1.435e-3,,2.963e-41,,,1.435e-3
205.528,1.691e-2,,2.965e-41,,,1.691e-2
205.53,1.717e-1,,2.967e-41,,,1.717e-1
205.531,5.170e-1,,2.968e-41,,,5.170e-1
205.533,4.193e+0,,2.970e-41,,,4.193e+0
205.535,2.928e+1,,2.972e-41,,,2.928e+1
205.536,7.316e+1,,2.972e-41,,,7.316e+1
205.538,4.083e+2,,2.974e-41,,,4.083e+2
205.54,1.962e+3,,2.976e-41,,,1.962e+3
205.541,4.067e+3,,2.977e-41,,,4.067e+3
205.543,1.562e+4,,2.979e-41,,,1.562e+4
205.545,5.165e+4,,2.981e-41,,,5.165e+4
205.546,8.880e+4,,2.981e-41,,,8.880e+4
205.548,2.347e+5,,2.983e-41,,,2.347e+5
205.55,5.341e+5,,2.985e-41,,,5.341e+5
205.551,7.617e+5,,2.986e-41,,,7.617e+5
205.553,1.385e+6,,2.988e-41,,,1.385e+6
205.555,2.169e+6,,2.990e-41,,,2.169e+6
205.556,2.567e+6,,2.990e-41,,,2.567e+6
205.558,3.212e+6,,2.992e-41,,,3.212e+6
205.56,3.461e+6,,2.994e-41,,,3.461e+6
205.561,3.397e+6,,2.995e-41,,,3.397e+6
205.563,2.925e+6,,2.997e-41,,,2.925e+6
205.565,2.169e+6,,2.999e-41,,,2.169e+6
205.566,1.766e+6,,2.999e-41,,,1.766e+6
205.568,1.047e+6,,3.001e-41,,,1.047e+6
205.57,5.341e+5,,3.003e-41,,,5.341e+5
205.571,3.607e+5,,3.004e-41,,,3.607e+5
205.573,1.471e+5,,3.006e-41,,,1.471e+5
205.575,5.165e+4,,3.008e-41,,,5.165e+4
205.576,2.894e+4,,3.008e-41,,,2.894e+4
205.578,8.120e+3,,3.010e-41,,,8.120e+3
205.58,1.962e+3,,3.012e-41,,,1.962e+3
205.581,9.120e+2,,3.013e-41,,,9.120e+2
205.583,1.761e+2,,3.015e-41,,,1.761e+2
205.585,2.928e+1,,3.017e-41,,,2.928e+1
205.586,1.129e+1,,3.017e-41,,,1.129e+1
205.588,1.500e+0,,3.019e-41,,,1.500e+0
205.59,1.717e-1,,3.021e-41,,,1.717e-1
205.591,5.490e-2,,3.022e-41,,,5.490e-2
