Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
217.445,9.372e-39,,,9.372e-39
217.447,1.480e-38,,,1.480e-38
217.449,2.007e-38,,,2.007e-38
217.45,2.207e-38,,,2.207e-38
217.452,2.382e-38,,,2.382e-38
217.454,2.207e-38,,,2.207e-38
217.455,2.007e-38,,,2.007e-38
217.457,1.480e-38,,,1.480e-38
217.459,9.372e-39,,,9.372e-39
217.46,7.044e-39,,,7.044e-39
217.462,3.550e-39,,,3.550e-39
217.464,1.537e-39,,,1.537e-39
217.465,9.548e-40,,,9.548e-40
217.467,3.289e-40,,,3.289e-40
217.469,9.727e-41,,,9.727e-41
217.47,4.996e-41,,,4.996e-41
217.472,1.176e-41,,,1.176e-41
217.474,2.377e-42,,,2.377e-42
217.475,1.010e-42,,,1.010e-42
217.477,1.624e-43,,,1.624e-43
217.479,2.243e-44,,,2.243e-44
217.48,7.875e-45,,,7.875e-45
217.482,8.658e-46,,,8.658e-46
217.484,8.174e-47,,,8.174e-47
217.485,2.372e-47,,,2.372e-47
217.487,1.782e-48,,,1.782e-48
217.489,1.150e-49,,,1.150e-49
217.49,2.759e-50,,,2.759e-50
217.492,1.416e-51,,,1.416e-51
217.494,6.245e-53,,,6.245e-53
217.495,1.239e-53,,,1.239e-53
217.497,4.346e-55,,,4.346e-55
217.499,1.310e-56,,,1.310e-56
217.5,2.147e-57,,,2.147e-57
217.502,5.149e-59,,,5.149e-59
217.504,1.060e-60,,,1.060e-60
217.505,1.437e-61,,,1.437e-61
217.507,2.355e-63,,,2.355e-63
217.509,3.315e-65,,,3.315e-65
217.51,3.714e-66,,,3.714e-66
217.512,4.160e-68,,,4.160e-68
217.514,4.001e-70,,,4.001e-70
217.515,3.706e-71,,,3.706e-71
217.517,2.836e-73,,,2.836e-73
217.519,1.864e-75,,,1.864e-75
217.52,1.428e-76,,,1.428e-76
217.522,7.468e-79,,,7.468e-79
217.524,3.354e-81,,,3.354e-81
217.525,2.123e-82,,,2.123e-82
217.527,7.591e-85,,,7.591e-85
217.529,2.330e-87,,,2.330e-87
217.53,1.219e-88,,,1.219e-88
217.532,2.979e-91,,,2.979e-91
217.534,6.250e-94,,,6.250e-94
217.535,2.704e-95,,,2.704e-95
217.537,4.514e-98,,,4.514e-98
217.539,6.473e-101,,,6.473e-101
217.54,2.315e-102,,,2.315e-102
217.542,2.641e-105,,,2.641e-105
217.544,2.588e-108,,,2.588e-108
217.545,7.651e-110,,,7.651e-110
217.547,5.966e-113,,,5.966e-113
217.549,3.995e-116,,,3.995e-116
217.55,9.764e-118,,,9.764e-118
217.552,5.203e-121,,,5.203e-121
217.554,2.381e-124,,,2.381e-124
217.555,4.811e-126,,,4.811e-126
217.557,1.752e-129,,,1.752e-129
218.18,1.258e-126,,,1.258e-126
218.182,3.252e-123,,,3.252e-123
218.183,1.563e-121,,,1.563e-121
218.185,3.220e-118,,,3.220e-118
218.187,5.706e-115,,,5.706e-115
218.188,2.270e-113,,,2.270e-113
218.19,3.206e-110,,,3.206e-110
218.192,3.893e-107,,,3.893e-107
218.193,1.282e-105,,,1.282e-105
218.195,1.241e-102,,,1.241e-102
218.197,1.033e-99,,,1.033e-99
218.198,2.817e-98,,,2.817e-98
218.2,1.869e-95,,,1.869e-95
218.202,1.066e-92,,,1.066e-92
218.203,2.406e-91,,,2.406e-91
218.205,1.094e-88,,,1.094e-88
218.207,4.279e-86,,,4.279e-86
218.208,7.996e-85,,,7.996e-85
218.21,2.492e-82,,,2.492e-82
218.212,6.680e-80,,,6.680e-80
218.213,1.033e-78,,,1.033e-78
218.215,2.207e-76,,,2.207e-76
218.217,4.055e-74,,,4.055e-74
218.218,5.193e-73,,,5.193e-73
218.22,7.603e-71,,,7.603e-71
218.222,9.572e-69,,,9.572e-69
218.223,1.015e-67,,,1.015e-67
218.225,1.019e-65,,,1.019e-65
218.227,8.788e-64,,,8.788e-64
218.228,7.714e-63,,,7.714e-63
218.23,5.306e-61,,,5.306e-61
218.232,3.138e-59,,,3.138e-59
218.233,2.280e-58,,,2.280e-58
218.235,1.075e-56,,,1.075e-56
218.237,4.357e-55,,,4.357e-55
218.238,2.621e-54,,,2.621e-54
218.24,8.470e-53,,,8.470e-53
218.242,2.353e-51,,,2.353e-51
