Wavelength (nm),Sum(calc),Zn I (3.9e-1),Zn II (6.1e-1)
775.559,2.704e-3,,2.704e-3
775.564,3.953e-3,,3.953e-3
775.569,5.730e-3,,5.730e-3
775.574,8.238e-3,,8.238e-3
775.579,1.175e-2,,1.175e-2
775.584,1.661e-2,,1.661e-2
775.589,2.329e-2,,2.329e-2
775.594,3.239e-2,,3.239e-2
775.599,4.468e-2,,4.468e-2
775.604,6.111e-2,,6.111e-2
775.609,8.289e-2,,8.289e-2
775.614,1.115e-1,,1.115e-1
775.619,1.488e-1,,1.488e-1
775.624,1.968e-1,,1.968e-1
775.629,2.583e-1,,2.583e-1
775.634,3.361e-1,,3.361e-1
775.639,4.337e-1,,4.337e-1
775.644,5.551e-1,,5.551e-1
775.649,7.046e-1,,7.046e-1
775.654,8.869e-1,,8.869e-1
775.659,1.107e+0,,1.107e+0
775.664,1.371e+0,,1.371e+0
775.669,1.683e+0,,1.683e+0
775.674,2.049e+0,,2.049e+0
775.679,2.474e+0,,2.474e+0
775.684,2.963e+0,,2.963e+0
775.689,3.519e+0,,3.519e+0
775.694,4.145e+0,,4.145e+0
775.699,4.842e+0,,4.842e+0
775.704,5.608e+0,,5.608e+0
775.709,6.443e+0,,6.443e+0
775.714,7.341e+0,,7.341e+0
775.72,8.491e+0,,8.491e+0
775.725,9.499e+0,,9.499e+0
775.73,1.054e+1,,1.054e+1
775.735,1.159e+1,,1.159e+1
775.74,1.265e+1,,1.265e+1
775.745,1.369e+1,,1.369e+1
775.75,1.469e+1,,1.469e+1
775.755,1.564e+1,,1.564e+1
775.76,1.650e+1,,1.650e+1
775.765,1.728e+1,,1.728e+1
775.77,1.793e+1,,1.793e+1
775.775,1.846e+1,,1.846e+1
775.78,1.885e+1,,1.885e+1
775.785,1.909e+1,,1.909e+1
775.79,1.917e+1,,1.917e+1
775.795,1.909e+1,,1.909e+1
775.8,1.885e+1,,1.885e+1
775.805,1.846e+1,,1.846e+1
775.81,1.793e+1,,1.793e+1
775.815,1.728e+1,,1.728e+1
775.82,1.650e+1,,1.650e+1
775.825,1.564e+1,,1.564e+1
775.83,1.469e+1,,1.469e+1
775.835,1.369e+1,,1.369e+1
775.84,1.265e+1,,1.265e+1
775.845,1.159e+1,,1.159e+1
775.85,1.054e+1,,1.054e+1
775.855,9.499e+0,,9.499e+0
775.86,8.491e+0,,8.491e+0
775.865,7.527e+0,,7.527e+0
775.87,6.618e+0,,6.618e+0
775.875,5.770e+0,,5.770e+0
775.88,4.989e+0,,4.989e+0
775.885,4.279e+0,,4.279e+0
775.89,3.639e+0,,3.639e+0
775.895,3.069e+0,,3.069e+0
775.9,2.567e+0,,2.567e+0
775.905,2.129e+0,,2.129e+0
775.91,1.752e+0,,1.752e+0
775.915,1.429e+0,,1.429e+0
775.92,1.156e+0,,1.156e+0
775.925,9.277e-1,,9.277e-1
775.93,7.382e-1,,7.382e-1
775.935,5.826e-1,,5.826e-1
775.94,4.560e-1,,4.560e-1
775.945,3.539e-1,,3.539e-1
775.95,2.724e-1,,2.724e-1
775.956,1.968e-1,,1.968e-1
775.961,1.488e-1,,1.488e-1
775.966,1.115e-1,,1.115e-1
775.971,8.289e-2,,8.289e-2
775.976,6.111e-2,,6.111e-2
775.981,4.468e-2,,4.468e-2
775.986,3.239e-2,,3.239e-2
775.991,2.329e-2,,2.329e-2
775.996,1.661e-2,,1.661e-2
776.001,1.175e-2,,1.175e-2
776.006,8.238e-3,,8.238e-3
776.011,5.730e-3,,5.730e-3
776.016,3.953e-3,,3.953e-3
776.021,2.704e-3,,2.704e-3
776.026,1.835e-3,,1.835e-3
776.031,1.234e-3,,1.234e-3
776.036,8.236e-4,,8.236e-4
776.041,5.450e-4,,5.450e-4
776.046,3.577e-4,,3.577e-4
776.051,2.328e-4,,2.328e-4
776.056,1.502e-4,,1.502e-4
776.061,9.617e-5,,9.617e-5
776.066,6.105e-5,,6.105e-5
776.071,3.843e-5,,3.843e-5
776.076,2.400e-5,,2.400e-5
776.081,1.486e-5,,1.486e-5
776.086,9.124e-6,,9.124e-6
776.091,5.556e-6,,5.556e-6
776.096,3.356e-6,,3.356e-6
776.101,2.010e-6,,2.010e-6
776.106,1.194e-6,,1.194e-6
776.111,7.032e-7,,7.032e-7
776.116,4.108e-7,,4.108e-7
776.121,2.380e-7,,2.380e-7
776.126,1.368e-7,,1.368e-7
776.131,7.793e-8,,7.793e-8
776.136,4.404e-8,,4.404e-8
776.141,2.468e-8,,2.468e-8
776.146,1.372e-8,,1.372e-8
776.151,7.561e-9,,7.561e-9
776.156,4.133e-9,,4.133e-9
776.161,2.241e-9,,2.241e-9
776.166,1.205e-9,,1.205e-9
776.171,6.423e-10,,6.423e-10
776.176,3.396e-10,,3.396e-10
776.181,1.781e-10,,1.781e-10
776.186,9.262e-11,,9.262e-11
776.192,4.180e-11,,4.180e-11
776.197,2.135e-11,,2.135e-11
776.202,1.081e-11,,1.081e-11
776.207,5.429e-12,,5.429e-12
776.212,2.704e-12,,2.704e-12
776.217,1.336e-12,,1.336e-12
776.222,6.543e-13,,6.543e-13
776.227,3.179e-13,,3.179e-13
776.232,1.531e-13,,1.531e-13
776.237,7.317e-14,,7.317e-14
776.242,3.467e-14,,3.467e-14
776.247,1.629e-14,,1.629e-14
776.252,7.593e-15,,7.593e-15
776.257,3.510e-15,,3.510e-15
776.262,1.609e-15,,1.609e-15
776.267,7.312e-16,,7.312e-16
776.272,3.297e-16,,3.297e-16
776.277,1.474e-16,,1.474e-16
776.282,6.535e-17,,6.535e-17
776.287,2.873e-17,,2.873e-17
776.292,1.253e-17,,1.253e-17
776.297,5.419e-18,,5.419e-18
776.302,2.324e-18,,2.324e-18
776.307,9.885e-19,,9.885e-19
776.312,4.170e-19,,4.170e-19
776.317,1.744e-19,,1.744e-19
776.322,7.237e-20,,7.237e-20
776.327,2.978e-20,,2.978e-20
776.332,1.215e-20,,1.215e-20
776.337,4.916e-21,,4.916e-21
776.342,1.973e-21,,1.973e-21
776.347,7.852e-22,,7.852e-22
776.352,3.099e-22,,3.099e-22
776.357,1.213e-22,,1.213e-22
776.362,4.709e-23,,4.709e-23
776.367,1.813e-23,,1.813e-23
776.372,6.922e-24,,6.922e-24
776.377,2.621e-24,,2.621e-24
776.382,9.842e-25,,9.842e-25
776.387,3.665e-25,,3.665e-25
776.392,1.354e-25,,1.354e-25
776.397,4.958e-26,,4.958e-26
776.402,1.801e-26,,1.801e-26
776.407,6.487e-27,,6.487e-27
776.412,2.318e-27,,2.318e-27
776.417,8.211e-28,,8.211e-28
776.422,2.885e-28,,2.885e-28
776.428,8.134e-29,,8.134e-29
