Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
207.355,3.945e-9,,1.704e-17,3.945e-9
207.357,7.355e-9,,7.361e-16,7.355e-9
207.358,9.487e-9,,4.545e-15,9.487e-9
207.36,1.414e-8,,1.528e-13,1.414e-8
207.362,1.830e-8,,4.344e-12,1.829e-8
207.363,1.980e-8,,2.176e-11,1.977e-8
207.365,2.144e-8,,4.813e-10,2.096e-8
207.367,2.859e-8,,9.007e-9,1.959e-8
207.368,5.466e-8,,3.659e-8,1.807e-8
207.37,5.467e-7,,5.327e-7,1.402e-8
207.372,6.569e-6,,6.560e-6,9.570e-9
207.373,2.163e-5,,2.162e-5,7.526e-9
207.375,2.071e-4,,2.071e-4,4.198e-9
207.377,1.678e-3,,1.678e-3,2.028e-9
207.378,4.487e-3,,4.487e-3,1.334e-9
207.38,2.828e-2,,2.828e-2,5.138e-10
207.382,1.508e-1,,1.508e-1,1.692e-10
207.383,3.271e-1,,3.271e-1,9.149e-11
207.385,1.357e+0,,1.357e+0,2.368e-11
207.387,4.762e+0,,4.762e+0,5.205e-12
207.388,8.378e+0,,8.378e+0,2.294e-12
207.39,2.287e+1,,2.287e+1,3.938e-13
207.392,5.282e+1,,5.282e+1,5.725e-14
207.393,7.538e+1,,7.538e+1,2.051e-14
207.395,1.354e+2,,1.354e+2,2.322e-15
207.397,2.058e+2,,2.058e+2,2.226e-16
207.398,2.382e+2,,2.382e+2,6.472e-17
207.4,2.816e+2,,2.816e+2,4.827e-18
207.402,2.816e+2,,2.816e+2,3.046e-19
207.403,2.645e+2,,2.645e+2,7.186e-20
207.405,2.058e+2,,2.058e+2,3.528e-21
207.407,1.354e+2,,1.354e+2,1.465e-22
207.409,7.538e+1,,7.538e+1,5.146e-24
207.41,5.282e+1,,5.282e+1,9.058e-25
207.412,2.287e+1,,2.287e+1,2.475e-26
207.414,8.378e+0,,8.378e+0,5.721e-28
207.415,4.762e+0,,4.762e+0,8.169e-29
207.417,1.357e+0,,1.357e+0,1.469e-30
207.419,3.271e-1,,3.271e-1,2.234e-32
207.42,1.508e-1,,1.508e-1,2.587e-33
207.422,2.828e-2,,2.828e-2,3.061e-35
207.424,4.487e-3,,4.487e-3,3.063e-37
207.425,1.678e-3,,1.678e-3,2.877e-38
207.427,2.071e-4,,2.071e-4,2.240e-40
207.429,2.162e-5,,2.162e-5,1.475e-42
207.43,6.560e-6,,6.560e-6,1.124e-43
207.432,5.327e-7,,5.327e-7,5.757e-46
207.434,3.659e-8,,3.659e-8,2.494e-48
207.435,9.007e-9,,9.007e-9,1.542e-49
