Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
202.2,5.242e+1,,,,5.242e+1,1.657e-5,3.437e-9,,
202.22,1.666e+1,,,,1.666e+1,1.931e-5,6.222e-8,,
202.23,8.794e+0,,,,8.794e+0,2.148e-5,2.479e-7,,
202.25,2.146e+0,,,,2.146e+0,2.957e-5,3.448e-6,,
202.27,4.390e-1,,,,4.389e-1,4.421e-5,4.025e-5,,
202.28,1.860e-1,,,,1.858e-1,5.358e-5,1.287e-4,,
202.3,3.041e-2,,,,2.918e-2,7.275e-5,1.155e-3,,
202.32,1.262e-2,,,,3.841e-3,8.544e-5,8.692e-3,,
202.33,2.372e-2,,,,1.304e-3,8.707e-5,2.233e-2,,
202.35,1.294e-1,,,,1.318e-4,7.954e-5,1.292e-1,,
202.36,2.909e-1,,,,3.922e-5,7.125e-5,2.908e-1,,
202.38,1.293e+0,,,,3.042e-6,5.029e-5,1.293e+0,,
202.4,4.822e+0,,,,1.978e-7,3.049e-5,4.822e+0,,
202.41,8.721e+0,,,,4.721e-8,2.305e-5,8.721e+0,,
202.43,2.500e+1,,,,2.356e-9,1.545e-5,2.500e+1,,
202.45,6.016e+1,,,,9.860e-11,1.969e-5,6.016e+1,,
202.46,8.739e+1,,,,1.888e-11,2.723e-5,8.739e+1,,
202.48,1.619e+2,,,,6.064e-13,5.566e-5,1.619e+2,,
202.5,2.525e+2,,,,1.633e-14,1.042e-4,2.525e+2,,
202.51,2.963e+2,,,,2.508e-15,1.357e-4,2.963e+2,,
202.53,3.633e+2,,,,5.184e-17,2.070e-4,3.633e+2,,
202.55,3.923e+2,,,,8.983e-19,2.749e-4,3.923e+2,,
202.56,3.962e+2,,,,1.107e-19,3.009e-4,3.962e+2,,
202.58,4.056e+2,,,,1.472e-21,3.251e-4,4.056e+2,,
202.6,4.483e+2,,,,1.327e-21,3.056e-4,4.483e+2,,
202.61,4.864e+2,,,,1.255e-21,2.809e-4,4.864e+2,,
202.63,5.786e+2,,,,1.110e-21,2.129e-4,5.786e+2,,
202.65,6.428e+2,,,,9.650e-22,1.388e-4,6.428e+2,,
202.66,6.466e+2,,,,8.925e-22,1.058e-4,6.466e+2,,
202.68,5.833e+2,,,,7.476e-22,5.454e-5,5.833e+2,,
202.7,4.460e+2,,,,6.027e-22,2.392e-5,4.460e+2,,
202.71,3.657e+2,,,,5.303e-22,1.489e-5,3.657e+2,,
202.73,2.159e+2,,,,3.853e-22,5.094e-6,2.159e+2,,
202.75,1.070e+2,,,,3.008e-20,1.485e-6,1.070e+2,,
202.76,7.059e+1,,,,2.490e-19,7.706e-7,7.059e+1,,
202.78,2.691e+1,,,,1.497e-17,2.789e-7,2.691e+1,,
202.79,1.556e+1,,,,1.087e-16,2.885e-7,1.556e+1,,
202.81,4.561e+0,,,,5.031e-15,7.345e-7,4.561e+0,,
202.83,1.122e+0,,,,1.956e-13,2.141e-6,1.122e+0,,
202.84,5.211e-1,,,,1.142e-12,3.487e-6,5.211e-1,,
202.86,9.854e-2,,,,3.419e-11,8.223e-6,9.854e-2,,
202.88,1.565e-2,,,,8.597e-10,1.642e-5,1.564e-2,,
202.89,5.855e-3,,,,4.038e-9,2.178e-5,5.833e-3,,
202.91,7.454e-4,,,,7.818e-8,3.364e-5,7.117e-4,,
202.93,1.179e-4,,,,1.271e-6,4.373e-5,7.287e-5,,
202.94,7.337e-5,,,,4.803e-6,4.673e-5,2.183e-5,,
202.96,1.088e-4,,,,6.014e-5,4.698e-5,1.718e-6,,
202.98,6.728e-4,,,,6.325e-4,4.012e-5,1.135e-7,,
202.99,1.957e-3,,,,1.922e-3,3.508e-5,2.732e-8,,
203.01,1.559e-2,,,,1.556e-2,2.473e-5,1.387e-9,,
203.03,1.059e-1,,,,1.059e-1,1.690e-5,5.912e-11,,
203.04,2.587e-1,,,,2.587e-1,1.436e-5,1.143e-11,,
203.06,1.355e+0,,,,1.355e+0,1.151e-5,3.744e-13,,
203.08,5.961e+0,,,,5.961e+0,1.005e-5,1.029e-14,,
203.09,1.171e+1,,,,1.171e+1,9.333e-6,1.598e-15,,
203.11,3.968e+1,,,,3.968e+1,7.463e-6,3.378e-17,,
203.13,1.129e+2,,,,1.129e+2,5.179e-6,5.991e-19,,
203.14,1.784e+2,,,,1.784e+2,4.060e-6,7.471e-20,,
203.16,3.910e+2,,,,3.910e+2,2.197e-6,1.019e-21,,
