Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
502.44,4.472e+1,7.904e-17,,4.313e+1,1.591e+0,1.636e-28,2.505e-5,,2.035e-27
502.46,3.227e+1,7.899e-17,,3.106e+1,1.211e+0,1.634e-28,9.339e-6,,2.035e-27
502.48,2.264e+1,7.893e-17,,2.174e+1,8.973e-1,1.632e-28,3.384e-6,,2.035e-27
502.49,1.876e+1,7.891e-17,,1.799e+1,7.648e-1,1.631e-28,2.015e-6,,2.035e-27
502.51,1.261e+1,7.885e-17,,1.206e+1,5.445e-1,1.629e-28,6.994e-7,,2.036e-27
502.52,1.023e+1,7.882e-17,,9.775e+0,4.549e-1,1.628e-28,4.077e-7,,2.036e-27
502.54,6.591e+0,7.877e-17,,6.280e+0,3.114e-1,1.626e-28,1.356e-7,,2.036e-27
502.56,4.129e+0,7.871e-17,,3.921e+0,2.079e-1,1.624e-28,4.381e-8,,2.036e-27
502.57,3.234e+0,7.869e-17,,3.065e+0,1.686e-1,1.623e-28,2.464e-8,,2.036e-27
502.59,1.943e+0,7.863e-17,,1.834e+0,1.097e-1,1.621e-28,7.636e-9,,2.037e-27
502.61,1.138e+0,7.858e-17,,1.066e+0,7.211e-2,1.619e-28,2.331e-9,,2.037e-27
502.62,8.638e-1,7.855e-17,,8.042e-1,5.969e-2,1.618e-28,1.316e-9,,2.037e-27
502.64,4.934e-1,7.850e-17,,4.479e-1,4.548e-2,1.616e-28,6.175e-10,,2.037e-27
502.66,2.866e-1,7.844e-17,,2.425e-1,4.409e-2,1.614e-28,1.016e-9,,2.038e-27
502.67,2.247e-1,7.841e-17,,1.765e-1,4.817e-2,1.613e-28,1.756e-9,,2.038e-27
502.69,1.586e-1,7.836e-17,,9.154e-2,6.704e-2,1.611e-28,5.790e-9,,2.038e-27
502.71,1.496e-1,7.830e-17,,4.614e-2,1.034e-1,1.609e-28,1.904e-8,,2.038e-27
502.72,1.624e-1,7.828e-17,,3.241e-2,1.299e-1,1.608e-28,3.419e-8,,2.039e-27
502.74,2.203e-1,7.822e-17,,1.565e-2,2.046e-1,1.606e-28,1.080e-7,,2.039e-27
502.76,3.238e-1,7.817e-17,,7.345e-3,3.165e-1,1.604e-28,3.315e-7,,2.039e-27
502.77,3.950e-1,7.814e-17,,4.978e-3,3.900e-1,1.603e-28,5.748e-7,,2.039e-27
502.79,5.828e-1,7.809e-17,,2.239e-3,5.805e-1,1.601e-28,1.691e-6,,2.040e-27
502.81,8.415e-1,7.803e-17,,9.783e-4,8.405e-1,1.599e-28,4.835e-6,,2.040e-27
502.82,1.001e+0,7.800e-17,,6.398e-4,1.001e+0,1.598e-28,8.090e-6,,2.040e-27
502.84,1.389e+0,7.795e-17,,2.679e-4,1.389e+0,1.596e-28,2.217e-5,,2.040e-27
502.86,1.875e+0,7.789e-17,,1.090e-4,1.875e+0,1.594e-28,5.905e-5,,2.041e-27
502.87,2.155e+0,7.787e-17,,6.879e-5,2.155e+0,1.593e-28,9.536e-5,,2.041e-27
502.89,2.789e+0,7.781e-17,,2.682e-5,2.788e+0,1.591e-28,2.434e-4,,2.041e-27
502.9,3.139e+0,7.778e-17,,1.657e-5,3.139e+0,1.590e-28,3.848e-4,,2.041e-27
502.92,3.897e+0,7.773e-17,,6.187e-6,3.896e+0,1.588e-28,9.412e-4,,2.041e-27
502.94,4.706e+0,7.768e-17,,2.246e-6,4.703e+0,1.586e-28,2.238e-3,,2.042e-27
502.95,5.119e+0,7.765e-17,,1.339e-6,5.115e+0,1.585e-28,3.414e-3,,2.042e-27
502.97,5.937e+0,7.759e-17,,4.656e-7,5.929e+0,1.583e-28,7.779e-3,,2.042e-27
502.99,6.710e+0,7.754e-17,,1.574e-7,6.693e+0,1.581e-28,1.723e-2,,2.042e-27
503,7.066e+0,7.751e-17,,9.052e-8,7.041e+0,1.580e-28,2.537e-2,,2.043e-27
503.02,7.699e+0,7.746e-17,,2.931e-8,7.645e+0,1.577e-28,5.384e-2,,2.043e-27
503.04,8.210e+0,7.740e-17,,9.225e-9,8.099e+0,1.575e-28,1.111e-1,,2.043e-27
503.05,8.419e+0,7.737e-17,,5.120e-9,8.261e+0,1.574e-28,1.578e-1,,2.043e-27
503.07,8.764e+0,7.732e-17,,1.544e-9,8.452e+0,1.572e-28,3.120e-1,,2.044e-27
503.09,9.064e+0,7.727e-17,,4.524e-10,8.465e+0,1.570e-28,5.995e-1,,2.044e-27
503.1,9.232e+0,7.724e-17,,2.423e-10,8.409e+0,1.569e-28,8.223e-1,,2.044e-27
503.12,9.704e+0,7.718e-17,,6.802e-11,8.190e+0,1.567e-28,1.514e+0,,2.044e-27
503.14,1.056e+1,7.713e-17,,1.856e-11,7.853e+0,1.565e-28,2.710e+0,,2.045e-27
503.15,1.124e+1,7.710e-17,,9.591e-12,7.653e+0,1.564e-28,3.587e+0,,2.045e-27
503.17,1.336e+1,7.705e-17,,2.507e-12,7.210e+0,1.562e-28,6.153e+0,,2.045e-27
503.19,1.700e+1,7.699e-17,,6.370e-13,6.742e+0,1.560e-28,1.026e+1,,2.045e-27
503.2,1.961e+1,7.696e-17,,3.177e-13,6.509e+0,1.559e-28,1.311e+1,,2.045e-27
503.22,2.700e+1,7.691e-17,,7.732e-14,6.059e+0,1.557e-28,2.094e+1,,2.046e-27
503.24,3.817e+1,7.686e-17,,1.829e-14,5.652e+0,1.555e-28,3.252e+1,,2.046e-27
503.25,4.556e+1,7.683e-17,,8.802e-15,5.470e+0,1.554e-28,4.009e+1,,2.046e-27
503.27,6.482e+1,7.677e-17,,1.995e-15,5.162e+0,1.552e-28,5.966e+1,,2.046e-27
503.28,7.705e+1,7.675e-17,,9.396e-16,5.040e+0,1.551e-28,7.201e+1,,2.047e-27
503.3,1.076e+2,7.669e-17,,2.040e-16,4.872e+0,1.549e-28,1.027e+2,,2.047e-27
503.32,1.472e+2,7.664e-17,,4.306e-17,4.825e+0,1.547e-28,1.424e+2,,2.047e-27
503.33,1.707e+2,7.661e-17,,1.957e-17,4.853e+0,1.546e-28,1.658e+2,,2.047e-27
503.35,2.253e+2,7.655e-17,,1.997e-17,5.025e+0,1.544e-28,2.203e+2,,2.047e-27
503.37,2.898e+2,7.650e-17,,2.037e-17,5.367e+0,1.542e-28,2.844e+2,,2.048e-27
503.38,3.254e+2,7.647e-17,,2.057e-17,5.605e+0,1.541e-28,3.198e+2,,2.048e-27
503.4,4.019e+2,7.642e-17,,2.097e-17,6.215e+0,1.539e-28,3.957e+2,,2.048e-27
503.42,4.829e+2,7.636e-17,,2.137e-17,6.991e+0,1.537e-28,4.759e+2,,2.048e-27
503.43,5.238e+2,7.634e-17,,2.157e-17,7.432e+0,1.536e-28,5.164e+2,,2.049e-27
503.45,6.036e+2,7.628e-17,,2.197e-17,8.390e+0,1.534e-28,5.952e+2,,2.049e-27
503.47,6.762e+2,7.623e-17,,2.237e-17,9.397e+0,1.532e-28,6.668e+2,,2.049e-27
503.48,7.081e+2,7.620e-17,,2.257e-17,9.895e+0,1.531e-28,6.982e+2,,2.049e-27
503.5,7.604e+2,7.615e-17,,2.297e-17,1.083e+1,1.529e-28,7.496e+2,,2.050e-27
503.52,7.938e+2,7.609e-17,,2.337e-17,1.161e+1,1.527e-28,7.822e+2,,2.050e-27
503.53,8.025e+2,7.606e-17,,2.357e-17,1.192e+1,1.526e-28,7.906e+2,,2.050e-27
503.55,8.030e+2,7.601e-17,,2.397e-17,1.234e+1,1.524e-28,7.906e+2,,2.050e-27
503.57,7.809e+2,7.595e-17,,2.437e-17,1.245e+1,1.522e-28,7.685e+2,,2.051e-27
503.58,7.620e+2,7.593e-17,,2.457e-17,1.238e+1,1.521e-28,7.496e+2,,2.051e-27
503.6,7.102e+2,7.587e-17,,2.497e-17,1.200e+1,1.519e-28,6.982e+2,,2.051e-27
503.62,6.435e+2,7.582e-17,,2.537e-17,1.132e+1,1.517e-28,6.322e+2,,2.051e-27
503.63,6.060e+2,7.579e-17,,2.557e-17,1.088e+1,1.516e-28,5.952e+2,,2.051e-27
503.65,5.262e+2,7.574e-17,,2.597e-17,9.838e+0,1.514e-28,5.164e+2,,2.052e-27
503.66,4.852e+2,7.571e-17,,2.617e-17,9.259e+0,1.513e-28,4.759e+2,,2.052e-27
503.68,4.037e+2,7.565e-17,,2.657e-17,8.030e+0,1.511e-28,3.957e+2,,2.052e-27
503.7,3.266e+2,7.560e-17,,2.697e-17,6.770e+0,1.509e-28,3.198e+2,,2.052e-27
503.71,2.906e+2,7.557e-17,,2.717e-17,6.150e+0,1.508e-28,2.844e+2,,2.053e-27
503.73,2.253e+2,7.552e-17,,2.757e-17,4.970e+0,1.506e-28,2.203e+2,,2.053e-27
503.75,1.697e+2,7.546e-17,,2.797e-17,3.904e+0,1.504e-28,1.658e+2,,2.053e-27
503.76,1.458e+2,7.543e-17,,2.817e-17,3.423e+0,1.503e-28,1.424e+2,,2.053e-27
503.78,1.053e+2,7.538e-17,,2.857e-17,2.577e+0,1.501e-28,1.027e+2,,2.054e-27
503.8,7.390e+1,7.533e-17,,2.897e-17,1.885e+0,1.499e-28,7.201e+1,,2.054e-27
503.81,6.126e+1,7.530e-17,,2.917e-17,1.596e+0,1.498e-28,5.966e+1,,2.054e-27
503.83,4.121e+1,7.524e-17,,2.957e-17,1.119e+0,1.496e-28,4.009e+1,,2.054e-27
503.85,2.695e+1,7.519e-17,,2.997e-17,7.627e-1,1.494e-28,2.618e+1,,2.055e-27
503.86,2.156e+1,7.516e-17,,3.017e-17,6.230e-1,1.493e-28,2.094e+1,,2.055e-27
503.88,1.351e+1,7.511e-17,,3.057e-17,4.069e-1,1.491e-28,1.311e+1,,2.055e-27
503.9,8.231e+0,7.505e-17,,3.097e-17,2.584e-1,1.488e-28,7.973e+0,,2.055e-27
503.91,6.357e+0,7.502e-17,,3.117e-17,2.037e-1,1.487e-28,6.153e+0,,2.055e-27
503.93,3.711e+0,7.497e-17,,3.157e-17,1.239e-1,1.485e-28,3.587e+0,,2.056e-27
503.95,2.106e+0,7.492e-17,,3.197e-17,7.333e-2,1.483e-28,2.033e+0,,2.056e-27
503.96,1.570e+0,7.489e-17,,3.217e-17,5.583e-2,1.482e-28,1.514e+0,,2.056e-27
503.98,8.540e-1,7.483e-17,,3.257e-17,3.174e-2,1.480e-28,8.223e-1,,2.056e-27
504,4.517e-1,7.478e-17,,3.297e-17,1.769e-2,1.478e-28,4.340e-1,,2.057e-27
504.01,3.252e-1,7.475e-17,,3.317e-17,1.319e-2,1.477e-28,3.120e-1,,2.057e-27
504.03,1.654e-1,7.470e-17,,3.357e-17,7.550e-3,1.475e-28,1.578e-1,,2.057e-27
504.05,8.262e-2,7.464e-17,,3.397e-17,5.020e-3,1.473e-28,7.760e-2,,2.057e-27
504.06,5.844e-2,7.461e-17,,3.417e-17,4.603e-3,1.472e-28,5.384e-2,,2.058e-27
504.08,3.058e-2,7.456e-17,,3.457e-17,5.210e-3,1.470e-28,2.537e-2,,2.058e-27
504.09,2.347e-2,7.453e-17,,3.477e-17,6.243e-3,1.469e-28,1.723e-2,,2.058e-27
504.11,1.783e-2,7.448e-17,,3.517e-17,1.005e-2,1.467e-28,7.779e-3,,2.058e-27
504.13,2.036e-2,7.442e-17,,3.557e-17,1.694e-2,1.465e-28,3.414e-3,,2.059e-27
504.14,2.421e-2,7.440e-17,,3.577e-17,2.197e-2,1.464e-28,2.238e-3,,2.059e-27
504.16,3.736e-2,7.434e-17,,3.617e-17,3.641e-2,1.462e-28,9.427e-4,,2.059e-27
504.18,5.923e-2,7.429e-17,,3.657e-17,5.884e-2,1.460e-28,3.889e-4,,2.059e-27
504.19,7.428e-2,7.426e-17,,3.677e-17,7.403e-2,1.459e-28,2.502e-4,,2.059e-27
504.21,1.149e-1,7.420e-17,,3.717e-17,1.148e-1,1.457e-28,1.132e-4,,2.060e-27
504.23,1.731e-1,7.415e-17,,3.757e-17,1.730e-1,1.455e-28,8.152e-5,,2.060e-27
504.24,2.102e-1,7.412e-17,,3.777e-17,2.101e-1,1.454e-28,9.347e-5,,2.060e-27
504.26,3.038e-1,7.407e-17,,3.817e-17,3.036e-1,1.452e-28,1.817e-4,,2.060e-27
504.28,4.268e-1,7.401e-17,,3.857e-17,4.264e-1,1.450e-28,4.136e-4,,2.061e-27
504.29,5.007e-1,7.399e-17,,3.877e-17,5.001e-1,1.449e-28,6.270e-4,,2.061e-27
504.31,6.748e-1,7.393e-17,,3.917e-17,6.734e-1,1.447e-28,1.419e-3,,2.061e-27
504.33,8.849e-1,7.388e-17,,3.957e-17,8.817e-1,1.445e-28,3.128e-3,,2.061e-27
504.34,1.003e+0,7.385e-17,,3.977e-17,9.984e-1,1.444e-28,4.597e-3,,2.062e-27
504.36,1.263e+0,7.379e-17,,4.017e-17,1.254e+0,1.442e-28,9.716e-3,,2.062e-27
504.38,1.551e+0,7.374e-17,,4.057e-17,1.531e+0,1.440e-28,1.997e-2,,2.062e-27
504.39,1.703e+0,7.371e-17,,4.076e-17,1.675e+0,1.439e-28,2.832e-2,,2.062e-27
504.41,2.019e+0,7.366e-17,,4.116e-17,1.963e+0,1.437e-28,5.578e-2,,2.063e-27
504.43,2.347e+0,7.360e-17,,4.156e-17,2.240e+0,1.435e-28,1.068e-1,,2.063e-27
504.44,2.515e+0,7.358e-17,,4.176e-17,2.369e+0,1.434e-28,1.463e-1,,2.063e-27
504.46,2.867e+0,7.352e-17,,4.216e-17,2.599e+0,1.432e-28,2.684e-1,,2.063e-27
504.47,3.056e+0,7.349e-17,,4.236e-17,2.697e+0,1.431e-28,3.598e-1,,2.063e-27
504.49,3.484e+0,7.344e-17,,4.276e-17,2.850e+0,1.429e-28,6.331e-1,,2.064e-27
504.51,4.027e+0,7.338e-17,,4.316e-17,2.944e+0,1.427e-28,1.083e+0,,2.064e-27
504.52,4.370e+0,7.336e-17,,4.336e-17,2.969e+0,1.426e-28,1.401e+0,,2.064e-27
504.54,5.270e+0,7.330e-17,,4.376e-17,2.974e+0,1.424e-28,2.297e+0,,2.064e-27
504.56,6.589e+0,7.325e-17,,4.416e-17,2.928e+0,1.422e-28,3.660e+0,,2.065e-27
504.57,7.462e+0,7.322e-17,,4.436e-17,2.890e+0,1.421e-28,4.572e+0,,2.065e-27
504.59,9.777e+0,7.317e-17,,4.476e-17,2.793e+0,1.419e-28,6.984e+0,,2.065e-27
504.61,1.305e+1,7.311e-17,,4.516e-17,2.678e+0,1.417e-28,1.037e+1,,2.065e-27
504.62,1.513e+1,7.308e-17,,4.536e-17,2.619e+0,1.416e-28,1.251e+1,,2.066e-27
504.64,2.030e+1,7.303e-17,,4.576e-17,2.502e+0,1.414e-28,1.780e+1,,2.066e-27
504.66,2.703e+1,7.297e-17,,4.616e-17,2.393e+0,1.412e-28,2.463e+1,,2.066e-27
504.67,3.102e+1,7.295e-17,,4.636e-17,2.343e+0,1.411e-28,2.867e+1,,2.066e-27
504.69,4.028e+1,7.289e-17,,4.676e-17,2.251e+0,1.409e-28,3.803e+1,,2.067e-27
504.71,5.120e+1,7.284e-17,,4.716e-17,2.165e+0,1.407e-28,4.904e+1,,2.067e-27
504.72,5.722e+1,7.281e-17,,4.736e-17,2.122e+0,1.406e-28,5.510e+1,,2.067e-27
504.74,7.013e+1,7.276e-17,,4.776e-17,2.034e+0,1.404e-28,6.810e+1,,2.067e-27
504.76,8.376e+1,7.270e-17,,4.816e-17,1.934e+0,1.401e-28,8.182e+1,,2.068e-27
504.77,9.062e+1,7.267e-17,,4.836e-17,1.878e+0,1.400e-28,8.875e+1,,2.068e-27
504.79,1.040e+2,7.262e-17,,4.876e-17,1.752e+0,1.398e-28,1.022e+2,,2.068e-27
504.81,1.160e+2,7.256e-17,,4.916e-17,1.607e+0,1.396e-28,1.144e+2,,2.068e-27
504.82,1.213e+2,7.254e-17,,4.936e-17,1.528e+0,1.395e-28,1.198e+2,,2.068e-27
504.84,1.299e+2,7.248e-17,,4.976e-17,1.359e+0,1.393e-28,1.286e+2,,2.069e-27
504.85,1.331e+2,7.246e-17,,4.996e-17,1.271e+0,1.392e-28,1.318e+2,,2.069e-27
504.87,1.367e+2,7.240e-17,,5.036e-17,1.092e+0,1.390e-28,1.356e+2,,2.069e-27
504.89,1.365e+2,7.235e-17,,5.076e-17,9.144e-1,1.388e-28,1.356e+2,,2.069e-27
504.9,1.350e+2,7.232e-17,,5.096e-17,8.287e-1,1.387e-28,1.341e+2,,2.070e-27
504.92,1.292e+2,7.226e-17,,5.136e-17,6.674e-1,1.385e-28,1.286e+2,,2.070e-27
504.94,1.203e+2,7.221e-17,,5.176e-17,5.232e-1,1.383e-28,1.198e+2,,2.070e-27
504.95,1.149e+2,7.218e-17,,5.196e-17,4.585e-1,1.382e-28,1.144e+2,,2.070e-27
504.97,1.026e+2,7.213e-17,,5.236e-17,3.450e-1,1.380e-28,1.022e+2,,2.071e-27
504.99,8.900e+1,7.207e-17,,5.276e-17,2.525e-1,1.378e-28,8.875e+1,,2.071e-27
505,8.204e+1,7.205e-17,,5.296e-17,2.137e-1,1.377e-28,8.182e+1,,2.071e-27
505.02,6.825e+1,7.199e-17,,5.336e-17,1.500e-1,1.375e-28,6.810e+1,,2.071e-27
505.04,5.520e+1,7.194e-17,,5.376e-17,1.024e-1,1.373e-28,5.510e+1,,2.072e-27
505.05,4.912e+1,7.191e-17,,5.396e-17,8.369e-2,1.372e-28,4.904e+1,,2.072e-27
505.07,3.809e+1,7.185e-17,,5.436e-17,5.475e-2,1.370e-28,3.803e+1,,2.072e-27
505.09,2.871e+1,7.180e-17,,5.476e-17,3.483e-2,1.368e-28,2.867e+1,,2.072e-27
505.1,2.466e+1,7.177e-17,,5.496e-17,2.749e-2,1.367e-28,2.463e+1,,2.072e-27
505.12,1.782e+1,7.172e-17,,5.536e-17,1.676e-2,1.365e-28,1.780e+1,,2.073e-27
505.14,1.252e+1,7.166e-17,,5.576e-17,9.936e-3,1.363e-28,1.251e+1,,2.073e-27
505.15,1.038e+1,7.164e-17,,5.596e-17,7.570e-3,1.362e-28,1.037e+1,,2.073e-27
505.17,6.989e+0,7.158e-17,,5.636e-17,4.301e-3,1.360e-28,6.984e+0,,2.073e-27
505.19,4.575e+0,7.153e-17,,5.676e-17,2.376e-3,1.358e-28,4.572e+0,,2.074e-27
505.2,3.662e+0,7.150e-17,,5.696e-17,1.747e-3,1.357e-28,3.660e+0,,2.074e-27
505.22,2.298e+0,7.144e-17,,5.736e-17,9.252e-4,1.355e-28,2.297e+0,,2.074e-27
505.23,1.801e+0,7.142e-17,,5.756e-17,6.661e-4,1.354e-28,1.800e+0,,2.074e-27
505.25,1.083e+0,7.136e-17,,5.796e-17,3.381e-4,1.352e-28,1.083e+0,,2.075e-27
505.27,6.332e-1,7.131e-17,,5.836e-17,1.668e-4,1.350e-28,6.331e-1,,2.075e-27
505.28,4.791e-1,7.128e-17,,5.856e-17,1.159e-4,1.349e-28,4.790e-1,,2.075e-27
505.3,2.685e-1,7.123e-17,,5.896e-17,5.482e-5,1.347e-28,2.684e-1,,2.075e-27
505.32,1.463e-1,7.117e-17,,5.936e-17,2.520e-5,1.345e-28,1.463e-1,,2.076e-27
505.33,1.068e-1,7.114e-17,,5.956e-17,1.691e-5,1.344e-28,1.068e-1,,2.076e-27
505.35,5.579e-2,7.109e-17,,5.996e-17,7.451e-6,1.342e-28,5.578e-2,,2.076e-27
505.37,2.832e-2,7.103e-17,,6.036e-17,3.192e-6,1.340e-28,2.832e-2,,2.076e-27
505.38,1.997e-2,7.101e-17,,6.056e-17,2.068e-6,1.339e-28,1.997e-2,,2.076e-27
505.4,9.717e-3,7.095e-17,,6.096e-17,8.535e-7,1.337e-28,9.716e-3,,2.077e-27
505.42,4.597e-3,7.090e-17,,6.136e-17,3.530e-7,1.335e-28,4.596e-3,,2.077e-27
505.43,3.128e-3,7.087e-17,,6.156e-17,2.358e-7,1.334e-28,3.128e-3,,2.077e-27
505.45,1.419e-3,7.082e-17,,6.196e-17,1.481e-7,1.332e-28,1.418e-3,,2.077e-27
505.47,6.255e-4,7.076e-17,,6.236e-17,2.120e-7,1.330e-28,6.253e-4,,2.078e-27
505.48,4.111e-4,7.073e-17,,6.256e-17,3.146e-7,1.329e-28,4.108e-4,,2.078e-27
505.5,1.743e-4,7.068e-17,,6.296e-17,7.772e-7,1.327e-28,1.736e-4,,2.078e-27
505.52,7.325e-5,7.062e-17,,6.336e-17,1.950e-6,1.325e-28,7.130e-5,,2.078e-27
505.53,4.828e-5,7.060e-17,,6.356e-17,3.066e-6,1.324e-28,4.521e-5,,2.078e-27
505.55,2.523e-5,7.054e-17,,6.396e-17,7.428e-6,1.322e-28,1.780e-5,,2.079e-27
505.57,2.432e-5,7.049e-17,,6.436e-17,1.750e-5,1.320e-28,6.814e-6,,2.079e-27
505.58,3.076e-5,7.046e-17,,6.456e-17,2.659e-5,1.319e-28,4.171e-6,,2.079e-27
505.6,6.159e-5,7.041e-17,,6.496e-17,6.006e-5,1.317e-28,1.530e-6,,2.079e-27
505.61,9.024e-5,7.038e-17,,6.516e-17,8.933e-5,1.316e-28,9.171e-7,,2.080e-27
505.63,1.938e-4,7.032e-17,,6.556e-17,1.935e-4,1.313e-28,3.225e-7,,2.080e-27
505.65,4.075e-4,7.027e-17,,6.596e-17,4.074e-4,1.311e-28,1.103e-7,,2.080e-27
505.66,5.851e-4,7.024e-17,,6.616e-17,5.850e-4,1.310e-28,6.379e-8,,2.080e-27
505.68,1.181e-3,7.019e-17,,6.656e-17,1.181e-3,1.308e-28,2.090e-8,,2.081e-27
505.7,2.318e-3,7.013e-17,,6.696e-17,2.318e-3,1.306e-28,6.659e-9,,2.081e-27
505.71,3.214e-3,7.011e-17,,6.716e-17,3.214e-3,1.305e-28,3.719e-9,,2.081e-27
505.73,6.049e-3,7.005e-17,,6.756e-17,6.049e-3,1.303e-28,1.136e-9,,2.081e-27
505.75,1.107e-2,7.000e-17,,6.796e-17,1.107e-2,1.301e-28,3.371e-10,,2.082e-27
505.76,1.481e-2,6.997e-17,,6.816e-17,1.481e-2,1.300e-28,1.817e-10,,2.082e-27
505.78,2.599e-2,6.991e-17,,6.856e-17,2.599e-2,1.298e-28,5.170e-11,,2.082e-27
505.8,4.433e-2,6.986e-17,,6.896e-17,4.433e-2,1.296e-28,1.430e-11,,2.082e-27
505.81,5.728e-2,6.983e-17,,6.916e-17,5.728e-2,1.295e-28,7.442e-12,,2.082e-27
505.83,9.367e-2,6.978e-17,,6.956e-17,9.367e-2,1.293e-28,1.973e-12,,2.083e-27
505.85,1.489e-1,6.972e-17,,6.996e-17,1.489e-1,1.291e-28,5.086e-13,,2.083e-27
505.86,1.858e-1,6.970e-17,,7.016e-17,1.858e-1,1.290e-28,2.555e-13,,2.083e-27
505.88,2.832e-1,6.964e-17,,7.056e-17,2.832e-1,1.288e-28,6.312e-14,,2.083e-27
505.9,4.198e-1,6.959e-17,,7.096e-17,4.198e-1,1.286e-28,1.516e-14,,2.084e-27
505.91,5.057e-1,6.956e-17,,7.116e-17,5.057e-1,1.285e-28,7.351e-15,,2.084e-27
505.93,7.185e-1,6.950e-17,,7.156e-17,7.185e-1,1.283e-28,1.692e-15,,2.084e-27
505.95,9.926e-1,6.945e-17,,7.196e-17,9.926e-1,1.281e-28,3.787e-16,,2.084e-27
505.96,1.154e+0,6.942e-17,,7.216e-17,1.154e+0,1.280e-28,1.773e-16,,2.085e-27
505.98,1.529e+0,6.937e-17,,7.256e-17,1.529e+0,1.278e-28,3.803e-17,,2.085e-27
505.99,1.741e+0,6.934e-17,,7.276e-17,1.741e+0,1.277e-28,3.887e-17,,2.085e-27
506.01,2.211e+0,6.929e-17,,7.316e-17,2.211e+0,1.275e-28,4.056e-17,,2.085e-27
506.03,2.730e+0,6.923e-17,,7.356e-17,2.730e+0,1.273e-28,4.224e-17,,2.086e-27
506.04,3.002e+0,6.920e-17,,7.376e-17,3.002e+0,1.272e-28,4.309e-17,,2.086e-27
506.06,3.553e+0,6.915e-17,,7.416e-17,3.553e+0,1.270e-28,4.478e-17,,2.086e-27
506.08,4.089e+0,6.909e-17,,7.456e-17,4.089e+0,1.268e-28,4.646e-17,,2.086e-27
506.09,4.340e+0,6.907e-17,,7.476e-17,4.340e+0,1.267e-28,4.731e-17,,2.086e-27
506.11,4.789e+0,6.901e-17,,7.516e-17,4.789e+0,1.265e-28,4.899e-17,,2.087e-27
506.13,5.138e+0,6.896e-17,,7.556e-17,5.138e+0,1.263e-28,5.068e-17,,2.087e-27
506.14,5.265e+0,6.893e-17,,7.576e-17,5.265e+0,1.262e-28,5.152e-17,,2.087e-27
506.16,5.416e+0,6.888e-17,,7.616e-17,5.416e+0,1.260e-28,5.321e-17,,2.087e-27
506.18,5.416e+0,6.882e-17,,7.656e-17,5.416e+0,1.258e-28,5.490e-17,,2.088e-27
506.19,5.359e+0,6.879e-17,,7.676e-17,5.359e+0,1.257e-28,5.574e-17,,2.088e-27
506.21,5.138e+0,6.874e-17,,7.716e-17,5.138e+0,1.255e-28,5.743e-17,,2.088e-27
506.23,4.789e+0,6.868e-17,,7.756e-17,4.789e+0,1.253e-28,5.911e-17,,2.088e-27
506.24,4.575e+0,6.866e-17,,7.776e-17,4.575e+0,1.252e-28,5.996e-17,,2.089e-27
506.26,4.089e+0,6.860e-17,,7.816e-17,4.089e+0,1.250e-28,6.164e-17,,2.089e-27
506.28,3.553e+0,6.855e-17,,7.856e-17,3.553e+0,1.248e-28,6.333e-17,,2.089e-27
506.29,3.277e+0,6.852e-17,,7.876e-17,3.277e+0,1.247e-28,6.417e-17,,2.089e-27
506.31,2.731e+0,6.847e-17,,7.916e-17,2.731e+0,1.245e-28,6.586e-17,,2.090e-27
506.33,2.213e+0,6.841e-17,,7.956e-17,2.213e+0,1.243e-28,6.755e-17,,2.090e-27
506.34,1.971e+0,6.838e-17,,7.976e-17,1.971e+0,1.242e-28,6.839e-17,,2.090e-27
506.36,1.533e+0,6.833e-17,,8.016e-17,1.533e+0,1.240e-28,7.008e-17,,2.090e-27
506.38,1.161e+0,6.827e-17,,3.730e-16,1.161e+0,1.238e-28,7.177e-17,,2.091e-27
506.39,1.001e+0,6.825e-17,,7.963e-16,1.001e+0,1.237e-28,7.261e-17,,2.091e-27
506.41,7.330e-1,6.819e-17,,3.554e-15,7.330e-1,1.235e-28,7.430e-17,,2.091e-27
506.42,6.237e-1,6.816e-17,,7.429e-15,6.237e-1,1.234e-28,7.514e-17,,2.091e-27
506.44,4.509e-1,6.811e-17,,3.179e-14,4.509e-1,1.232e-28,7.683e-17,,2.091e-27
506.46,3.334e-1,6.806e-17,,1.323e-13,3.334e-1,1.230e-28,7.851e-17,,2.092e-27
506.47,2.932e-1,6.803e-17,,2.671e-13,2.932e-1,1.229e-28,7.936e-17,,2.092e-27
506.49,2.462e-1,6.797e-17,,1.066e-12,2.462e-1,1.227e-28,8.104e-17,,2.092e-27
506.51,2.397e-1,6.792e-17,,4.136e-12,2.397e-1,1.224e-28,8.273e-17,,2.092e-27
506.52,2.506e-1,6.789e-17,,8.062e-12,2.506e-1,1.223e-28,8.357e-17,,2.093e-27
506.54,2.993e-1,6.784e-17,,3.000e-11,2.993e-1,1.221e-28,8.526e-17,,2.093e-27
506.56,3.830e-1,6.778e-17,,1.085e-10,3.830e-1,1.219e-28,8.695e-17,,2.093e-27
506.57,4.378e-1,6.775e-17,,2.043e-10,4.378e-1,1.218e-28,8.779e-17,,2.093e-27
506.59,5.725e-1,6.770e-17,,7.090e-10,5.725e-1,1.216e-28,8.948e-17,,2.094e-27
