Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
233.36,9.397e-1,5.342e-13,,9.397e-1
233.38,1.051e+0,5.321e-13,,1.051e+0
233.41,1.179e+0,5.288e-13,,1.179e+0
233.43,1.203e+0,5.267e-13,,1.203e+0
233.46,1.120e+0,5.235e-13,,1.120e+0
233.48,9.944e-1,5.213e-13,,9.944e-1
233.51,7.463e-1,5.181e-13,,7.463e-1
233.53,5.729e-1,5.159e-13,,5.729e-1
233.56,3.457e-1,5.127e-13,,3.457e-1
233.58,2.304e-1,5.105e-13,,2.304e-1
233.61,1.166e-1,5.073e-13,,1.166e-1
233.63,7.697e-2,5.052e-13,,7.697e-2
233.65,6.338e-2,5.030e-13,,6.338e-2
233.68,9.402e-2,4.998e-13,,9.402e-2
233.7,1.570e-1,4.976e-13,,1.570e-1
233.73,3.423e-1,4.944e-13,,3.423e-1
233.75,5.446e-1,4.922e-13,,5.446e-1
233.78,9.836e-1,4.890e-13,,9.836e-1
233.8,1.357e+0,4.869e-13,,1.357e+0
233.83,1.970e+0,4.836e-13,,1.970e+0
233.85,2.348e+0,4.815e-13,,2.348e+0
233.88,2.737e+0,4.783e-13,,2.737e+0
233.9,2.818e+0,4.761e-13,,2.818e+0
233.93,2.639e+0,4.729e-13,,2.639e+0
233.95,2.348e+0,4.707e-13,,2.348e+0
233.98,1.765e+0,4.675e-13,,1.765e+0
234,1.357e+0,4.653e-13,,1.357e+0
234.02,9.835e-1,4.632e-13,,9.835e-1
234.05,5.439e-1,4.600e-13,,5.439e-1
234.07,3.407e-1,4.578e-13,,3.407e-1
234.1,1.513e-1,4.546e-13,,1.513e-1
234.12,8.188e-2,4.524e-13,,8.188e-2
234.15,2.920e-2,4.492e-13,,2.920e-2
234.17,1.365e-2,4.470e-13,,1.365e-2
234.2,3.911e-3,4.438e-13,,3.911e-3
234.22,1.580e-3,4.416e-13,,1.580e-3
234.25,3.708e-4,4.384e-13,,3.708e-4
234.27,1.521e-4,4.363e-13,,1.521e-4
234.3,1.652e-4,4.330e-13,,1.652e-4
234.32,4.225e-4,4.309e-13,,4.225e-4
234.35,1.869e-3,4.277e-13,,1.869e-3
234.37,4.734e-3,4.255e-13,,4.734e-3
234.4,1.712e-2,4.223e-13,,1.712e-2
234.42,3.751e-2,4.201e-13,,3.751e-2
234.44,7.755e-2,4.180e-13,,7.755e-2
234.47,2.067e-1,4.147e-13,,2.067e-1
234.49,3.696e-1,4.126e-13,,3.696e-1
234.52,7.924e-1,4.094e-13,,7.924e-1
234.54,1.225e+0,4.072e-13,,1.225e+0
234.57,2.112e+0,4.040e-13,,2.112e+0
234.59,2.825e+0,4.018e-13,,2.825e+0
234.62,3.917e+0,3.986e-13,,3.917e+0
234.64,4.529e+0,3.964e-13,,4.529e+0
234.67,5.050e+0,3.932e-13,,5.050e+0
234.69,5.050e+0,3.911e-13,,5.050e+0
234.72,4.529e+0,3.878e-13,,4.529e+0
234.74,3.917e+0,3.857e-13,,3.917e+0
234.77,2.825e+0,3.824e-13,,2.825e+0
234.79,2.112e+0,3.803e-13,,2.112e+0
234.81,1.491e+0,3.781e-13,,1.491e+0
234.84,7.924e-1,3.749e-13,,7.924e-1
234.86,4.836e-1,3.728e-13,,4.836e-1
234.89,2.067e-1,3.695e-13,,2.067e-1
234.91,1.091e-1,3.674e-13,,1.091e-1
234.94,3.751e-2,3.641e-13,,3.751e-2
234.96,1.712e-2,3.620e-13,,1.712e-2
234.99,4.734e-3,3.588e-13,,4.734e-3
235.01,1.868e-3,3.566e-13,,1.868e-3
235.04,4.155e-4,3.534e-13,,4.155e-4
235.06,1.418e-4,3.512e-13,,1.418e-4
235.09,2.536e-5,3.480e-13,,2.536e-5
235.11,7.485e-6,3.458e-13,,7.485e-6
235.14,1.077e-6,3.426e-13,,1.077e-6
235.16,2.748e-7,3.405e-13,,2.748e-7
235.18,6.619e-8,3.383e-13,,6.619e-8
235.21,7.017e-9,3.351e-13,,7.017e-9
235.23,1.462e-9,3.329e-13,,1.462e-9
235.26,1.246e-10,3.297e-13,,1.246e-10
235.28,2.244e-11,3.275e-13,,2.244e-11
235.31,1.539e-12,3.243e-13,,1.539e-12
235.33,2.397e-13,3.222e-13,,2.397e-13
235.36,1.322e-14,3.189e-13,,1.322e-14
235.38,1.781e-15,3.168e-13,,1.781e-15
236.79,7.314e-16,1.650e-13,,7.314e-16
236.81,5.327e-15,1.628e-13,,5.327e-15
236.84,9.415e-14,1.596e-13,,9.415e-14
236.86,5.951e-13,1.574e-13,,5.951e-13
236.89,8.502e-12,1.542e-13,,8.502e-12
236.91,4.663e-11,1.521e-13,,4.663e-11
236.94,5.385e-10,1.488e-13,,5.385e-10
