Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
264.32,3.878e+2,,3.878e+2
264.35,2.866e+2,,2.866e+2
264.37,2.261e+2,,2.261e+2
264.39,1.722e+2,,1.722e+2
264.42,1.071e+2,,1.071e+2
264.44,7.543e+1,,7.543e+1
264.47,4.613e+1,,4.613e+1
264.49,3.918e+1,,3.918e+1
264.52,5.129e+1,,5.129e+1
264.54,7.987e+1,,7.987e+1
264.57,1.716e+2,,1.716e+2
264.59,2.822e+2,,2.822e+2
264.62,5.627e+2,,5.627e+2
264.64,8.555e+2,,8.555e+2
264.67,1.506e+3,,1.506e+3
264.69,2.108e+3,,2.108e+3
264.72,3.281e+3,,3.281e+3
264.74,4.231e+3,,4.231e+3
264.76,5.277e+3,,5.277e+3
264.79,6.903e+3,,6.903e+3
264.81,7.911e+3,,7.911e+3
264.84,9.088e+3,,9.088e+3
264.86,9.539e+3,,9.539e+3
264.89,9.613e+3,,9.613e+3
264.91,9.275e+3,,9.275e+3
264.94,8.341e+3,,8.341e+3
264.96,7.576e+3,,7.576e+3
264.99,6.473e+3,,6.473e+3
265.01,5.888e+3,,5.888e+3
265.04,5.338e+3,,5.338e+3
265.06,5.188e+3,,5.188e+3
265.09,5.210e+3,,5.210e+3
265.11,5.323e+3,,5.323e+3
265.14,5.534e+3,,5.534e+3
265.16,5.648e+3,,5.648e+3
265.18,5.706e+3,,5.706e+3
265.21,5.637e+3,,5.637e+3
265.23,5.461e+3,,5.461e+3
265.26,4.991e+3,,4.991e+3
265.28,4.565e+3,,4.565e+3
265.31,3.866e+3,,3.866e+3
265.33,3.463e+3,,3.463e+3
265.36,3.186e+3,,3.186e+3
265.38,3.372e+3,,3.372e+3
265.41,4.459e+3,,4.459e+3
265.43,5.830e+3,,5.830e+3
265.46,8.899e+3,,8.899e+3
265.48,1.152e+4,,1.152e+4
265.51,1.588e+4,,1.588e+4
265.53,1.869e+4,,1.869e+4
265.55,2.107e+4,,2.107e+4
265.58,2.322e+4,,2.322e+4
265.6,2.343e+4,,2.343e+4
265.63,2.185e+4,,2.185e+4
265.65,1.974e+4,,1.974e+4
265.68,1.560e+4,,1.560e+4
265.7,1.265e+4,,1.265e+4
265.73,8.567e+3,,8.567e+3
265.75,6.335e+3,,6.335e+3
