Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
202.587,4.762e+5,4.762e+5,,3.053e-164
202.589,2.813e+5,2.813e+5,,3.049e-164
202.59,2.025e+5,2.025e+5,,3.046e-164
202.592,9.193e+4,9.193e+4,,3.042e-164
202.594,3.503e+4,3.503e+4,,3.038e-164
202.595,2.024e+4,2.024e+4,,3.036e-164
202.597,5.929e+3,5.929e+3,,3.032e-164
202.599,1.457e+3,1.457e+3,,3.028e-164
202.6,6.762e+2,6.762e+2,,3.026e-164
202.602,1.277e+2,1.277e+2,,3.021e-164
202.604,2.024e+1,2.024e+1,,3.017e-164
202.605,7.545e+0,7.545e+0,,3.015e-164
202.607,9.190e-1,9.190e-1,,3.011e-164
202.609,9.393e-2,9.393e-2,,3.007e-164
202.61,2.812e-2,2.812e-2,,3.005e-164
202.612,2.209e-3,2.209e-3,,3.001e-164
202.614,1.456e-4,1.456e-4,,2.996e-164
202.615,3.501e-5,3.501e-5,,2.994e-164
202.617,1.774e-6,1.774e-6,,2.990e-164
202.619,7.541e-8,7.541e-8,,2.986e-164
202.62,1.456e-8,1.456e-8,,2.984e-164
202.622,4.757e-10,4.757e-10,,2.980e-164
202.624,1.304e-11,1.304e-11,,2.976e-164
202.625,2.022e-12,2.022e-12,,2.974e-164
202.627,4.262e-14,4.262e-14,,2.969e-164
202.629,7.537e-16,7.537e-16,,2.965e-164
202.63,9.384e-17,9.384e-17,,2.963e-164
202.632,1.275e-18,1.275e-18,,2.959e-164
202.634,1.455e-20,1.455e-20,,2.955e-164
202.635,1.455e-21,1.455e-21,,2.953e-164
202.637,1.275e-23,1.275e-23,,2.949e-164
202.639,9.378e-26,9.378e-26,,2.944e-164
202.64,7.531e-27,7.531e-27,,2.942e-164
202.642,4.258e-29,4.258e-29,,2.938e-164
202.644,2.020e-31,2.020e-31,,2.934e-164
202.645,1.303e-32,1.303e-32,,2.932e-164
202.647,4.749e-35,4.749e-35,,2.928e-164
202.649,1.453e-37,1.453e-37,,2.924e-164
202.65,7.525e-39,7.525e-39,,2.921e-164
202.652,1.770e-41,1.770e-41,,2.917e-164
202.654,3.492e-44,3.492e-44,,2.913e-164
202.655,1.452e-45,1.452e-45,,2.911e-164
202.657,2.202e-48,2.202e-48,,2.907e-164
202.659,2.803e-51,2.803e-51,,2.903e-164
202.66,9.361e-53,9.361e-53,,2.901e-164
202.662,9.157e-56,9.157e-56,,2.896e-164
202.664,7.515e-59,7.515e-59,,2.892e-164
202.665,2.016e-60,2.016e-60,,2.890e-164
202.667,1.272e-63,1.272e-63,,2.886e-164
202.669,6.731e-67,6.731e-67,,2.882e-164
202.67,1.450e-68,1.450e-68,,2.880e-164
202.672,5.899e-72,5.899e-72,,2.876e-164
202.674,2.014e-75,2.014e-75,,2.871e-164
202.675,3.484e-77,3.484e-77,,2.869e-164
202.677,9.141e-81,9.141e-81,,2.865e-164
202.679,2.013e-84,2.013e-84,,2.861e-164
202.68,2.796e-86,2.796e-86,,2.859e-164
202.682,4.732e-90,4.732e-90,,2.855e-164
202.684,6.719e-94,6.719e-94,,2.851e-164
202.685,7.496e-96,7.496e-96,,2.848e-164
202.687,8.181e-100,8.181e-100,,2.844e-164
202.689,7.492e-104,7.492e-104,,2.840e-164
202.69,6.713e-106,6.713e-106,,2.838e-164
202.692,4.725e-110,4.725e-110,,2.834e-164
202.694,2.791e-114,2.791e-114,,2.830e-164
202.695,2.008e-116,2.008e-116,,2.828e-164
202.697,9.117e-121,9.117e-121,,2.823e-164
202.699,3.473e-125,3.473e-125,,2.819e-164
202.7,2.007e-127,2.007e-127,,2.817e-164
202.702,5.875e-132,5.875e-132,,2.813e-164
202.704,1.443e-136,1.443e-136,,2.809e-164
203.832,4.585e-165,4.148e-95,,4.585e-165
203.833,9.192e-163,4.151e-95,,9.192e-163
203.835,3.245e-158,4.159e-95,,3.245e-158
203.837,9.636e-154,4.166e-95,,9.636e-154
203.838,1.556e-151,4.170e-95,,1.556e-151
203.84,3.564e-147,4.177e-95,,3.564e-147
203.841,5.055e-145,4.181e-95,,5.055e-145
203.843,8.930e-141,4.188e-95,,8.930e-141
203.845,1.327e-136,4.195e-95,,1.327e-136
203.846,1.516e-134,4.199e-95,,1.516e-134
203.848,1.737e-130,4.206e-95,,1.737e-130
203.85,1.674e-126,4.214e-95,,1.674e-126
203.851,1.541e-124,4.217e-95,,1.541e-124
203.853,1.146e-120,4.225e-95,,1.146e-120
203.855,7.163e-117,4.232e-95,,7.163e-117
203.856,5.309e-115,4.236e-95,,5.309e-115
203.858,2.561e-111,4.243e-95,,2.561e-111
203.86,1.039e-107,4.251e-95,,1.039e-107
203.861,6.201e-106,4.254e-95,,6.201e-106
203.863,1.940e-102,4.262e-95,,1.940e-102
203.865,5.107e-99,4.269e-95,,5.107e-99
203.866,2.455e-97,4.273e-95,,2.455e-97
203.868,4.984e-94,4.280e-95,,4.984e-94
203.87,8.510e-91,4.287e-95,,8.510e-91
203.871,3.296e-89,4.291e-95,,3.296e-89
203.873,4.340e-86,4.298e-95,,4.340e-86
203.875,4.808e-83,4.306e-95,,4.808e-83
203.876,1.500e-81,4.309e-95,,1.500e-81
203.878,1.281e-78,4.317e-95,,1.281e-78
203.88,9.206e-76,4.324e-95,,9.206e-76
203.881,2.313e-74,4.328e-95,,2.313e-74
203.883,1.282e-71,4.335e-95,,1.282e-71
203.885,5.976e-69,4.342e-95,,5.976e-69
203.886,1.209e-67,4.346e-95,,1.209e-67
203.888,4.348e-65,4.354e-95,,4.348e-65
203.89,1.315e-62,4.361e-95,,1.315e-62
203.891,2.143e-61,4.365e-95,,2.143e-61
203.893,5.000e-59,4.372e-95,,5.000e-59
203.895,9.810e-57,4.379e-95,,9.810e-57
203.896,1.288e-55,4.383e-95,,1.288e-55
203.898,1.949e-53,4.390e-95,,1.949e-53
203.9,2.481e-51,4.398e-95,,2.481e-51
203.901,2.623e-50,4.401e-95,,2.623e-50
203.903,2.575e-48,4.409e-95,,2.575e-48
203.905,2.126e-46,4.416e-95,,2.126e-46
203.906,1.811e-45,4.420e-95,,1.811e-45
203.908,1.153e-43,4.427e-95,,1.153e-43
