Wavelength (nm),Sum(calc),Pb I (1.4e-1),Pb II (8.6e-1)
247.68,6.307e+3,6.307e+3,
247.685,3.053e+3,3.053e+3,
247.69,1.362e+3,1.362e+3,
247.695,5.600e+2,5.600e+2,
247.7,2.122e+2,2.122e+2,
247.705,7.413e+1,7.413e+1,
247.71,2.387e+1,2.387e+1,
247.715,7.083e+0,7.083e+0,
247.72,1.937e+0,1.937e+0,
247.725,4.884e-1,4.884e-1,
247.73,1.135e-1,1.135e-1,
247.735,2.431e-2,2.431e-2,
247.74,4.798e-3,4.798e-3,
247.745,8.730e-4,8.730e-4,
247.75,1.464e-4,1.464e-4,
247.755,2.263e-5,2.263e-5,
247.76,3.224e-6,3.224e-6,
247.765,4.233e-7,4.233e-7,
247.77,5.123e-8,5.123e-8,
247.775,5.715e-9,5.715e-9,
247.78,5.876e-10,5.876e-10,
247.785,5.569e-11,5.569e-11,
247.79,4.864e-12,4.864e-12,
247.795,3.916e-13,3.916e-13,
247.8,2.906e-14,2.906e-14,
247.805,1.988e-15,1.988e-15,
247.81,1.253e-16,1.253e-16,
247.815,7.280e-18,7.280e-18,
247.82,3.899e-19,3.899e-19,
247.825,1.925e-20,1.925e-20,
247.83,8.756e-22,8.756e-22,
247.835,3.672e-23,3.672e-23,
247.84,1.419e-24,1.419e-24,
247.845,5.056e-26,5.056e-26,
247.85,1.660e-27,1.660e-27,
247.855,5.024e-29,5.024e-29,
247.86,1.401e-30,1.401e-30,
247.865,3.603e-32,3.603e-32,
247.87,8.539e-34,8.539e-34,
247.875,1.865e-35,1.865e-35,
247.88,3.755e-37,3.755e-37,
257.472,6.940e-38,6.940e-38,
257.477,3.060e-36,3.060e-36,
257.482,1.252e-34,1.252e-34,
257.487,4.748e-33,4.748e-33,
257.492,1.670e-31,1.670e-31,
257.497,5.450e-30,5.450e-30,
257.502,1.649e-28,1.649e-28,
257.507,4.630e-27,4.630e-27,
257.512,1.205e-25,1.205e-25,
257.517,2.911e-24,2.911e-24,
257.522,6.519e-23,6.519e-23,
257.527,1.354e-21,1.354e-21,
257.532,2.609e-20,2.609e-20,
257.537,4.662e-19,4.662e-19,
257.542,7.726e-18,7.726e-18,
257.547,1.188e-16,1.188e-16,
257.552,1.693e-15,1.693e-15,
257.557,2.239e-14,2.239e-14,
257.562,2.746e-13,2.746e-13,
257.567,3.123e-12,3.123e-12,
257.572,3.295e-11,3.295e-11,
257.577,3.224e-10,3.224e-10,
257.582,2.926e-9,2.926e-9,
257.587,2.463e-8,2.463e-8,
257.592,1.923e-7,1.923e-7,
257.597,1.392e-6,1.392e-6,
257.602,9.350e-6,9.350e-6,
257.607,5.824e-5,5.824e-5,
257.612,3.365e-4,3.365e-4,
257.617,1.803e-3,1.803e-3,
257.622,8.960e-3,8.960e-3,
257.627,4.130e-2,4.130e-2,
257.632,1.766e-1,1.766e-1,
257.637,7.001e-1,7.001e-1,
257.642,2.575e+0,2.575e+0,
257.647,8.782e+0,8.782e+0,
257.652,2.778e+1,2.778e+1,
257.657,8.152e+1,8.152e+1,
257.662,2.218e+2,2.218e+2,
257.667,5.600e+2,5.600e+2,
