Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
K III ,335.843,3,1.59E+08,238 455.1      , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K III ,336.422,6,1.12E+08,243 947.4      , 3/2 ,,,,,,,,,,,,,,
K II ,338.062,6,1.59E+09,217 722.3      ,3,,,,,,,,,,,,,,
K II ,338.486, 6bl* ,1.10E+09,217 061.9      ,2,,,,,,,,,,,,,,
K II ,338.486, 6bl* ,5.25E+07,219 192.1      ,2,,,,,,,,,,,,,,
K II ,339.263,3,3.72E+07,215 851.5      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,340.424,6,2.20E+08,212 571.2      ,2,,,,,,,,,,,,,,
K III ,342.082,6,2.76E+07,237 912.2      , 3/2 ,,,,,,,,,,,,,,
K III ,342.183,4,6.87E+07,243 448.2      , 3/2 ,,,,,,,,,,,,,,
K II ,342.713,2,1.72E+07,215 851.5      ,2,,,,,,,,,,,,,,
K II ,344.005,7,1.12E+09,219 192.1      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K XV ,344.53,  ,2.24E+02,29 017        , 3/2 ,,,,,,,,,,,,,,
K I ,344.6376, a ,1.65E+05,29 007.71     , 3/2 ,,,,,,,,,,,,,,
K I ,344.7376, a ,1.45E+05,28 999.27     , 1/2 ,,,,,,,,,,,,,,
K III ,344.801,3,1.95E+07,238 455.1      , 1/2 ,,,,,,,,,,,,,,
K II ,345.785,2,8.91E+06,217 061.9      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K III ,346.832,6,2.97E+07,237 512.0      , 5/2 ,,,,,,,,,,,,,,
K III ,348.111,1,1.02E+07,241 443.5      , 5/2 ,,,,,,,,,,,,,,
K III ,351.388,5,4.35E+07,237 912.2      , 3/2 ,,,,,,,,,,,,,,
K II ,352.851,1,2.39E+07,215 014.6      ,1,,,,,,,,,,,,,,
K II ,352.953,3,3.13E+07,215 851.5      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,353.075,7,2.26E+08,194 772.2      ,0,,,,,,,,,,,,,,
K XIV , ,  ,2.22E-03,28 225        ,2,,,,,,,,,,,,,,
K II ,356.215,4,6.49E+07,217 722.3      ,3,,,,,,,,,,,,,,
K II ,358.66,2,2.52E+07,215 400.9      ,1,,,,,,,,,,,,,,
K II ,359.322,2,3.46E+06,217 061.9      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,360.888,5,3.64E+08,215 851.5      ,2,,,,,,,,,,,,,,
K II ,361.849,6,8.14E+07,190 130.7      ,1,,,,,,,,,,,,,,
K II ,362.642,4,5.38E+08,229 524.9      ,2,,,,,,,,,,,,,,
K II ,363.7,3,7.62E+06,215 014.6      ,1,,,,,,,,,,,,,,
K II ,364.795,2,5.37E+05,217 061.9      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,364.8841,3, ,27 398.147    , 3/2 ,,,,,,,,,,,,,,
K I ,364.8981,4, ,27 397.077    , 5/2 ,,,,,,,,,,,,,,
K II ,366.86,3,3.67E+07,215 400.9      ,1,,,,,,,,,,,,,,
K II ,367.605,3,8.36E+07,214 722.7      ,0,,,,,,,,,,,,,,
K II ,368.154,6,1.56E+08,189 657.4      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,371.66,5,1.48E+07,190 130.7      ,1,,,,,,,,,,,,,,
K II ,372.134,5,1.44E+08,215 014.6      ,1,,,,,,,,,,,,,,
K II ,373.913,5,2.36E+07,189 239.5      ,1,,,,,,,,,,,,,,
K II ,374.442,5,1.07E+07,190 130.7      ,1,,,,,,,,,,,,,,
K II ,375.662,3,4.40E+07,215 851.5      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,376.736,6,1.01E+08,189 768.0      ,0,,,,,,,,,,,,,,
K II ,378.319,6,1.49E+08,189 657.4      ,2,,,,,,,,,,,,,,
K II ,380.014,6,2.75E+08,212 988.6      ,1,,,,,,,,,,,,,,
K II ,381.656,6,2.42E+08,215 851.5      ,2,,,,,,,,,,,,,,
K II ,381.75,7,5.73E+08,212 571.2      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,382.13,3,6.88E+06,215 400.9      ,1,,,,,,,,,,,,,,
K II ,384.402,1,1.12E+07,189 239.5      ,1,,,,,,,,,,,,,,
K II ,386.141,3,1.26E+08,212 571.2      ,2,,,,,,,,,,,,,,
K II ,387.374,5,2.91E+07,189 239.5      ,1,,,,,,,,,,,,,,
K II ,387.862,4,9.88E+07,215 014.6      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,388.342,3,1.71E+08,215 400.9      ,1,,,,,,,,,,,,,,
K III ,388.55,1, ,238 455.1      , 1/2 ,,,,,,,,,,,,,,
K II ,388.684,2,2.01E+07,215 851.5      ,2,,,,,,,,,,,,,,
K II ,389.792,8,3.63E+08,188 150.3      ,2,,,,,,,,,,,,,,
K II ,389.928,3,5.16E+06,190 130.7      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,390.011,3,7.75E+07,215 400.9      ,1,,,,,,,,,,,,,,
K II ,392.3,5,5.55E+07,214 722.7      ,0,,,,,,,,,,,,,,
K II ,392.636,5,1.36E+08,212 988.6      ,1,,,,,,,,,,,,,,
K II ,393.436,5,7.10E+08,227 367.2      ,2,,,,,,,,,,,,,,
K II ,394.253,6,1.86E+08,215 014.6      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,395.521,6,8.86E+07,189 768.0      ,0,,,,,,,,,,,,,,
K II ,395.61,3,9.07E+07,215 400.9      ,1,,,,,,,,,,,,,,
K II ,395.984,3,3.25E+06,215 014.6      ,1,,,,,,,,,,,,,,
K II ,396.672,6,4.71E+07,190 130.7      ,1,,,,,,,,,,,,,,
K II ,397.258, 6bl* ,5.88E+08,227 123.2      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,397.258, 6bl* ,4.43E+07,189 657.4      ,2,,,,,,,,,,,,,,
K II ,399.18,4,2.29E+07,212 571.2      ,2,,,,,,,,,,,,,,
K II ,399.51,6,4.61E+07,187 527.0      ,1,,,,,,,,,,,,,,
K II ,400.124,7,1.50E+08,190 130.7      ,1,,,,,,,,,,,,,,
K II ,401.21,5,4.37E+07,188 150.3      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,401.752,4,6.75E+07,215 014.6      ,1,,,,,,,,,,,,,,
K II ,402.488,4,1.10E+08,212 988.6      ,1,,,,,,,,,,,,,,
K II ,403.969,4,4.08E+07,189 239.5      ,1,,,,,,,,,,,,,,
K II ,404.259,6,9.30E+07,189 657.4      ,2,,,,,,,,,,,,,,
K I ,404.4136,18,1.15E+06,24 720.139    , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,404.7208,17,1.07E+06,24 701.382    , 1/2 ,,,,,,,,,,,,,,
K II ,406.523,4,2.30E+07,214 722.7      ,0,,,,,,,,,,,,,,
K II ,409.369,5,1.60E+08,212 571.2      ,2,,,,,,,,,,,,,,
K VI , ,  ,4.10E+00,43 358.8      ,0,,,,,,,,,,,,,,
K II ,411.214,4,1.36E+07,189 239.5      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,411.499,6,2.34E+08,187 527.0      ,1,,,,,,,,,,,,,,
K V ,412.263,  ,4.59E-03,24 249.6      , 5/2 ,,,,,,,,,,,,,,
K II ,413.472,7,2.31E+08,186 681.4      ,2,,,,,,,,,,,,,,
K II ,414.919, 7bl* ,1.68E+08,187 527.0      ,1,,,,,,,,,,,,,,
K II ,414.919, 7bl* ,4.41E+07,189 239.5      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K V ,416.33,  ,8.84E-02,24 012.5      , 3/2 ,,,,,,,,,,,,,,
K II ,418.624,8,1.03E+09,186 383.8      ,3,,,,,,,,,,,,,,
K II ,420.949,4,4.37E+07,212 988.6      ,1,,,,,,,,,,,,,,
K II ,422.297,7,2.30E+08,190 130.7      ,1,,,,,,,,,,,,,,
K II ,422.567,7,9.42E+07,188 150.3      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K XI ,425.51,  ,2.25E+02,23 495        , 1/2 ,,,,,,,,,,,,,,
K II ,426.34,7,3.91E+08,186 681.4      ,2,,,,,,,,,,,,,,
K II ,428.489, 3bl* ,9.52E+06,212 571.2      ,2,,,,,,,,,,,,,,
K II ,428.489, 3bl* ,6.97E+06,212 988.6      ,1,,,,,,,,,,,,,,
K II ,428.87,4,1.16E+07,189 768.0      ,0,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,430.5,7,8.66E+07,188 150.3      ,2,,,,,,,,,,,,,,
K II ,430.527,0,4.52E+07,212 988.6      ,1,,,,,,,,,,,,,,
K II ,430.91,7,4.19E+08,189 657.4      ,2,,,,,,,,,,,,,,
K II ,434.003,5,6.52E+07,187 527.0      ,1,,,,,,,,,,,,,,
K II ,436.296,3,5.88E+07,212 571.2      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,438.816,7,1.80E+08,189 239.5      ,1,,,,,,,,,,,,,,
K II ,442.373,3,7.76E+06,187 527.0      ,1,,,,,,,,,,,,,,
K II ,445.5,2,2.93E+07,212 571.2      ,2,,,,,,,,,,,,,,
K II ,446.665,5,5.20E+07,187 527.0      ,1,,,,,,,,,,,,,,
K II ,450.533, 6bl* ,8.27E+04,237 204.7      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,450.533, 6bl* ,6.16E+07,186 681.4      ,2,,,,,,,,,,,,,,
K IV ,451.093,  ,3.18E+00,38 546.3      ,0,,,,,,,,,,,,,,
K II ,459.565,5,1.24E+07,186 681.4      ,2,,,,,,,,,,,,,,
K II ,460.845,8,2.10E+08,188 150.3      ,2,,,,,,,,,,,,,,
K XVI , ,  ,1.31E+02,274 090        ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,464.1876,10,1.54E+02,21 536.988    , 3/2 ,,,,,,,,,,,,,,
K I ,464.2373,11,1.54E+02,21 534.680    , 5/2 ,,,,,,,,,,,,,,
K II ,465.938,5,1.49E+07,186 383.8      ,3,,,,,,,,,,,,,,
K I ,474.0914,4,8.00E+04,34 072.2393   , 1/2 ,,,,,,,,,,,,,,
K I ,474.4345,6,9.80E+04,34 057.0385   , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,474.492,4,4.28E+05,187 527.0      ,1,,,,,,,,,,,,,,
K I ,475.3934,5,1.60E+05,34 072.2393   , 1/2 ,,,,,,,,,,,,,,
K I , ,  ,1.90E+04,34 057.0385   , 3/2 ,,,,,,,,,,,,,,
K I ,475.7389,7,1.20E+05,34 057.0051   , 5/2 ,,,,,,,,,,,,,,
K I ,478.6491,5,1.03E+05,33 871.4788   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,479.1049,7,1.30E+05,33 851.6418   , 3/2 ,,,,,,,,,,,,,,
K I ,479.9754,6,2.07E+05,33 871.4788   , 1/2 ,,,,,,,,,,,,,,
K I , ,  ,2.60E+04,33 851.6418   , 3/2 ,,,,,,,,,,,,,,
K I ,480.4348,8,1.60E+05,33 851.5956   , 5/2 ,,,,,,,,,,,,,,
K II ,482.923,9,2.52E+08,183 204.1      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,484.9865,7,1.87E+05,33 598.5597   , 1/2 ,,,,,,,,,,,,,,
K I ,485.609,8,2.10E+05,33 572.1249   , 3/2 ,,,,,,,,,,,,,,
K I ,486.3483,8,3.70E+05,33 598.5597   , 1/2 ,,,,,,,,,,,,,,
