Ion, Observed , Rel. , Aki, Ek ,J
Fe II ,202.075103,40000,1.83E+07,62 945.045  , 7/2 
Fe II ,202.1074, 240d? , ,112 927.781  , 3/2 
Fe I ,202.1099,1, ,57 190.212  ,2
Fe I ,202.1443,0, ,57 439.486  ,3
Fe II ,202.158, 210d? , ,115 030.664  , 9/2 
 , , , , , 
Fe II ,202.1664," 400d,bl(Fe II)?* ", ,103 680.689  , 9/2 
Fe II ,202.1664," 400d,bl(Fe II)?* ", ,102 030.965  , 7/2 
Fe I ,202.1714, 0d? , ,57 432.848  ,3
Fe I ,202.19829,22, ,57 168.531  ,3
Fe III ,202.2037,23000,3.00E+07,138 103.16   ,4
 , , , , , 
Fe I ,202.2415, 0? , ,57 415.757  ,2
Fe I ,202.2779,1, ,57 149.113  ,4
Fe I ,202.3013,0, ,57 401.144  ,1
Fe II ,202.3122,1800,1.10E+06,72 352.046  , 7/2 
Fe III ,202.3298,57000,1.80E+08,138 103.16   ,4
 , , , , , 
Fe II ,202.3301, 190bl(Fe III) , ,114 242.513  , 5/2 
Fe III ,202.3522,1200, ,132 564.91   ,5
Fe II ,202.37049,4000,1.70E+07,72 429.675  , 1/2 
Fe III ,202.3815,9500, ,142 908.29   ,5
Fe I ,202.4067,1, ,49 805.257  ,3
 , , , , , 
Fe III ,202.4089,1200, ,136 236.06   ,1
Fe I ,202.4135, 0d? , ,56 764.767  ,4
Fe II ,202.4539,500, ,103 661.038  , 5/2 
Fe I ,202.4692,0, ,56 751.099  ,5
Fe II ,202.4728, 700bl(Ar I) , ,87 537.646  , 7/2 
 , , , , , 
Fe XXVI , ,  ,1.93E+07,(66 562 420)     , 3/2 
Fe II ,202.52769,1100, ,110 167.303  , 7/2 
Fe III ,202.5288,31000,1.90E+07,138 054.60   ,5
Fe I ,202.5361,0, ,57 343.828  ,3
Fe I ,202.54615,20, ,56 732.335  ,4
 , , , , , 
Fe II ,202.5482, 700bl(Zn I) , ,103 418.280  , 1/2 
Fe III ,202.5495,42000,6.80E+07,139 827.18   ,4
Fe III ,202.5582,57000,2.60E+08,136 200.07   ,3
Fe III ,202.5755,1600,8.00E+06,167 298.80   ,5
Fe I ,202.5823,1, ,57 074.915  ,2
 , , , , , 
Fe III ,202.6046,140000,2.90E+08,138 264.58   ,6
Fe II ,202.6057, 250bl(Fe III) , ,114 173.223  , 7/2 
Fe I ,202.6261, 0d? , ,57 064.346  ,4
Fe II ,202.63229,250, ,115 030.664  , 9/2 
Fe I ,202.6491,0, ,56 707.284  ,5
 , , , , , 
Fe II ,202.6887,500, ,106 814.180  , 5/2 
Fe II ,202.77767,6000,6.60E+06,72 238.564  , 5/2 
Fe II ,202.8198,1300, ,62 962.215  , 3/2 
Fe III ,202.8232,1500, ,126 390.74   ,1
Fe I ,202.8464, 0d? , ,57 437.194  ,2
 , , , , , 
Fe III ,202.8564,17000,3.00E+08,183 723.99   ,2
Fe II ,202.85779,500,2.30E+06,109 550.081  , 7/2 
Fe I ,202.8719,1, ,57 431.116  ,2
Fe III , ,  ,9.00E+00,70 729.12   ,4
Fe II ,202.91837,8000,6.00E+06,65 109.691  , 7/2 
 , , , , , 
Fe III ,202.953,42000,1.60E+08,139 680.37   ,3
Fe II ,202.9882, 600d? , ,75 600.900  , 7/2 
Fe I ,202.9955,1, ,57 401.144  ,1
Fe II ,203.0103, 140d? , ,122 297.664  , 7/2 
Fe III , ,  ,1.60E+01,70 694.40   ,5
 , , , , , 
Fe II ,203.0644,900, ,72 169.004  , 3/2 
Fe III ,203.0772,31000,3.90E+08,151 636.83   ,1
Fe II ,203.1232,1100, ,62 689.874  , 5/2 
Fe III ,203.154,6900, ,139 680.37   ,3
Fe II ,203.1566,1600, ,72 238.564  , 5/2 
 , , , , , 
Fe I ,203.1686,2, ,57 190.212  ,2
Fe II ,203.19698,700, ,106 608.565  , 7/2 
Fe II ,203.20011,2600,1.10E+07,76 129.465  , 3/2 
Fe III ,203.2121,1100, ,122 921.66   ,1
Fe II ,203.240961,33000,2.70E+07,65 556.271  , 9/2 
 , , , , , 
Fe II ,203.24255,1900, ,109 811.940  , 9/2 
Fe II ,203.2625, 2100d? ,1.10E+07,72 212.989  , 1/2 
Fe II ,203.29037,500, ,118 277.347  , 3/2 
Fe III ,203.3069,12000, ,122 898.90   ,2
Fe III ,203.3442,6800, ,136 008.90   ,3
 , , , , , 
Fe II ,203.3693,1100, ,62 829.071  , 1/2 
Fe II ,203.375, 2700bl(Fe II)* ,1.80E+06,71 964.750  , 5/2 
Fe II ,203.375, 2700bl(Fe II)* , ,122 297.664  , 7/2 
Fe II ,203.40781,400,2.00E+06,103 420.207  , 11/2 
Fe II ,203.41551,500,1.50E+07,109 529.028  , 1/2 
 , , , , , 
Fe I ,203.4214,3, ,56 871.345  ,3
Fe III ,203.4297,41000,2.10E+08,139 625.21   ,4
Fe I ,203.4347, 0d? , ,56 516.744  ,4
Fe II ,203.44419,4000,6.00E+06,72 169.004  , 3/2 
Fe III ,203.4548, 17000* , ,167 085.60   ,3
 , , , , , 
Fe III ,203.4548, 17000* ,2.20E+07,132 564.91   ,5
Fe I ,203.4555, 0d? , ,49 135.023  ,3
Fe II ,203.46176,2500,1.60E+06,69 650.481  , 5/2 
Fe III ,203.4708,56000,2.50E+08,138 054.60   ,5
Fe II ,203.4919," 290d,bl(Fe I) ", ,109 571.639  , 7/2 
 , , , , , 
Fe I ,203.492, 0d , ,56 502.957  ,5
Fe III ,203.511,30000,1.80E+08,142 534.85   ,2
Fe III ,203.5181,17000,2.20E+07,118 868.04   ,1
Fe III ,203.5373,12000,2.30E+07,122 843.34   ,1
Fe II ,203.58527,7000,3.20E+06,72 043.060  , 3/2 
 , , , , , 
Fe III ,203.5941,41000,5.90E+07,122 829.68   ,3
Fe III ,203.6029,41000,6.00E+07,137 763.58   ,5
Fe II ,203.60481,1000,3.10E+06,106 592.294  , 5/2 
Fe II ,203.64365,28000,3.20E+07,69 606.567  , 7/2 
Fe II ,203.65046,500,1.50E+07,109 529.028  , 1/2 
 , , , , , 
Fe III ,203.685,30000,6.00E+07,118 868.04   ,1
Fe II ,203.6875," 330d,bl(Fe III)? ", ,103 352.723  , 9/2 
Fe II ,203.714," 500d,bl(Fe III)? ", ,93 987.454  , 7/2 
Fe III ,203.7148,30000,7.00E+07,122 921.66   ,1
Fe III ,203.7302,74000,2.90E+08,137 763.58   ,5
 , , , , , 
Fe II ,203.74481,600,4.00E+07,103 967.555  , 1/2 
Fe I ,203.7452, 0d? , ,50 043.213  ,1
Fe III ,203.7577,22000, ,131 445.12   ,2
Fe II ,203.7779, 2200d? , ,62 962.215  , 3/2 
Fe III ,203.8098,41000,8.00E+07,122 898.90   ,2
 , , , , , 
Fe III ,203.8627,22000, ,139 509.44   ,5
Fe I ,203.8685, 0d? , ,57 190.212  ,2
Fe II ,203.8685," 220d,bl(Fe I)? ", ,113 867.242  , 11/2 
Fe III ,203.8743,30000, ,131 445.12   ,2
