Ion, Observed , Rel. , Aki, Ek ,J
Fe I ,282.2807,2, ,59 126.75   ,5
Fe II ,282.2995," 130d,bl(Fe II)?* ", ,95 858.270  , 3/2 
Fe II ,282.2995," 130d,bl(Fe II)?* ", ,104 839.990  , 3/2 
Fe I ,282.32755,4790,1.51E+07,43 137.487  ,3
Fe II ,282.33279,8000,2.10E+06,60 837.560  , 13/2 
 , , , , , 
Fe I ,282.3511,1, ,53 784.750  ,3
Fe II ,282.3874, 170? ,3.00E+06,99 688.355  , 7/2 
Fe II ,282.4146, 140d? ,2.10E+06,99 824.051  , 5/2 
Fe V , ,  ,3.40E-01,62 238.0    ,4
Fe I ,282.4576, 0bl , ,55 305.627  ,1
 , , , , , 
Fe II ,282.4577, 700bl(Fe I) ,3.70E+06,80 178.005  , 3/2 
Fe I ,282.4706,2, ,57 641.001  ,3
Fe V , ,  ,6.30E-01,62 364.3    ,3
Fe I ,282.4952, 0d? , ,57 104.217  ,5
Fe II ,282.5004, 110d? , ,107 430.742  , 3/2 
 , , , , , 
Fe V , ,  ,5.50E-01,61 854.1    ,2
Fe I ,282.53226,138, ,58 330.568  ,2
Fe II ,282.53682,18000, ,95 767.572  , 1/2 
Fe II ,282.5476," 200d,bl ", ,97 507.414  , 5/2 
Fe I ,282.55555,9500,1.32E+07,43 108.917  ,4
 , , , , , 
Fe I ,282.56873,1150,8.79E+04,35 379.208  ,5
Fe II ,282.5745," 800d,bl ",1.40E+06,60 807.239  , 9/2 
Fe I ,282.5848,2, ,55 134.168  ,2
Fe II , ,  ,2.10E-03,38 214.503  , 3/2 
Fe I ,282.5997, 1bl , ,36 079.372  ,3
 , , , , , 
Fe II ,282.5997, 140bl(Fe I) , ,108 391.507  , 9/2 
Fe II ,282.60258,5000,4.50E+06,62 689.874  , 5/2 
Fe II ,282.6161,1900, ,61 726.069  , 7/2 
Fe I ,282.64964,107, ,47 929.997  ,4
Fe II ,282.6584, 90bl , ,122 297.664  , 7/2 
 , , , , , 
Fe I ,282.6739," 1d,bl ", ,52 916.295  ,2
Fe II ,282.7427,4000,2.40E+06,61 527.610  , 13/2 
Fe I ,282.75897,79, ,53 733.594  ,3
Fe I ,282.767,0, ,57 070.171  ,6
Fe IV , ,  ,7.20E-01,74 133.1    , 5/2 
 , , , , , 
Fe I ,282.78918,191,1.48E+05,35 767.564  ,4
Fe I ,282.7894," 5d,bl ", ,58 001.938  ,6
Fe V ,282.82, m(Fe IV): ,4.10E-01,36 630.0    ,3
Fe V , ,  ,1.50E-01,62 321.1    ,2
Fe I ,282.8266,1, ,57 346.148  ,3
 , , , , , 
Fe I ,282.8451,0, ,57 343.828  ,3
Fe I ,282.8581, 0d , ,58 394.864  ,1
Fe II ,282.86286,6000,6.90E+06,61 512.630  , 9/2 
Fe I ,282.86782, 282bl , ,59 522.714  ,3
Fe II ,282.86799,4000,9.00E+06,62 962.215  , 3/2 
 , , , , , 
Fe I ,282.8808,2000,1.87E+06,43 325.964  ,3
Fe II ,282.8946, 80d? , ,114 584.409  , 5/2 
Fe I ,282.9089,0, ,59 843.564  ,2
Fe IV , ,  ,8.80E-01,35 333.3    , 3/2 
Fe I ,282.9365, 166bl* , ,59 514.13   ,2
 , , , , , 
Fe I ,282.9365, 166bl* , ,59 671.962  ,3
Fe II , ,  ,7.20E-03,38 164.220  , 5/2 
Fe I ,283.0054," 1d,bl ", ,58 321.383  ,4
Fe II ,283.0054, 1000bl(Fe I) , ,62 945.045  , 7/2 
Fe I ,283.0529, 0d? , ,53 696.867  ,1
 , , , , , 
Fe I ,283.0565, 0d? , ,62 192.735  ,5
Fe I ,283.0759,1, ,57 565.305  ,3
Fe II ,283.0924," 800d,bl(Fe I)? ",7.00E+05,66 078.272  , 5/2 
Fe I ,283.0924," 0d,bl? ", ,59 820.664  ,3
Fe II ,283.1088, 800d? , ,62 244.515  , 3/2 
 , , , , , 
Fe II ,283.1186, 110d? , ,108 365.344  , 7/2 
Fe II ,283.1228, 130d? ,3.40E+05,104 916.552  , 9/2 
Fe II ,283.15608,50000,7.60E+07,61 093.406  , 5/2 
Fe V , ,  ,4.80E-03,36 585.6    ,4
Fe I ,283.18376,263, ,54 864.831  ,3
 , , , , , 
Fe II ,283.18795,4000,1.40E+07,80 346.060  , 1/2 
Fe I ,283.1977, 0d? , ,57 550.010  ,4
Fe II ,283.2037, 110d? , ,108 391.507  , 9/2 
Fe II ,283.2242, 700d , ,72 524.561  , 3/2 
Fe II ,283.24047,700, ,108 932.616  , 5/2 
 , , , , , 
Fe I ,283.24353,14500,2.38E+07,43 022.985  ,4
Fe I ,283.3013, 0d? , ,58 480.308  ,3
Fe II ,283.30852,9000,4.50E+07,78 525.442  , 5/2 
Fe II ,283.319, 190d? ,2.30E+06,98 114.577  , 3/2 
Fe II ,283.3369,1000, ,43 238.6066 , 5/2 
 , , , , , 
Fe III ,283.3373, 620h , ,182 444.83   ,3
Fe I ,283.3402,105, ,53 661.079  ,3
Fe II ,283.3851,500, ,61 332.753  , 3/2 
Fe I ,283.4058, 0d? , ,58 271.462  ,5
Fe I ,283.41732,145,2.35E+05,47 834.221  ,3
 , , , , , 
Fe I ,283.4417, 59bl* , ,48 238.847  ,2
Fe I ,283.4417, 59bl* , ,47 831.153  ,2
Fe II ,283.47512, 5000bl(Fe I) , ,83 305.229  , 7/2 
Fe I ,283.47524,224,5.41E+06,55 907.178  ,5
Fe V , ,  ,9.00E-01,62 238.0    ,4
 , , , , , 
Fe II ,283.5007, 140d? ,1.10E+06,99 688.355  , 7/2 
Fe II ,283.5101, 110d? ,1.20E+06,107 430.742  , 3/2 
Fe I ,283.524,1, ,59 766.92   ,1
Fe II ,283.5333, 180d? , ,84 359.779  , 3/2 
Fe I ,283.54562,760,3.24E+05,35 257.324  ,4
 , , , , , 
Fe I ,283.5658,91, ,54 807.250  ,1
Fe II ,283.57112,23000,5.10E+07,61 041.734  , 5/2 
Fe IV , ,  ,1.40E+00,35 253.8    , 5/2 
Fe II ,283.5905, 120d? ,1.80E+06,105 775.517  , 7/2 
Fe III ,283.592, 380hbl(Fe I) , ,182 412.80   ,4
 , , , , , 
Fe I ,283.59505,479,1.30E+06,47 812.118  ,4
Fe III ,283.6105, 490bl(Fe II) , ,125 673.05   ,2
Fe II ,283.6185,3300,5.40E+06,66 612.659  , 3/2 
Fe I ,283.63145,234, ,57 897.051  ,5
Fe II ,283.65133,3400,1.00E+07,66 612.659  , 3/2 
 , , , , , 
Fe II ,283.6795, 70d? , ,113 766.072  , 5/2 
Fe II ,283.6945, 110d , ,107 407.818  , 5/2 
Fe II ,283.72983,2500,1.90E+06,61 587.205  , 11/2 
Fe II ,283.7386,110, ,108 629.175  , 5/2 
Fe II ,283.7737, 400d? , ,43 620.9842 , 3/2 
 , , , , , 
Fe I ,283.81193,4680,1.28E+07,43 210.025  ,2
Fe II ,283.82151,8000,9.00E+07,78 844.031  , 1/2 
Fe II ,283.8232,130, ,104 873.232  , 7/2 
Fe III ,283.8377,1400,8.00E+06,151 537.99   ,4
Fe III ,283.8589, 370h , ,182 379.99   ,5
 , , , , , 
Fe III ,283.8922,210, ,125 638.11   ,3
Fe I ,283.9232, 0d? , ,58 321.383  ,4
Fe II ,283.951279,50000,1.46E+08,79 439.496  , 7/2 
Fe II ,283.97994,30000,5.80E+07,77 861.650  , 9/2 
Fe I ,283.99759,182, ,58 197.914  ,4
 , , , , , 
Fe II ,284.0023, 130d? ,4.50E+06,104 807.215  , 9/2 
Fe IV , ,  ,6.30E-01,74 096.6    , 3/2 
Fe IV , ,  ,1.60E-01,74 133.1    , 5/2 
Fe II ,284.03433,7000,8.00E+06,60 625.446  , 11/2 
Fe I ,284.04221,630,4.12E+05,35 611.625  ,3
 , , , , , 
Fe I ,284.046, 1d , ,58 033.506  ,3
Fe IV , ,  ,2.70E-02,74 133.1    , 5/2 
Fe II ,284.064951,40000,7.60E+07,62 125.604  , 3/2 
Fe II ,284.0758,12000,1.50E+07,65 580.065  , 11/2 
Fe I ,284.09372,100,2.37E+06,52 916.295  ,2
 , , , , , 
Fe III ,284.098, 250bl* , ,125 673.05   ,2
Fe III ,284.098, 250bl* , ,118 350.42   ,4
Fe I ,284.1252,1, ,58 132.249  ,2
Fe II ,284.1358,800,4.30E+05,60 989.444  , 9/2 
Fe II ,284.1883, 130d? , ,104 828.163  , 5/2 
 , , , , , 
Fe II ,284.2075,1000,1.50E+06,61 156.827  , 7/2 
Fe II ,284.2585, 600d? , ,89 444.455  , 5/2 
Fe II ,284.2687,1000,4.50E+05,65 556.271  , 9/2 
Fe II ,284.2751, 270d? , ,65 931.358  , 7/2 
Fe I ,284.2793,1, ,57 415.757  ,2
 , , , , , 
Fe III ,284.2866,200, ,125 638.11   ,3
Fe I ,284.2911,2, ,59 500.628  ,1
Fe I ,284.3055, 0d? , ,58 946.732  ,6
Fe IV , ,  ,9.00E-02,74 096.6    , 3/2 
Fe I ,284.32139,55, ,57 999.461  ,2
 , , , , , 
Fe II ,284.3317,2400,1.40E+06,61 512.630  , 9/2 
Fe IV , ,  ,2.20E-01,74 096.6    , 3/2 
Fe II ,284.3485,5000,1.00E+07,66 522.310  , 5/2 
Fe I ,284.3624, 14bl , ,58 001.938  ,6
Fe I ,284.36306,5100,6.96E+06,42 532.741  ,3
 , , , , , 
Fe III ,284.3777,470, ,125 638.11   ,3
Fe II ,284.37813,600,1.20E+07,109 652.241  , 5/2 
Fe I ,284.37957,115, ,54 706.387  ,2
Fe I ,284.3921, 560bl ,2.73E+05,35 856.402  ,2
Fe II ,284.39214, 6000bl(Fe I) ,4.40E+06,98 114.577  , 3/2 
 , , , , , 
Fe I ,284.39762,15800,3.17E+07,43 137.487  ,3
Fe II ,284.4094, 80d , ,114 393.845  , 3/2 
Fe I ,284.4141,-2, ,55 790.696  ,3
Fe II ,284.4208,90, ,113 386.658  , 9/2 
Fe I ,284.4279, 0d? , ,57 147.171  ,4
 , , , , , 
Fe II ,284.4279," 80d,bl(Fe I)? ", ,114 393.845  , 3/2 
Fe I ,284.4413, 0d? , ,59 265.025  ,5
Fe II ,284.49578,5000,5.50E+07,80 346.060  , 1/2 
Fe II ,284.5039, 600d? , ,90 042.804  , 9/2 
Fe II ,284.5166," 140d,bl ", ,108 629.175  , 5/2 
 , , , , , 
Fe II ,284.53811,3100,5.60E+06,66 522.310  , 5/2 
Fe II ,284.54247,12000,6.10E+07,80 178.005  , 3/2 
Fe II ,284.5485,700,1.40E+07,107 176.093  , 1/2 
Fe I ,284.55474,191,7.76E+05,47 693.239  ,3
Fe II ,284.55679,280, ,113 822.902  , 3/2 
 , , , , , 
Fe II ,284.559447, 130000bl(Fe I) ,1.60E+08,79 885.523  , 5/2 
Fe I ,284.55945, 3470bl ,7.86E+06,42 859.778  ,2
Fe I ,284.57131,302,7.32E+05,47 106.484  ,4
Fe I ,284.58173,100, ,54 479.902  ,4
Fe II ,284.6311, 110d , ,108 518.643  , 7/2 
 , , , , , 
Fe I ,284.64597,219, ,59 301.904  ,4
Fe I ,284.68296,219,8.74E+05,47 092.712  ,3
Fe II ,284.6934,170,3.30E+07,99 921.670  , 1/2 
Fe I ,284.6989,0, ,55 134.168  ,2
Fe II ,284.7212,3100,1.70E+04,61 093.406  , 5/2 
 , , , , , 
Fe I ,284.7535,-1, ,54 864.831  ,3
Fe II ,284.7699, 700d? , ,66 589.042  , 9/2 
Fe II ,284.77733,11000,5.10E+07,78 725.822  , 3/2 
Fe II ,284.78833,1000,9.60E+07,109 601.572  , 3/2 
Fe II ,284.80517,8000,1.30E+07,61 156.827  , 7/2 
 , , , , , 
Fe II ,284.80683,700,6.90E+06,107 065.951  , 3/2 
Fe II ,284.81061,24000,9.90E+07,79 885.523  , 5/2 
Fe II ,284.8231, 80d , ,113 337.042  , 7/2 
Fe II ,284.83197,32000,1.59E+08,80 178.005  , 3/2 
Fe II , ,  ,8.90E-03,38 214.503  , 3/2 
 , , , , , 
Fe I ,284.8627, 0d? , ,57 343.828  ,3
Fe V , ,  ,4.30E-03,61 854.1    ,2
Fe I ,284.87145,1200,2.70E+06,43 079.023  ,1
Fe II ,284.89046,3000,5.30E+06,68 000.785  , 9/2 
Fe II ,284.8969, 110? ,4.20E+05,108 483.877  , 11/2 
 , , , , , 
Fe II ,284.91697,1400,6.80E+07,99 921.670  , 1/2 
Fe II ,284.95628,900,3.70E+06,109 049.611  , 13/2 
Fe II ,284.9605,5000,4.60E+06,60 887.606  , 11/2 
Fe II ,284.9887, 100d ,3.60E+05,108 571.060  , 9/2 
Fe III ,285.0286,2000, ,141 002.97   ,4
 , , , , , 
Fe III ,285.0579,290,7.00E+05,124 854.11   ,3
Fe II ,285.0645, 800d? , ,62 689.874  , 5/2 
Fe II ,285.071,150,6.80E+06,102 584.984  , 11/2 
Fe II ,285.078, 80d? , ,114 352.875  , 5/2 
Fe III ,285.0873,550, ,151 534.30   ,3
 , , , , , 
Fe II ,285.093, 120d? , ,105 589.674  , 7/2 
Fe III ,285.1128,480, ,132 105.12   ,2
Fe II ,285.1405, 800d? ,2.40E+06,61 041.734  , 5/2 
Fe III ,285.147, 350w* , ,151 535.03   ,2
Fe III ,285.147, 350w* , ,151 534.30   ,3
 , , , , , 
Fe I ,285.15098,79, ,56 097.836  ,3
Fe II ,285.17212,21000,1.96E+08,80 346.060  , 1/2 
Fe I ,285.17967,15100,3.37E+07,43 210.025  ,2
Fe I ,285.20146,55, ,57 999.461  ,2
Fe I ,285.2169, 1bl , ,54 603.140  ,1
 , , , , , 
Fe II , ,  ,3.90E-03,38 164.220  , 5/2 
Fe II ,285.26214,1000,4.40E+07,108 648.712  , 13/2 
Fe II ,285.2866,1000,1.70E+06,61 974.931  , 3/2 
Fe I ,285.2973," 0d,bl ", ,47 017.188  ,3
Fe II ,285.3117, 700d? , ,66 522.310  , 5/2 
 , , , , , 
Fe II ,285.321,800,2.30E+06,61 093.406  , 5/2 
Fe I ,285.334, 0d? , ,59 217.204  ,3
Fe I ,285.36838,219,3.29E+05,47 008.371  ,5
Fe I ,285.37715,209,5.91E+06,55 905.536  ,4
Fe II ,285.4113, 100d? ,6.50E+06,108 630.427  , 11/2 
 , , , , , 
Fe II ,285.4161, 90d? , ,108 518.643  , 7/2 
Fe I ,285.4183, 0d? , ,62 192.735  ,5
Fe III ,285.4188,420, ,119 697.69   ,2
Fe II ,285.428,230, ,73 189.114  , 3/2 
Fe II ,285.4359, 100d? , ,108 775.110  , 11/2 
 , , , , , 
Fe II ,285.4434,150,3.80E+06,107 065.951  , 3/2 
Fe II ,285.4682, 160d , ,89 890.396  , 7/2 
Fe V , ,  ,3.20E-02,61 854.1    ,2
Fe II ,285.5412, 90d? ,2.40E+06,110 611.830  , 5/2 
Fe II ,285.56673,8000,9.00E+06,60 989.444  , 9/2 
 , , , , , 
Fe II ,285.56914,6000,6.40E+06,62 322.445  , 7/2 
Fe II ,285.61471,4000,5.00E+06,60 807.239  , 9/2 
Fe II ,285.63767,14000,4.40E+07,78 237.709  , 7/2 
Fe II ,285.6737, 100d? ,5.20E+06,109 601.572  , 3/2 
Fe II ,285.69088,50000,1.33E+08,79 439.496  , 7/2 
 , , , , , 
Fe II ,285.71216,1300, ,99 824.051  , 5/2 
Fe II ,285.71722,6000,1.20E+07,66 377.315  , 7/2 
Fe II ,285.7419,1000,2.00E+06,61 041.734  , 5/2 
Fe I ,285.7694, (0)? , ,62 377.66   ,4
Fe I ,285.79928,100, ,53 357.515  ,3
 , , , , , 
Fe I ,285.80892,44, ,54 530.653  ,2
Fe II ,285.834007,35000,4.80E+07,65 363.607  , 11/2 
Fe II ,285.8525, 700d ,8.00E+06,73 187.318  , 1/2 
Fe II ,285.8629,5000,3.00E+07,80 178.005  , 3/2 
Fe III ,285.8661, 1600bl(Fe II) , ,125 443.72   ,4
 , , , , , 
Fe I ,285.8677, 0d? , ,58 682.322  ,3
Fe II ,285.8807, 90d? ,4.30E+06,110 570.312  , 7/2 
Fe I ,285.88962, 339bl ,2.12E+05,35 856.402  ,2
Fe III ,285.929, 580wh* ,9.20E+07,219 742.2    ,2
Fe III ,285.929, 580wh* ,9.10E+07,219 742.27   ,3
 , , , , , 
Fe III ,285.929, 580wh* ,9.80E+07,219 742.28   ,4
Fe III ,285.929, 580wh* ,1.07E+08,219 742.03   ,5
Fe II ,285.9314, 110d? , ,107 176.093  , 1/2 
Fe III ,285.947, 580h ,1.19E+08,219 741.97   ,6
Fe III ,285.9608,220, ,125 443.72   ,4
 , , , , , 
Fe II ,285.9779,80, ,114 242.513  , 5/2 
Fe I ,286.02,2, ,54 864.831  ,3
Fe II ,286.1168,900,1.70E+05,43 620.9842 , 3/2 
Fe II ,286.1562," 160d,bl(Fe II)?* ",1.40E+06,100 492.025  , 7/2 
Fe II ,286.1562," 160d,bl(Fe II)?* ",5.00E+05,106 900.373  , 7/2 
 , , , , , 
Fe II ,286.164,700, ,73 393.771  , 9/2 
Fe II ,286.1898, 700d? ,3.10E+05,65 696.053  , 9/2 
Fe II ,286.2239, 80d? , ,114 212.377  , 7/2 
Fe I ,286.2273, 0d? , ,59 265.744  ,4
Fe III ,286.2405,120, ,118 355.20   ,6
 , , , , , 
Fe I ,286.24945,760,1.17E+06,43 079.023  ,1
Fe III ,286.2511, 320h , ,182 480.78   ,2
Fe I ,286.2743, 0d? , ,58 704.913  ,4
Fe II ,286.2953," 110d,bl(Fe II)?* ", ,92 329.905  , 5/2 
Fe II ,286.2953," 110d,bl(Fe II)?* ",2.90E+06,104 569.226  , 5/2 
 , , , , , 
Fe II ,286.2953," 110d,bl(Fe II)?* ", ,108 105.938  , 3/2 
Fe I ,286.3057,2, ,54 479.902  ,4
Fe I ,286.31," 0d,bl? ", ,58 700.540  ,6
Fe II ,286.31," 110d,bl(Fe I)? ",1.70E+06,108 105.938  , 3/2 
Fe I ,286.34298,1260,4.13E+06,46 889.142  ,4
 , , , , , 
Fe I ,286.38629,1580,5.69E+05,35 611.625  ,3
Fe II ,286.41224,6000,2.00E+07,78 525.442  , 5/2 
Fe II ,286.4326,600,4.50E+06,106 866.770  , 5/2 
Fe II ,286.4378,4000,3.80E+05,60 956.781  , 7/2 
Fe II ,286.4741,500,1.70E+06,107 065.951  , 3/2 
 , , , , , 
Fe II ,286.497,1200,4.30E+06,66 377.315  , 7/2 
Fe II ,286.5253, 700d? , ,73 054.913  , 5/2 
Fe II ,286.54564,2600,1.30E+07,80 178.005  , 3/2 
Fe III ,286.5539,250, ,118 246.74   ,3
Fe II ,286.6045, 80d , ,114 212.377  , 7/2 
 , , , , , 
Fe V , ,  ,1.60E-01,61 854.1    ,2
Fe I ,286.6153," 0d,bl?* ", ,55 754.233  ,2
Fe I ,286.6153," 0d,bl?* ", ,58 591.206  ,5
Fe II ,286.61999,1400,7.80E+07,108 630.427  , 11/2 
Fe I ,286.638,1, ,56 592.703  ,4
 , , , , , 
Fe II ,286.65395,800,1.10E+07,104 481.606  , 7/2 
Fe I ,286.66247,1480,1.99E+06,42 859.778  ,2
Fe III ,286.6799, 510h , ,182 486.51   ,1
Fe I ,286.73092,760,1.25E+06,47 834.221  ,3
Fe I ,286.75615,600,2.37E+06,47 831.153  ,2
 , , , , , 
Fe II ,286.77433,900,8.00E+06,108 463.918  , 13/2 
Fe I ,286.78778,129, ,47 419.687  ,2
Fe II ,286.8049, 130bl(Fe II)* , ,62 171.624  , 7/2 
Fe II ,286.8049, 130bl(Fe II)* ,2.80E+06,104 507.058  , 5/2 
Fe II ,286.8121, 120d? , ,105 379.425  , 5/2 
 , , , , , 
Fe III ,286.8134,750,5.00E+06,140 750.86   ,2
Fe I ,286.82145,288, ,54 611.710  ,2
Fe II ,286.83567,700,9.00E+06,107 065.951  , 3/2 
Fe I ,286.84539,309,1.45E+07,53 229.941  ,1
Fe II ,286.8875,1200,7.00E+05,43 238.6066 , 5/2 
 , , , , , 
Fe II ,286.8987, 600d? , ,89 128.569  , 7/2 
Fe II ,286.9131, 100d? , ,108 239.375  , 7/2 
Fe II ,286.9152,800,1.40E+06,62 158.126  , 9/2 
Fe I ,286.92281,129, ,54 404.779  ,3
Fe I ,286.93076,4170,9.25E+05,35 257.324  ,4
 , , , , , 
Fe II ,286.9313,10000,4.00E+07,79 885.523  , 5/2 
Fe II ,286.9701, 800bl(Fe II)* ,1.10E+06,62 151.554  , 5/2 
Fe II ,286.9701, 800bl(Fe II)* , ,92 329.905  , 5/2 
Fe I ,286.98251,79, ,54 747.598  ,1
Fe II ,287.00862,900,1.30E+07,106 796.679  , 5/2 
 , , , , , 
Fe III ,287.022, 790wh , ,182 444.83   ,3
Fe II ,287.0607,800,7.00E+05,60 807.239  , 9/2 
Fe II ,287.0725, 110d? ,1.40E+06,102 824.994  , 9/2 
Fe II ,287.0753, 100bl(Fe II)* ,1.00E+06,108 217.596  , 9/2 
Fe II ,287.0753, 100bl(Fe II)* , ,106 866.770  , 5/2 
 , , , , , 
Fe II ,287.10597,2400,2.20E+06,60 625.446  , 11/2 
Fe II ,287.1131,1200,3.00E+06,60 989.444  , 9/2 
Fe II ,287.12735,1500,8.00E+06,97 507.414  , 5/2 
Fe II ,287.1408," 230d,bl(Ar) ", ,72 043.060  , 3/2 
Fe I ,287.1724,2, ,54 600.350  ,3
 , , , , , 
Fe II ,287.1785,140, ,107 430.742  , 3/2 
Fe III ,287.1985, 310h , ,182 444.83   ,3
Fe II ,287.226," 700d,bl? ",4.50E+06,79 885.523  , 5/2 
Fe I ,287.23337,2510,1.98E+06,42 532.741  ,3
Fe II ,287.2385,14000,1.70E+07,61 156.827  , 7/2 
 , , , , , 
Fe I ,287.24984,71, ,57 641.001  ,3
Fe II ,287.2651,400, ,66 612.659  , 3/2 
Fe I ,287.2802, 0d? , ,58 979.823  ,2
Fe II ,287.2983, 70d? , ,113 374.128  , 7/2 
Fe II ,287.30474,400, ,108 191.894  , 3/2 
 , , , , , 
Fe II ,287.3202, 90d? , ,106 924.441  , 9/2 
Fe II ,287.339737,26000,4.60E+07,65 556.271  , 9/2 
Fe I ,287.35198,158, ,54 342.779  ,2
Fe I ,287.36542,158, ,55 429.819  ,5
Fe III ,287.3793,470, ,140 693.38   ,3
 , , , , , 
Fe I ,287.4172,6200,9.30E+05,34 782.421  ,5
Fe II ,287.4594,110, ,113 354.632  , 11/2 
Fe I ,287.48778,209, ,54 124.744  ,4
Fe II ,287.5197,110,3.80E+06,106 900.373  , 7/2 
Fe I ,287.5249,1, ,54 807.250  ,1
 , , , , , 
Fe I ,287.5301, 3bl , ,58 480.308  ,3
Fe I ,287.5302,500,1.52E+06,46 744.993  ,3
Fe II ,287.53474,14000,1.40E+07,62 083.118  , 9/2 
Fe I ,287.5478, 0d? , ,59 105.296  ,2
Fe III ,287.5709,200, ,140 693.38   ,3
 , , , , , 
Fe II ,287.5792, 60d? , ,114 094.244  , 5/2 
Fe I ,287.64, 0d? , ,52 682.920  ,2
Fe II ,287.65536,800,9.00E+06,106 796.679  , 5/2 
Fe I ,287.67125,100, ,55 790.696  ,3
Fe II ,287.68036,9000,9.60E+06,62 065.528  , 7/2 
 , , , , , 
Fe II ,287.6917,80, ,113 236.296  , 5/2 
Fe II ,287.7091, 100d? ,4.50E+05,108 239.375  , 7/2 
Fe II ,287.7155,110,6.20E+06,107 176.093  , 1/2 
Fe I ,287.73005,2240,4.61E+06,46 720.842  ,4
Fe II ,287.7433," 190d,bl(Ti)? ", ,92 154.154  , 7/2 
 , , , , , 
Fe II ,287.8211, 700d? , ,73 393.771  , 9/2 
Fe I ,287.8629,2, ,59 500.628  ,1
Fe I ,287.8684,2, ,54 747.598  ,1
Fe I ,287.87604,151, ,57 565.305  ,3
Fe II ,287.8903, 100d? , ,108 217.596  , 9/2 
 , , , , , 
Fe II ,287.89495, 140bl(Fe I) , ,122 297.664  , 7/2 
Fe I ,287.89496,120,3.61E+05,47 693.239  ,3
Fe I ,287.9102,2, ,54 479.902  ,4
Fe II ,287.92455,3300,3.60E+06,65 109.691  , 7/2 
Fe I ,287.9458,2, ,54 271.062  ,1
 , , , , , 
Fe II ,287.9553, 800d? , ,60 887.606  , 11/2 
Fe III ,287.964, 380hbl(Fe II) , ,200 656.19   ,6
Fe I ,287.9735,1, ,55 754.233  ,2
Fe II ,287.9735, 160bl(Fe I) ,9.00E+05,105 238.815  , 5/2 
Fe II ,287.9853,500, ,66 078.272  , 5/2 
 , , , , , 
Fe II ,288.0125," 120d,bl(Fe II)?* ",3.50E+06,105 234.246  , 5/2 
Fe II ,288.0125," 120d,bl(Fe II)?* ", ,66 522.310  , 5/2 
Fe I ,288.0375,0, ,56 423.283  ,4
Fe I ,288.05791,209, ,42 859.778  ,2
Fe II ,288.07563,13000,2.20E+06,42 658.2444 , 7/2 
 , , , , , 
Fe II ,288.08309,2700,8.00E+06,62 322.445  , 7/2 
Fe I ,288.1073, (0)? , ,54 611.710  ,2
Fe II ,288.1184,110,1.90E+06,106 866.770  , 5/2 
Fe II ,288.1294, 70d? , ,112 934.300  , 5/2 
Fe V , ,  ,3.50E-01,71 280.3    ,4
 , , , , , 
Fe I ,288.1741, 0d? , ,59 265.744  ,4
Fe I ,288.1805, (1)bl* , ,59 265.025  ,5
Fe II ,288.1805, 340bl(Fe I) , ,66 078.272  , 5/2 
Fe I ,288.1805, (1)bl* , ,59 264.884  ,5
Fe I ,288.2026, (0)? , ,59 262.299  ,4
 , , , , , 
Fe II ,288.2195, 700d? , ,79 439.496  , 7/2 
Fe II ,288.25056,2900,1.08E+08,108 648.712  , 13/2 
Fe I ,288.2632,0, ,54 301.340  ,4
Fe II ,288.2744, 100d ,2.80E+06,108 648.712  , 13/2 
Fe II ,288.286,150,6.40E+06,106 846.649  , 3/2 
 , , , , , 
Fe II ,288.3131,90, ,112 912.023  , 7/2 
Fe III ,288.322,170, ,149 013.21   ,4
Fe II ,288.3373, 130d ,9.00E+05,100 749.825  , 5/2 
Fe II ,288.37101,18000,1.50E+07,60 837.560  , 13/2 
Fe I ,288.3747,229,2.91E+06,56 382.662  ,5
 , , , , , 
Fe II ,288.4026, 100d? ,4.50E+06,108 630.427  , 11/2 
Fe II ,288.4101,900,1.00E+07,106 924.441  , 9/2 
Fe II ,288.4185,110,1.80E+06,106 900.373  , 7/2 
Fe II ,288.42694,2000,1.14E+08,108 630.427  , 11/2 
Fe II ,288.47642,9000,2.50E+07,79 439.496  , 7/2 
 , , , , , 
Fe II ,288.5031, 500bl(Fe II)* ,1.20E+07,107 176.093  , 1/2 
Fe II ,288.5031, 500bl(Fe II)* , ,113 377.340  , 5/2 
Fe I ,288.53464, 79bl* , ,54 404.779  ,3
Fe I ,288.53464, 79bl* , ,59 154.662  ,1
Fe II ,288.5932,1400,3.80E+06,67 516.328  , 11/2 
 , , , , , 
Fe II ,288.604,80, ,113 481.304  , 3/2 
Fe II ,288.6125, 90d? , ,108 130.542  , 5/2 
Fe II ,288.6242,1000,7.00E+05,60 807.239  , 9/2 
Fe I ,288.63158,380,1.29E+06,47 197.010  ,2
Fe II ,288.69722,600,5.50E+06,106 866.770  , 5/2 
 , , , , , 
Fe I ,288.7143,3, ,58 961.996  ,2
Fe II ,288.7227, 80d? , ,113 956.532  , 9/2 
Fe II ,288.7313, 1000bl(Fe II)* ,1.90E+06,62 244.515  , 3/2 
Fe II ,288.7313, 1000bl(Fe II)* , ,73 637.285  , 3/2 
Fe I ,288.736,2, ,54 013.752  ,5
 , , , , , 
Fe I ,288.7538, 0d? , ,57 813.942  ,3
Fe II ,288.7648,180,1.40E+06,98 568.907  , 7/2 
Fe I ,288.78049,1150,7.98E+06,56 333.960  ,6
Fe I ,288.7958,3,1.41E+06,54 237.415  ,4
Fe II ,288.80956,7000,6.10E+06,60 402.333  , 5/2 
 , , , , , 
