Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Mg II , ,  ,4.11E+04,114 898.72  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,4.05E+05,114 896.79  , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,8.34E+03,597 065.7   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.08E-04,597 065.7   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,3.89E+06,1 235 690     , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,9.81E+04,113 033.09  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,1.07E+05,113 030.25  , 1/2 ,,,,,,,,,,,,,
Mg V , ,  ,4.13E+05,941 944     ,1,,,,,,,,,,,,,
Mg VIII , ,  ,4.96E+07,1 717 150+x   , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,231.8125,2,4.44E+06,474 655.0   ,2,,,,,,,,,,,,,
Mg III , ,  ,5.06E-04,474 655.0   ,2,,,,,,,,,,,,,
Mg VI , ,  ,4.59E+06,1 235 690     , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,7.65E+05,1 235 690     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.42E+04,1 333 500?    , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,5.08E+05,1 333 500?    , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,3.06E+05,941 944     ,1,,,,,,,,,,,,,
Mg II , ,  ,9.07E+05,114 403.55  , 5/2 ,,,,,,,,,,,,,
Mg II ,232.9578, 3* ,1.36E+07,114 403.55  , 7/2 ,,,,,,,,,,,,,
Mg II ,232.9578, 3* ,1.27E+07,114 403.55  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,3.85E+04,596 521.8   , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.43E-03,596 521.8   , 5/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,1.38E+07,1 733 900?    , 5/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,4.80E+07,1 716 710+x   , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,4.94E+05,941 944     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,2.22E+07,1 756 470?    ,2,,,,,,,,,,,,,
Mg III , ,  ,1.65E-03,474 053.2   ,3,,,,,,,,,,,,,
Mg VIII , ,  ,3.65E+05,1 556 590     , 1/2 ,,,,,,,,,,,,,
Mg IV , ,  ,7.24E+04,597 583.6   , 1/2 ,,,,,,,,,,,,,
Mg VII , ,  ,3.20E+00,274 904     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VII , ,  ,1.34E+00,274 904     ,2,,,,,,,,,,,,,
Mg VII , ,  ,1.12E+00,274 897     ,1,,,,,,,,,,,,,
Mg VII , ,  ,2.38E+00,274 947     ,0,,,,,,,,,,,,,
Mg IV , ,  ,5.48E+06,724 816.3   , 1/2 ,,,,,,,,,,,,,
Mg VII , ,  ,2.26E+00,274 904     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VII , ,  ,8.27E-01,274 904     ,2,,,,,,,,,,,,,
Mg VII , ,  ,1.96E-01,274 897     ,1,,,,,,,,,,,,,
Mg VII , ,  ,2.08E-06,274 897     ,1,,,,,,,,,,,,,
Mg IV , ,  ,6.73E+05,724 816.3   , 1/2 ,,,,,,,,,,,,,
Mg VII , ,  ,3.78E+00,274 947     ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VII , ,  ,2.13E-01,274 904     ,2,,,,,,,,,,,,,
Mg VII , ,  ,6.00E-01,274 904     ,2,,,,,,,,,,,,,
Mg VIII , ,  ,4.53E+07,1 715 900+x   , 5/2 ,,,,,,,,,,,,,
Mg VII , ,  ,1.05E+00,274 897     ,1,,,,,,,,,,,,,
Mg VII , ,  ,3.76E+00,274 897     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VIII , ,  ,6.95E+05,1 548 850     , 5/2 ,,,,,,,,,,,,,
