Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ti II ,212.368, 0: , ,47 466.7479 , 7/2 ,,,,,,,,,,,,,,
Ti III ,212.958,1, ,130 739.82   ,1,,,,,,,,,,,,,,
Ti II ,213.01451,5, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,
Ti II ,213.21821,7, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
Ti II ,213.312451,35, ,71 825.9911 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,213.33703,13, ,63 375.321  , 3/2 ,,,,,,,,,,,,,,
Ti II ,213.364, 2: , ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
Ti II ,213.48283,7, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,
Ti II ,213.557, 2: , ,59 440.190  , 1/2 ,,,,,,,,,,,,,,
Ti II ,213.57141,15, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,213.756482,59, ,71 960.4326 , 7/2 ,,,,,,,,,,,,,,
Ti II ,213.78629,27, ,63 276.867  , 1/2 ,,,,,,,,,,,,,,
Ti II ,213.795, 5: , ,59 387.976  , 3/2 ,,,,,,,,,,,,,,
Ti II ,213.835949,54, ,63 375.321  , 3/2 ,,,,,,,,,,,,,,
Ti III ,213.89,1, ,149 403.52   ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,213.9228,7, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
Ti I ,213.94896,8, ,46 725.398  ,3,,,,,,,,,,,,,,
Ti II ,214.02, 0: , ,59 468.374  , 7/2 ,,,,,,,,,,,,,,
Ti II ,214.093, 1: , ,59 322.173  , 5/2 ,,,,,,,,,,,,,,
Ti I ,214.21292,9, ,46 837.984  ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,214.28727,15, ,63 276.867  , 1/2 ,,,,,,,,,,,,,,
Ti I ,214.36167,10, ,47 022.337  ,5,,,,,,,,,,,,,,
Ti II ,214.389, 3: , ,59 387.976  , 3/2 ,,,,,,,,,,,,,,
Ti II ,214.688, 0: , ,59 322.173  , 5/2 ,,,,,,,,,,,,,,
