Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Al I , ,  ,2.00E+06,47 192.38  , 3/2 ,,,,,,,,,,,,,
Al I ,212.3362, 1g ,1.22E+07,47 192.38  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,4.86E+00,88 213     ,0,,,,,,,,,,,,,
Al I ,212.73," g,a ", ,[46 993.11] , 1/2 ,,,,,,,,,,,,,
Al IV ,212.845,40, ,871 512.2   ,1,,,,,,,,,,,,,
Al I ,212.9663, 1g ,1.52E+07,46 940.97  , 3/2 ,,,,,,,,,,,,,
Al IV ,213.0837,200,2.21E+06,671 632.5   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,213.092, 200bl* , ,874 756.8   ,1,,,,,,,,,,,,,
Al IV ,213.092, 200bl* , ,870 991.9   ,2,,,,,,,,,,,,,
Al I ,213.239," g,a ", ,[46 993.11] , 1/2 ,,,,,,,,,,,,,
Al I ,213.4733, 2g ,1.81E+07,46 941.55  , 5/2 ,,,,,,,,,,,,,
Al I , ,  ,3.00E+06,46 940.97  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al X , ,  ,2.42E+07,2 103 900     ,2,,,,,,,,,,,,,
Al X , ,  ,6.01E+07,2 141 580     ,2,,,,,,,,,,,,,
Al I ,214.239," g,a ", ,[46 661.93] , 1/2 ,,,,,,,,,,,,,
Al I ,214.5555, 3g ,2.06E+07,46 593.32  , 3/2 ,,,,,,,,,,,,,
Al IV ,214.625,15, ,874 422.9   ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,214.754," g,a ", ,[46 661.93] , 1/2 ,,,,,,,,,,,,,
Al I ,215.0699, 5g ,2.46E+07,46 593.95  , 5/2 ,,,,,,,,,,,,,
Al I , ,  ,4.09E+06,46 593.32  , 3/2 ,,,,,,,,,,,,,
Al IV ,215.229,30, ,870 991.9   ,2,,,,,,,,,,,,,
Al III ,215.4635, 1* , ,214 010.22  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,215.4635, 1* , ,214 010.22  , 9/2 ,,,,,,,,,,,,,
Al III ,215.4635, 1* , ,214 010.22  , 7/2 ,,,,,,,,,,,,,
Al IV ,215.832,100, ,874 756.8   ,1,,,,,,,,,,,,,
Al I ,216.0383,3, ,78 710.26  , 7/2 ,,,,,,,,,,,,,
Al IV ,216.112,5, ,874 756.8   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,216.224,15, ,871 512.2   ,1,,,,,,,,,,,,,
Al I ,216.455, g , ,46 183.895 , 1/2 ,,,,,,,,,,,,,
Al I ,216.4915,2, ,78 612.23  , 5/2 ,,,,,,,,,,,,,
Al VI , ,  ,2.03E+07,1 339 440     ,2,,,,,,,,,,,,,
Al VI , ,  ,1.15E+08,1 339 440     ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III , , * ,5.14E+04,213 737.44  , 5/2 ,,,,,,,,,,,,,
Al III , , * ,1.08E+06,213 737.44  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,1.03E+06,213 737.44  , 5/2 ,,,,,,,,,,,,,
Al I ,216.8805, 1g ,2.96E+07,46 093.424 , 3/2 ,,,,,,,,,,,,,
Al I ,216.981, g , ,46 183.895 , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,217.4028, 1g ,3.53E+07,46 094.312 , 5/2 ,,,,,,,,,,,,,
Al I , ,  ,5.88E+06,46 093.424 , 3/2 ,,,,,,,,,,,,,
Al IV ,217.684,5, ,874 422.9   ,0,,,,,,,,,,,,,
Al I ,217.7396,4, ,74 979.02  , 5/2 ,,,,,,,,,,,,,
Al I ,218.0996,5, ,74 979.02  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,7.44E+04,1 039 680     ,3,,,,,,,,,,,,,
Al IV ,218.405,10, ,871 512.2   ,1,,,,,,,,,,,,,
Al II ,219.2604,500,2.47E+08,141 143.05  ,4,,,,,,,,,,,,,
Al II ,219.4189,20,2.74E+07,141 110.06  ,3,,,,,,,,,,,,,
Al II ,219.4245,70,2.19E+08,141 110.06  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,1.08E+06,141 084.89  ,2,,,,,,,,,,,,,
Al II ,219.5456,300,3.83E+07,141 084.89  ,2,,,,,,,,,,,,,
Al II ,219.5502,300,2.07E+08,141 084.89  ,2,,,,,,,,,,,,,
Al IV , ,  ,3.18E+05,759 596.8   ,1,,,,,,,,,,,,,
Al I ,219.915, 1g ,1.75E+06,45 457.244 , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,220.459, 2g ,3.49E+06,45 457.244 , 1/2 ,,,,,,,,,,,,,
Al I ,220.466, 2g ,4.37E+07,45 344.165 , 3/2 ,,,,,,,,,,,,,
Al IV ,220.914,15, ,870 991.9   ,2,,,,,,,,,,,,,
Al III ,220.966, 1d ,1.46E+07,188 878.22  , 3/2 ,,,,,,,,,,,,,
Al I ,221.0046, 2g ,5.20E+07,45 345.594 , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
