Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Na VIII , ,  ,1.86E+07,1 485 140       ,1,,,,,,,,,,,,,,
Na III ,218.942,1,9.47E+06,464 077.16    , 3/2 ,,,,,,,,,,,,,,
Na VI , ,  ,1.24E+08,996 010       ,2,,,,,,,,,,,,,,
Na III ,219.0185,11,3.28E+08,493 192.06    , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,9.06E+07,1 217 950       , 1/2 ,,,,,,,,,,,,,,
Na V , ,  ,2.07E+08,847 540       , 5/2 ,,,,,,,,,,,,,,
Na V , ,  ,2.07E+08,847 540       , 3/2 ,,,,,,,,,,,,,,
Na V , ,  ,2.07E+08,847 540       , 1/2 ,,,,,,,,,,,,,,
Na III , ,  ,1.06E+05,460 746.98    , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,219.611,3,1.67E+07,464 077.16    , 3/2 ,,,,,,,,,,,,,,
Na III , ,  ,4.63E+04,460 593.62    , 3/2 ,,,,,,,,,,,,,,
Na III ,220.2831,15,8.53E+07,411 536.38    , 5/2 ,,,,,,,,,,,,,,
Na VI ,220.459,25,1.63E+08,996 740       ,3,,,,,,,,,,,,,,
Na III ,220.8069,8,2.63E+07,463 691.90    , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III , ,  ,1.48E+02,460 409.70    , 5/2 ,,,,,,,,,,,,,,
Na III ,221.2352,9,2.42E+08,493 293.98    , 1/2 ,,,,,,,,,,,,,,
Na II ,221.3281,5, , ,  ,,,,,,,,,,,,,,
Na III ,221.4208,10,5.14E+07,412 189.46    , 1/2 ,,,,,,,,,,,,,,
Na II ,221.656,7, ,375 890.0     ," 2,3 ",,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,221.734,6,6.86E+07,493 192.06    , 3/2 ,,,,,,,,,,,,,,
Na VIII , ,  ,1.65E+07,1 485 340       ,2,,,,,,,,,,,,,,
Na III ,222.528,5,1.09E+07,418 556.54    , 1/2 ,,,,,,,,,,,,,,
Na III ,222.5927,15,1.82E+08,411 951.78    , 3/2 ,,,,,,,,,,,,,,
Na VIII , ,  ,5.87E+06,1 485 140       ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,222.8529,80, ,353 719.3     ,1,,,,,,,,,,,,,,
Na VII , ,  ,8.59E+07,1 217 190       , 3/2 ,,,,,,,,,,,,,,
Na II ,222.9156,30, , ,  ,,,,,,,,,,,,,,
Na III ,223.0328,30,3.64E+08,410 976.94    , 7/2 ,,,,,,,,,,,,,,
Na II ,223.1399,15, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,1.86E+07,1 583 740       , 5/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.56E+07,1 583 740       , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,3.12E+06,1 583 740       , 3/2 ,,,,,,,,,,,,,,
Na III ,223.2187,16,2.34E+08,418 417.50    , 3/2 ,,,,,,,,,,,,,,
Na IV , ,  ,2.32E-04,531 410.      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,223.5549,15, , ,  ,,,,,,,,,,,,,,
Na III ,223.9484,13,3.09E+08,412 189.46    , 1/2 ,,,,,,,,,,,,,,
Na VI , ,  ,3.86E+07,996 010       ,2,,,,,,,,,,,,,,
Na IV , ,  ,9.39E+07,641 193.      ,1,,,,,,,,,,,,,,
Na VI , ,  ,1.47E+08,1 077 890       ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,224.6706, 20w ,2.72E+08,411 536.38    , 5/2 ,,,,,,,,,,,,,,
Na II ,224.7464,25, , ,  ,,,,,,,,,,,,,,
Na IV , ,  ,8.46E+05,575 821.0     ,3,,,,,,,,,,,,,,
Na III ,225.1474,14,1.66E+08,411 951.78    , 3/2 ,,,,,,,,,,,,,,
Na IV , ,  ,3.35E+04,575 768.1     ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,226.0495, 10* , ,375 890.0     ," 3,4 ",,,,,,,,,,,,,,
Na II ,226.0495, 10* , ,375 890.0     ," 2,3 ",,,,,,,,,,,,,,
Na VIII , ,  ,1.99E+07,1 486 080       ,3,,,,,,,,,,,,,,
Na II ,226.2665, 5* , ,375 890.0     ," 2,3 ",,,,,,,,,,,,,,
Na II ,226.2665, 5* , ,375 890.0     ," 3,4 ",,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,9.08E+05,1 104 620       , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,4.59E+04,1 472 730       , 7/2 ,,,,,,,,,,,,,,
Na II ,227.3808,10, ,374 514.9     ," 1,2 ",,,,,,,,,,,,,,
Na VII , ,  ,8.11E+06,1 104 620       , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.23E+06,1 472 730       , 7/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na III ,227.8413,15,2.98E+08,418 556.54    , 1/2 ,,,,,,,,,,,,,,
Na III ,227.9482,12,3.40E+08,478 884.07    , 3/2 ,,,,,,,,,,,,,,
Na III , ,  ,7.58E+05,460 746.98    , 1/2 ,,,,,,,,,,,,,,
Na III ,228.162,10,3.39E+08,478 842.99    , 1/2 ,,,,,,,,,,,,,,
Na IV , ,  ,1.41E+06,600 567.7     ,1,,,,,,,,,,,,,,
