Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ca III ,240.7527,400,3.90E+07,322 663.28  ,0,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca V , ,  ,2.40E+01,43 836.5   ,0,,,,,,,,,,,,,,
Ca III ,243.1082,700,4.90E+07,323 003.56  ,1,,,,,,,,,,,,,,
Ca III ,243.3325,500, ,323 655.06  ,2,,,,,,,,,,,,,,
Ca III ,244.2551,900,5.30E+07,323 003.56  ,1,,,,,,,,,,,,,,
Ca III ,247.0292,800,9.00E+07,331 403.20  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,247.2541,900,4.30E+07,323 003.56  ,1,,,,,,,,,,,,,,
Ca III ,249.3517,800,1.26E+08,322 663.28  ,0,,,,,,,,,,,,,,
Ca III ,249.7736,1500,6.90E+07,282 571.43  ,1,,,,,,,,,,,,,,
Ca I , ,  ,1.70E+04,39 335.322 ,1,,,,,,,,,,,,,,
Ca III ,254.1498,3200,7.40E+07,281 882.24  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,258.7153,1000,2.00E+07,282 571.43  ,1,,,,,,,,,,,,,,
Ca III ,259.0411,800,1.20E+07,281 139.55  ,1,,,,,,,,,,,,,,
Ca I , ,  ,1.60E+04,38 192.392 ,1,,,,,,,,,,,,,,
Ca III ,262.0817,2500,3.10E+08,282 075.15  ,0,,,,,,,,,,,,,,
Ca III ,263.4139,2500,7.40E+07,281 882.24  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,265.5382,380,4.50E+07,328 582.45  ,1,,,,,,,,,,,,,,
Ca III ,268.6722,800,1.30E+07,281 139.55  ,1,,,,,,,,,,,,,,
Ca III ,268.7764,3500,1.42E+08,279 741.80  ,2,,,,,,,,,,,,,,
Ca III ,270.4859,2500,1.05E+08,282 571.43  ,1,,,,,,,,,,,,,,
Ca I ,272.165,7,2.70E+05,36 731.615 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,275.1798, 150h ,1.03E+08,383 061.33  ,2,,,,,,,,,,,,,,
Ca III ,276.4095, 180h ,9.70E+07,383 063.78  ,3,,,,,,,,,,,,,,
Ca III ,277.1277,1600,2.90E+07,278 621.01  ,1,,,,,,,,,,,,,,
Ca XV , ,  ,6.00E-03,35 923     ,2,,,,,,,,,,,,,,
Ca III ,279.159,2100,3.50E+07,279 741.80  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
