Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Si II ,235.309, 20w , , ,  ,,,,,,,,,,,,,
Si II ,235.63, 100w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,235.718, 30w , , ,  ,,,,,,,,,,,,,
Si II ,235.797, 50w , , ,  ,,,,,,,,,,,,,
Si II ,236.02, 10w , , ,  ,,,,,,,,,,,,,
Si IV , ,  ,2.65E+05,336 051.55  , 5/2 ,,,,,,,,,,,,,
Si IV , ,  ,5.58E+06,336 051.55  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV , ,  ,5.31E+06,336 051.55  , 5/2 ,,,,,,,,,,,,,
Si IV ,236.676,2,5.18E+07,318 742.79  , 1/2 ,,,,,,,,,,,,,
Si II ,236.697,30, , ,  ,,,,,,,,,,,,,
Si IV ,237.099,3,1.04E+08,318 742.79  , 1/2 ,,,,,,,,,,,,,
Si II ,237.426,20, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,9.16E+03,1 083 003     , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,4.64E+04,240 314.63  ,3,,,,,,,,,,,,,
Si III , ,  ,2.29E+06,240 284.28  ,2,,,,,,,,,,,,,
Si III , ,  ,2.05E+07,240 262.28  ,1,,,,,,,,,,,,,
Si III , ,  ,1.64E+06,240 314.63  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV , ,  ,2.45E+06,332 759.92  , 3/2 ,,,,,,,,,,,,,
Si IV , ,  ,2.21E+07,332 759.92  , 3/2 ,,,,,,,,,,,,,
Si III , ,  ,1.81E+07,240 284.28  ,2,,,,,,,,,,,,,
Si IV , ,  ,2.44E+07,332 743.87  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,1.36E+01,84 004.26  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.36E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,
Si II ,242.845, 10w , , ,  ,,,,,,,,,,,,,
Si III , ,  ,1.86E+07,240 314.63  ,3,,,,,,,,,,,,,
Si II , ,  ,2.84E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,
Si I ,243.515,300,4.43E+07,47 351.554 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VII , ,  ,2.15E-04,46 569.8   ,2,,,,,,,,,,,,,
Si I ,243.877,65,7.91E+05,40 991.884 ,1,,,,,,,,,,,,,
Si II , ,  ,5.22E-03,83 801.95  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,3.47E+07,122 163.48  , 3/2 ,,,,,,,,,,,,,
Si I ,244.336,65,6.28E+05,40 991.884 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.07E+07,122 163.54  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,1.79E+06,122 163.48  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,3.56E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,3.00E+00,83 801.95  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,9.73E+07,242 410.88  ,2,,,,,,,,,,,,,
